Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-04-09 14:58:52,1,10 Gaby Cuina,0,0,0,0,0.85684645,0.7065151
2024-04-09 19:59:52,7,12 Annie Ortiz,0,0,0,0,0.5871369,0.48832208
2024-04-09 20:12:44,8,22 Sydney Loughran,0,0,0,0,0.69640386,0.6364474
2024-04-09 20:41:02,11,19 Vanessa Bacorn,0,0,0,0,0.6023513,0.79809463
2024-04-09 21:12:09,13,69 Jaime Estes,0,0,0,0,0.30774552,0.42194223
2024-04-09 21:13:23,13,02 Elise Bjork,0,0,0,0,0.51798064,0.6591887
2024-04-09 21:45:32,15,95 Megan Mendieta,0,0,0,0,0.8167358,0.6929932
2024-04-09 21:52:40,15,31 Nikki Gilbert,0,0,0,0,0.4515906,0.76060236
2024-04-09 21:55:54,16,10 Gaby Cuina,0,0,0,0,0.5013831,0.45574677
2024-04-09 22:34:16,26,71 Wren Vogel,0,0,0,0,0.5746888,0.7052858
2024-04-09 22:37:15,26,31 Nikki Gilbert,0,0,0,0,0.19156294,0.23202212
2024-04-09 22:38:48,27,27 Jocelyn Jessop,0,0,0,0,0.22337483,0.8183774
