,Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
0,2024-04-09 14:53:48,1,1,00 Maggie Rowell,07 Shiru Liu,0,0,0,0,0,0,0,1,0,1,0,17.820637,2.293022,17.672497,0.87897646,0.749539,0.5165975,0.7286417
1,2024-04-09 14:53:56,1,1,07 Shiru Liu,69 Jaime Estes,0,0,0,0,0,0,0,1,0,0,1,21.692575,6.8790793,20.572947,0.5165975,0.7286417,0.09474412,0.6659496
2,2024-04-09 14:54:03,1,1,69 Jaime Estes,07 Shiru Liu,0,0,0,0,0,0,0,0,0,1,0,16.378664,10.9930315,-12.141412,0.09474412,0.6659496,0.3437068,0.5657652
3,2024-04-09 14:54:08,1,1,07 Shiru Liu,00 Maggie Rowell,0,0,0,0,0,0,0,0,0,0,1,14.821635,11.195355,9.713129,0.3437068,0.5657652,0.14453666,0.46373695
4,2024-04-09 14:54:10,1,1,00 Maggie Rowell,69 Jaime Estes,0,0,0,0,0,0,0,0,0,1,1,4.8733935,-0.40465152,4.856565,0.14453666,0.46373695,0.04495159,0.46742472
5,2024-04-09 14:54:21,1,1,69 Jaime Estes,07 Shiru Liu,0,0,0,0,0,0,0,0,1,1,1,6.6821947,-6.6767454,-0.26980913,0.04495159,0.46742472,0.050484095,0.52827287
6,2024-04-09 14:54:25,1,1,07 Shiru Liu,22 Sydney Loughran,0,0,0,0,0,0,0,0,0,1,1,12.431473,12.40931,0.74197507,0.050484095,0.52827287,0.03526971,0.4151813
7,2024-04-09 14:54:39,1,1,22 Sydney Loughran,07 Shiru Liu,0,0,0,0,0,0,0,0,1,1,1,6.693426,-6.6767516,-0.47216597,0.03526971,0.4151813,0.04495159,0.47602952
8,2024-04-09 14:56:18,1,1,07 Shiru Liu,02 Elise Bjork,0,0,0,0,0,0,0,0,0,1,0,14.931767,9.6441965,-11.399437,0.04495159,0.47602952,0.27869987,0.38813767
9,2024-04-09 14:57:13,1,1,02 Elise Bjork,69 Jaime Estes,1,1,0,1,0,0,0,0,0,0,0,30.74777,28.662811,-11.129626,0.27869987,0.38813767,0.5069156,0.12692071
10,2024-04-09 15:00:19,1,2,07 Shiru Liu,42 Meg Duffy,0,0,0,0,0,0,0,0,1,1,1,5.8678336,-5.8674455,-0.06745228,0.10857538,0.28856793,0.10995851,0.34204057
11,2024-04-09 15:00:25,1,2,42 Meg Duffy,07 Shiru Liu,0,0,0,0,0,0,0,0,0,1,0,8.366531,-0.20232412,-8.364084,0.10995851,0.34204057,0.28146613,0.34388444
12,2024-04-09 15:01:05,1,2,07 Shiru Liu,00 Maggie Rowell,0,0,0,0,0,0,0,0,0,0,1,10.483234,6.137213,8.498989,0.28146613,0.34388444,0.107192256,0.2879533
13,2024-04-09 15:01:14,1,2,00 Maggie Rowell,02 Elise Bjork,0,0,0,0,0,0,0,0,0,1,0,14.148824,6.1372147,-12.748483,0.107192256,0.2879533,0.36860305,0.23202212
14,2024-04-09 15:01:17,1,2,02 Elise Bjork,10 Gaby Cuina,1,1,0,1,0,0,0,0,0,0,0,17.853298,8.83489,-15.514025,0.36860305,0.23202212,0.686722,0.15150584
15,2024-04-09 15:02:52,1,3,69 Jaime Estes,07 Shiru Liu,0,0,0,0,0,0,0,0,0,1,0,9.13013,2.7651172,-8.7013445,0.056016598,0.46803933,0.23443983,0.4428396
16,2024-04-09 15:02:56,1,3,07 Shiru Liu,02 Elise Bjork,0,0,0,0,0,0,0,0,1,0,0,7.869037,-1.9558141,-7.6221085,0.23443983,0.4428396,0.39073306,0.4606638
17,2024-04-09 15:03:02,1,3,02 Elise Bjork,07 Shiru Liu,0,0,0,0,0,0,0,0,1,0,1,13.470171,-1.75349,13.355553,0.39073306,0.4606638,0.116874136,0.47664413
18,2024-04-09 15:03:05,1,3,07 Shiru Liu,69 Jaime Estes,0,0,0,0,0,0,0,0,0,1,1,13.44295,12.881405,3.84478,0.116874136,0.47664413,0.038035963,0.35925016
19,2024-04-09 15:03:12,1,3,69 Jaime Estes,07 Shiru Liu,0,0,0,0,0,0,0,0,1,1,1,5.862544,-5.395354,-2.2933776,0.038035963,0.35925016,0.08506224,0.4084204
20,2024-04-09 18:16:09,1,3,07 Shiru Liu,00 Maggie Rowell,0,0,0,0,0,0,0,0,0,1,0,19.23272,14.634895,-12.478673,0.08506224,0.4084204,0.34094054,0.2750461
21,2024-04-09 18:16:14,1,3,00 Maggie Rowell,02 Elise Bjork,0,0,0,0,0,1,0,0,0,0,0,6.5345035,0.8767466,-6.475419,0.34094054,0.2750461,0.4737206,0.26705593
22,2024-04-09 18:16:29,1,3,02 Elise Bjork,69 Jaime Estes,0,0,0,1,1,0,0,0,0,0,0,17.963137,11.937219,13.423004,0.4737206,0.26705593,0.19847856,0.15826675
23,2024-04-09 18:25:23,2,1,95 Megan Mendieta,27 Jocelyn Jessop,0,0,0,0,0,0,0,1,0,1,0,23.643717,4.181402,-23.271038,0.026970955,0.8386601,0.5041494,0.80055314
