Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2024-04-08 23:47:15,1,0,0,1,1,3,23,2,2,0,1,1,00 Maggie Rowell,02 Elise Bjork,69 Jaime Estes
2024-04-09 18:17:06,2,1,0,0,1,1,21,0,0,0,0,1,95 Megan Mendieta,05 Dre Esparza,19 Vanessa Bacorn
2024-04-09 18:44:44,3,2,0,0,0,0,0,0,0,0,0,0,,,
2024-04-09 18:47:47,4,2,1,1,1,4,18,3,3,0,0,3,02 Elise Bjork,00 Maggie Rowell,69 Jaime Estes
2024-04-09 19:03:20,5,3,1,0,0,2,7,2,1,1,0,2,,,
2024-04-09 19:11:35,6,3,2,1,0,1,18,1,1,0,0,0,,,
2024-04-09 19:57:55,7,3,3,0,0,2,10,2,1,1,1,1,,,
2024-04-09 20:07:57,8,3,4,1,1,3,22,2,2,0,1,1,03 Madi Cannon,26 Amy Broome,31 Nikki Gilbert
2024-04-09 20:24:27,9,4,4,0,0,0,0,0,0,0,0,0,,,
2024-04-09 20:26:22,10,4,5,1,1,1,25,0,0,0,0,0,42 Meg Duffy,73 Clara Stewart,22 Sydney Loughran
2024-04-09 20:36:55,11,5,5,0,1,1,14,0,0,0,1,0,73 Clara Stewart,88 Maddy Easton,03 Madi Cannon
2024-04-09 20:55:30,12,6,5,0,0,1,9,1,1,0,0,1,,,
2024-04-09 21:07:53,13,6,6,1,0,3,11,3,3,0,2,0,,,
2024-04-09 21:32:26,14,6,7,1,1,1,11,0,0,0,0,0,73 Clara Stewart,88 Maddy Easton,03 Madi Cannon
2024-04-09 21:42:26,15,7,7,0,1,2,24,1,1,0,2,0,88 Maddy Easton,31 Nikki Gilbert,88 Maddy Easton
2024-04-09 21:54:28,16,8,7,0,1,1,8,0,0,0,1,0,02 Elise Bjork,42 Meg Duffy,22 Sydney Loughran
2024-04-09 21:57:51,17,9,7,0,1,1,39,0,0,0,0,1,31 Nikki Gilbert,03 Madi Cannon,31 Nikki Gilbert
2024-04-09 22:10:32,18,10,7,0,0,0,0,0,0,0,0,0,,,
2024-04-09 22:14:00,19,10,8,1,0,1,2,1,1,0,0,0,,,
2024-04-09 22:15:59,20,10,9,1,1,1,5,0,0,0,0,0,88 Maddy Easton,73 Clara Stewart,03 Madi Cannon
2024-04-09 22:18:14,21,11,9,0,1,1,8,0,0,0,0,1,12 Annie Ortiz,95 Megan Mendieta,16 Kinsey Neas
2024-04-09 22:22:40,22,12,9,0,0,0,0,0,0,0,0,0,,,
2024-04-09 22:24:04,23,12,10,1,1,1,4,0,0,0,0,0,88 Maddy Easton,69 Jaime Estes,71 Wren Vogel
2024-04-09 22:30:12,24,13,10,0,0,0,0,0,0,0,0,0,,,
2024-04-09 22:31:01,25,13,11,1,1,1,2,0,0,0,0,0,42 Meg Duffy,69 Jaime Estes,22 Sydney Loughran
2024-04-09 22:32:24,26,14,11,0,1,2,5,1,1,0,2,0,,02 Elise Bjork,42 Meg Duffy
2024-04-09 22:38:04,27,15,11,0,0,2,10,2,2,0,1,1,,,
