Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
4/6/24 17:48,2,22 Erin McCann,0,0,0,0,0.24861106,0.71234566
4/6/24 17:59,4,24 Jamie Eriksson,1,0,0,0,0.64861107,0.8993827
4/6/24 18:09,5,16 Margaret Walker,0,0,0,0,0.84583336,0.7407408
4/6/24 18:35,7,05 Marie Perivier,0,0,0,0,0.6625,0.71358025
4/6/24 18:45,8,00 Emma Jones,0,0,0,0,0.7847222,0.5395062
4/6/24 18:45,8,07 Kami Groom,0,1,0,1,0.62638885,0.08024691
4/6/24 18:57,11,09 Annalise Peters,0,0,0,0,0.23472227,0.6388889
4/6/24 19:32,15,01 Ashleigh Jentilet,0,0,0,0,0.52361107,0.7796296
4/6/24 21:39,16,15 Florence Brooks,1,0,0,0,0.8402778,0.9327161
4/6/24 21:46,17,22 Erin McCann,0,0,0,0,0.15,0.46358025
4/6/24 22:16,24,07 Kami Groom,0,0,0,0,0.72083336,0.6623457
4/6/24 22:22,25,05 Marie Perivier,0,0,0,0,0.2625,0.71358025
