Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
4/6/24 17:36,1,0,0,1,1,1,11,0,0,0,0,0,37 Claire Trop,36 Carolyn Normile,19 Allie Wallace
4/6/24 17:42,2,1,0,0,1,1,2,0,0,0,1,0,09 Annalise Peters,46 Graham Cunningham,07 Kami Groom
4/6/24 17:49,3,2,0,0,1,2,10,1,1,0,0,2,07 Kami Groom,01 Ashleigh Jentilet,22 Erin McCann
4/6/24 17:57,4,3,0,0,1,1,8,0,0,0,1,0,07 Kami Groom,01 Ashleigh Jentilet,07 Kami Groom
4/6/24 18:01,5,4,0,0,0,4,6,4,4,0,1,3,,,
4/6/24 18:27,6,4,1,0,0,0,0,0,0,0,0,0,,,
4/6/24 18:29,7,4,2,1,1,4,29,3,3,0,1,2,12 Clare Frantz,13 Sami Smalling,12 Clare Frantz
4/6/24 18:40,8,5,2,0,1,3,10,3,3,1,2,2,,,
4/6/24 18:46,9,6,2,0,0,0,0,0,0,0,0,0,,,
4/6/24 18:48,10,6,3,1,0,2,5,2,2,0,0,1,,,
4/6/24 18:53,11,6,4,1,0,3,12,3,3,0,1,1,,,
4/6/24 19:03,12,6,5,1,1,6,35,5,5,0,0,5,12 Clare Frantz,19 Allie Wallace,37 Claire Trop
4/6/24 19:18,13,7,5,0,1,1,3,0,0,0,0,1,24 Jamie Eriksson,01 Ashleigh Jentilet,15 Florence Brooks
4/6/24 19:22,14,8,5,0,1,1,14,0,0,0,0,1,22 Erin McCann,01 Ashleigh Jentilet,04 Ellen Mueller
4/6/24 19:27,15,9,5,0,0,2,10,2,2,0,1,1,,,
4/6/24 19:36,16,9,6,0,1,2,13,1,1,0,1,1,46 Graham Cunningham,04 Ellen Mueller,09 Annalise Peters
4/6/24 21:44,17,10,6,0,1,1,3,0,0,0,1,0,66 Jackie Wang,07 Kami Groom,46 Graham Cunningham
4/6/24 21:47,18,11,6,0,0,0,0,0,0,0,0,0,,,
4/6/24 21:48,19,11,7,1,1,1,2,0,0,0,0,0,23 Lisa Dang,05 Marie Perivier,37 Claire Trop
4/6/24 21:52,20,12,7,0,0,1,1,1,1,0,0,1,,,
4/6/24 21:56,21,12,8,1,1,2,7,1,0,1,0,1,36 Carolyn Normile,37 Claire Trop,19 Allie Wallace
4/6/24 22:00,22,13,8,0,1,1,13,0,0,0,0,1,13 Sami Smalling,01 Ashleigh Jentilet,15 Florence Brooks
4/6/24 22:06,23,14,8,0,1,1,5,0,0,0,0,1,04 Ellen Mueller,15 Florence Brooks,07 Kami Groom
4/6/24 22:13,24,15,8,0,1,2,12,1,1,0,1,1,21 Jess Oh,22 Erin McCann,37 Claire Trop
4/6/24 22:19,25,16,8,0,0,1,4,1,1,0,1,0,,,
4/6/24 22:24,26,16,9,1,0,0,0,0,0,0,0,0,,,
