Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-04-07 18:35:26,5,02 Claire Bidigaire-Curtis,0,0,0,0,0.006289308,0.26029527
2024-04-07 19:08:01,7,13 Tyler Smith,0,0,0,0,0.2725367,0.6938617
2024-04-07 19:11:32,7,13 Tyler Smith,0,0,0,0,0.1341719,0.4957265
2024-04-07 19:15:04,8,12 Katie Backus Meilstrup,0,0,0,0,0.9979036,0.7241647
2024-04-07 19:16:58,8,27 Mary Rippe,0,0,0,0,0.8218029,0.57420355
2024-04-07 19:23:36,10,90 Qxhna Titcomb,0,0,0,0,0.30607966,0.32789433
2024-04-07 19:26:03,10,90 Qxhna Titcomb,0,0,0,0,0.36268345,0.28282827
2024-04-07 19:29:46,11,02 Claire Bidigaire-Curtis,1,0,0,0,0.6771488,0.85159284
2024-04-07 19:30:48,11,45 Caitlin Gross,0,0,0,0,0.30398324,0.63714063
2024-04-07 20:57:06,12,18 Sarah McKee,1,0,0,0,0.6981132,0.84537685
2024-04-07 20:59:19,12,01 Lindsay Soo,0,0,0,0,0.2557652,0.6130536
2024-04-07 21:03:00,12,17 Emily Przykucki,0,0,0,0,0.115303986,0.5089355
2024-04-07 21:17:02,15,01 Lindsay Soo,1,0,0,0,0.7023061,0.85470086
2024-04-07 21:19:58,15,14 Sarah Spall,0,0,0,0,0.7484277,0.72804976
2024-04-14 18:45:13,16,16 Tania Proksch,0,0,0,0,0.2683438,0.5928516
2024-04-14 18:55:31,20,02 Claire Bidigaire-Curtis,0,0,0,0,0.062893085,0.67132866
