Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
90 Qxhna Titcomb,8,"1,4,10,13,16,19,22,25",5,3,0,1,17,6,17,15,2,1,0,0,3,3,0,2,0,0,128.71,44.99,9.90,3.46,100.86,14.37,6.72,0.96
28 Claire Revere,8,"1,4,7,10,13,16,22,25",5,3,0,1,12,5,11,11,1,0,0,1,1,1,0,0,0,0,78.19,19.35,7.82,1.93,120.37,47.63,10.94,4.33
16 Tania Proksch,8,"1,4,10,13,16,19,22,25",5,3,0,1,2,2,2,2,0,0,0,0,2,0,2,1,0,0,11.44,1.71,5.72,0.85,31.84,15.77,15.92,7.89
01 Lindsay Soo,8,"3,6,9,12,15,18,21,24",6,2,3,0,10,4,9,9,1,1,0,1,1,1,0,2,0,0,78.52,41.96,9.82,5.24,119.07,95.65,13.23,10.63
18 Sarah McKee,7,"3,9,12,15,18,21,24",5,2,2,0,4,3,4,4,0,0,0,0,0,0,0,1,0,0,26.94,-17.09,6.74,-4.27,92.83,66.82,23.21,16.71
44 Chloe Greene,7,"2,5,11,14,17,20,23",6,1,1,0,32,7,32,27,5,0,0,0,3,3,0,0,0,0,285.04,56.02,10.56,2.07,218.95,13.42,8.11,0.50
25 Meg Manning,7,"1,4,7,13,16,19,25",4,3,0,0,4,3,4,4,0,0,0,0,0,0,0,0,0,0,35.55,9.71,8.89,2.43,35.18,15.70,8.79,3.92
02 Claire Bidigaire-Curtis,7,"2,5,8,11,17,20,23",6,1,1,0,15,5,15,14,1,0,1,0,2,1,1,3,0,0,146.80,47.40,10.49,3.39,151.54,61.69,10.82,4.41
11 Dawn Culton,7,"3,6,9,12,15,18,21",5,2,3,0,6,5,6,6,0,2,0,0,1,1,0,0,0,0,90.03,72.80,18.01,14.56,69.56,37.37,11.59,6.23
22 Julia Zwierzynski,7,"3,6,9,12,18,21,24",5,2,3,0,3,3,2,3,0,0,0,1,0,0,0,0,0,0,15.97,1.09,7.99,0.54,63.34,58.51,21.11,19.50
88 Maddie Pletzke,7,"5,8,11,14,17,20,23",6,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0.00,0.00,0.00,0.00,22.31,22.30,22.31,22.30
13 Tyler Smith,7,"1,4,7,13,16,22,25",5,2,0,0,21,6,21,13,8,0,0,0,5,5,0,2,0,0,135.99,31.62,8.50,1.98,88.63,13.44,6.82,1.03
15 Justine Neville,7,"1,4,7,10,16,19,22",3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45 Caitlin Gross,7,"5,8,11,14,17,20,23",6,1,1,0,25,5,24,19,6,0,0,1,6,5,1,1,0,0,181.77,71.92,9.57,3.79,207.47,36.60,10.92,1.93
32 Annie Bocko,7,"2,8,11,14,17,20,23",6,1,1,0,13,6,13,7,6,0,0,0,2,1,1,0,0,0,138.52,49.81,11.54,4.15,51.76,-14.69,7.39,-2.10
06 Jenny Wei,7,"3,6,9,12,15,21,24",5,2,2,0,6,4,6,6,0,0,1,0,1,1,0,0,0,0,34.59,-15.00,6.92,-3.00,103.46,64.96,17.24,10.83
10 Paige Carver,6,"2,5,11,14,20,23",5,1,1,0,2,2,2,2,0,0,0,0,1,0,1,0,0,0,12.25,-0.62,6.12,-0.31,23.33,22.07,11.67,11.03
09 Jinny Riedel,6,"4,7,10,16,19,25",3,3,0,1,6,4,6,6,0,0,0,0,0,0,0,0,0,0,46.13,6.53,7.69,1.09,59.12,6.99,9.85,1.17
12 Katie Backus Meilstrup,6,"2,8,11,14,17,23",5,1,0,0,7,4,7,7,0,0,0,0,1,1,0,1,0,0,47.38,18.26,7.90,3.04,91.67,57.19,13.10,8.17
59 Audrey Lyman,6,"3,6,12,15,18,24",5,1,2,0,26,6,26,16,10,0,1,0,7,7,0,0,0,0,288.01,179.49,15.16,9.45,139.35,-6.22,8.71,-0.39
23 Nicole Patterson,6,"1,7,10,13,19,22",2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33 Erica Birdsong,6,"2,5,8,14,17,20",6,0,1,0,10,4,10,10,0,1,0,0,3,3,0,0,0,0,65.01,11.34,9.29,1.62,107.56,58.43,10.76,5.84
19 Sydney Kelley,6,"7,10,13,19,22,25",3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03 Grace Conerly,5,"6,9,15,18,21",4,1,3,0,8,5,7,3,5,0,1,1,2,1,1,0,0,0,76.38,35.51,12.73,5.92,42.80,17.87,14.27,5.96
17 Emily Przykucki,5,"3,9,12,21,24",3,2,1,0,9,4,9,9,0,0,0,0,3,2,1,1,0,0,96.03,38.77,13.72,5.54,72.63,-17.87,8.07,-1.99
14 Sarah Spall,4,"6,15,18,24",4,0,2,0,2,2,2,2,0,0,0,0,0,0,0,1,0,0,22.22,4.35,11.11,2.18,25.65,24.79,12.82,12.39
27 Mary Rippe,3,"2,5,8",3,0,0,0,6,2,6,6,0,0,0,0,1,0,1,1,0,0,59.53,19.04,9.92,3.17,61.70,16.16,10.28,2.69
