Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2024-04-07 17:59:19,2,1,1,0,0.27044025,0.61616164,32 Annie Bocko,15,,,,,27 Mary Rippe,
2024-04-07 18:19:57,3,1,1,0,0.49266246,0.64491063,59 Audrey Lyman,7,,,,59 Audrey Lyman,17 Emily Przykucki,
2024-04-07 18:23:09,3,2,1,0,0.22012578,0.8251748,59 Audrey Lyman,1,,,,59 Audrey Lyman,,
2024-04-07 18:28:20,4,1,1,0,0.802935,0.5407925,13 Tyler Smith,4,,,,90 Qxhna Titcomb,,
2024-04-07 18:32:34,5,1,1,0,0.4989518,0.72494173,45 Caitlin Gross,14,,,,45 Caitlin Gross,,
2024-04-07 18:35:34,5,2,1,0,0.006289308,0.38228437,44 Chloe Greene,5,,,,44 Chloe Greene,,
2024-04-07 18:41:44,5,3,1,0,0.475891,0.18,45 Caitlin Gross,4,,,,,10 Paige Carver,
2024-04-07 18:42:41,5,4,1,0,0.15932915,0.36596736,44 Chloe Greene,2,,,,02 Claire Bidigaire-Curtis,,
2024-04-07 18:47:38,5,5,1,0,0.004192872,0.8243978,45 Caitlin Gross,9,,,,45 Caitlin Gross,,
2024-04-07 19:03:32,6,1,1,1,0.2746331,0.66355866,03 Grace Conerly,10,59 Audrey Lyman,01 Lindsay Soo,03 Grace Conerly,,,
2024-04-07 19:08:09,7,1,0,0,0.21802935,0.66977465,13 Tyler Smith,3,,,,13 Tyler Smith,,
2024-04-07 19:10:22,7,2,0,0,0.8469602,0.82051283,13 Tyler Smith,1,,,,13 Tyler Smith,,
2024-04-07 19:11:34,7,3,0,0,0.1341719,0.4957265,13 Tyler Smith,5,,,,28 Claire Revere,,
2024-04-07 19:14:10,8,1,1,0,0.3836478,0.74125874,45 Caitlin Gross,4,,,,33 Erica Birdsong,,
2024-04-07 19:15:26,8,2,1,0,1.0,0.6814297,32 Annie Bocko,5,,,,88 Maddie Pletzke,02 Claire Bidigaire-Curtis,
2024-04-07 19:17:14,8,3,1,0,0.9958071,0.5990676,45 Caitlin Gross,4,,,,33 Erica Birdsong,,
2024-04-07 19:18:36,8,4,1,0,0.023060797,0.8174048,45 Caitlin Gross,1,,,,45 Caitlin Gross,,
2024-04-07 19:20:30,9,1,1,1,0.18448637,0.5633256,03 Grace Conerly,3,06 Jenny Wei,11 Dawn Culton,01 Lindsay Soo,,,
2024-04-07 19:23:43,10,1,0,0,0.23480085,0.33799535,28 Claire Revere,9,,,,,16 Tania Proksch,
2024-04-07 19:26:05,10,2,0,1,0.36268345,0.28282827,90 Qxhna Titcomb,1,,90 Qxhna Titcomb,28 Claire Revere,,,
2024-04-07 19:28:04,11,1,0,0,0.802935,0.74902874,44 Chloe Greene,9,,,,12 Katie Backus Meilstrup,,
2024-04-07 19:29:59,11,2,0,0,0.6771488,0.85159284,02 Claire Bidigaire-Curtis,2,,,,44 Chloe Greene,,
2024-04-07 19:34:53,11,3,0,0,0.22431865,0.64568764,32 Annie Bocko,12,,,,45 Caitlin Gross,,
2024-04-07 20:57:32,12,1,0,0,0.6163522,0.8104118,59 Audrey Lyman,3,,,,59 Audrey Lyman,,
2024-04-07 20:58:30,12,2,0,0,0.32704404,0.8150738,59 Audrey Lyman,2,,,,11 Dawn Culton,,
2024-04-07 20:59:21,12,3,0,0,0.2557652,0.6130536,01 Lindsay Soo,8,,,,06 Jenny Wei,,
2024-04-07 21:01:20,12,4,0,0,0.004192872,0.45687646,59 Audrey Lyman,5,,,,01 Lindsay Soo,,
2024-04-07 21:03:13,12,5,0,0,0.19287212,0.5003885,59 Audrey Lyman,4,,,,59 Audrey Lyman,,
2024-04-07 21:06:07,13,1,1,0,0.36897275,0.8010878,13 Tyler Smith,13,,,,13 Tyler Smith,16 Tania Proksch,
2024-04-07 21:11:34,14,1,1,0,0.20125785,0.54933953,32 Annie Bocko,4,,,,45 Caitlin Gross,,
2024-04-07 21:14:50,15,1,1,0,0.33333334,0.8189588,03 Grace Conerly,4,,,,59 Audrey Lyman,,
2024-04-07 21:18:10,15,2,1,0,0.3417191,0.82128984,59 Audrey Lyman,2,,,,03 Grace Conerly,,
2024-04-07 21:20:45,15,3,1,0,0.7631027,0.75213677,59 Audrey Lyman,5,,,,59 Audrey Lyman,,
2024-04-14 18:42:26,16,1,1,0,0.6981132,0.5182595,13 Tyler Smith,11,,,,13 Tyler Smith,,
2024-04-14 18:45:24,16,2,1,0,0.25786164,0.5710956,90 Qxhna Titcomb,5,,,,90 Qxhna Titcomb,,
2024-04-14 18:47:51,17,1,1,0,0.509434,0.56021756,44 Chloe Greene,1,,,,44 Chloe Greene,,
2024-04-14 18:51:57,18,1,1,1,0.8113208,0.6060606,03 Grace Conerly,4,03 Grace Conerly,11 Dawn Culton,22 Julia Zwierzynski,,,
2024-04-14 18:54:25,20,1,1,0,0.2389937,0.49028748,32 Annie Bocko,3,,,,33 Erica Birdsong,32 Annie Bocko,
2024-04-14 18:55:42,20,2,1,1,0.16352202,0.7288267,44 Chloe Greene,11,02 Claire Bidigaire-Curtis,33 Erica Birdsong,45 Caitlin Gross,,,
2024-04-14 19:01:29,21,1,0,0,0.9748428,0.7373737,03 Grace Conerly,2,,,,17 Emily Przykucki,03 Grace Conerly,
2024-04-14 19:03:45,22,1,1,0,0.6792453,0.5477855,13 Tyler Smith,5,,,,13 Tyler Smith,,
2024-04-14 19:06:01,23,1,1,0,0.6687631,0.6938617,32 Annie Bocko,5,,,,32 Annie Bocko,45 Caitlin Gross,
2024-04-14 19:08:03,24,1,1,0,0.35220125,0.6099456,59 Audrey Lyman,10,,,,17 Emily Przykucki,,
2024-04-14 19:10:33,24,2,1,0,0.16142558,0.75213677,59 Audrey Lyman,1,,,,59 Audrey Lyman,,
2024-04-14 19:11:50,25,1,1,0,0.48637316,0.63714063,13 Tyler Smith,4,,,,90 Qxhna Titcomb,,
