Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-04-07 12:59:27,1,1,17 Kristin Dudley,11 Tracey Lo,0,0,0,0,0,0,0,0,1,1,0,11.569915,-5.8927956,-9.956801,0.104166664,0.5685185,0.30833334,0.6222222
2024-04-07 13:00:29,1,1,11 Tracey Lo,32 Shani Rosenthal,0,0,0,0,0,0,0,0,0,0,0,12.023954,8.669866,-8.3312,0.30833334,0.6222222,0.47916666,0.54320985
2024-04-07 13:00:32,1,1,32 Shani Rosenthal,04 Rachel Mast,1,1,0,0,0,0,0,0,0,0,0,18.806215,15.510932,-10.634131,0.47916666,0.54320985,0.6972222,0.40185183
2024-04-07 13:02:03,1,2,18 Laura Gerencser,11 Tracey Lo,0,0,0,0,0,0,0,0,1,1,0,12.320209,-4.1994667,-11.582401,0.06111107,0.4722222,0.29861107,0.5104938
2024-04-07 13:02:20,1,2,11 Tracey Lo,24 Abby Swensen,0,0,0,0,0,0,0,0,0,0,0,17.947163,8.669868,-15.714136,0.29861107,0.5104938,0.62083334,0.43148145
2024-04-07 13:02:46,1,2,24 Abby Swensen,66 Mya Hernandez,1,0,1,1,0,0,0,0,0,0,0,33.117992,32.850662,-4.199465,0.62083334,0.43148145,0.7069444,0.13209876
2024-04-07 13:03:35,1,3,04 Rachel Mast,32 Shani Rosenthal,0,0,0,1,1,0,0,0,0,0,0,16.756987,13.953068,9.279465,0.42777774,0.21728395,0.2375,0.090123445
2024-04-07 13:11:37,3,1,34 Lauren Kitten,18 Laura Gerencser,0,0,0,0,0,0,0,0,1,0,0,8.37185,-6.705598,5.0122685,0.40555555,0.5388889,0.30277774,0.59999996
2024-04-07 13:12:08,3,1,18 Laura Gerencser,29 Emily Schloneger,0,0,0,0,0,0,0,0,0,0,1,24.603146,22.758396,9.3472,0.30277774,0.59999996,0.11111107,0.39259258
2024-04-07 13:12:17,3,1,29 Emily Schloneger,40 Claire Milton,0,0,0,0,0,0,0,0,0,1,0,22.28262,16.256,-15.240001,0.11111107,0.39259258,0.42361107,0.24444443
