Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2024-04-07 12:54:02,1,0,0,1,1,3,7,2,1,1,2,0,,04 Rachel Mast,32 Shani Rosenthal
2024-04-07 13:03:37,2,1,0,0,0,0,0,0,0,0,0,0,,,
2024-04-07 13:07:59,3,1,1,1,1,1,5,0,0,0,0,0,40 Claire Milton,66 Mya Hernandez,32 Shani Rosenthal
2024-04-07 13:13:06,4,2,1,0,1,1,12,0,0,0,0,1,59 Maple Adkins-Threats,23 Lili Hobday,14 Briana Burriss
2024-04-07 13:20:33,5,3,1,0,0,0,0,0,0,0,0,0,,,
2024-04-07 13:22:53,6,3,2,1,0,1,2,1,1,0,0,0,,,
2024-04-07 13:25:21,7,3,3,1,1,1,3,0,0,0,0,0,04 Rachel Mast,32 Shani Rosenthal,24 Abby Swensen
2024-04-07 13:28:18,8,4,3,0,0,2,2,2,2,0,0,2,,,
2024-04-07 13:33:05,9,4,4,1,1,1,2,0,0,0,0,0,11 Tracey Lo,32 Shani Rosenthal,40 Claire Milton
2024-04-07 13:35:03,10,5,4,0,0,1,6,1,1,0,0,1,,,
2024-04-07 13:43:01,11,5,5,0,0,2,5,2,2,0,1,1,,,
2024-04-07 13:46:40,12,5,6,1,1,1,5,0,0,0,0,0,40 Claire Milton,04 Rachel Mast,24 Abby Swensen
2024-04-07 13:49:25,13,6,6,0,1,1,12,0,0,0,0,1,32 Shani Rosenthal,24 Abby Swensen,11 Tracey Lo
2024-04-07 14:02:58,14,7,6,0,0,1,2,1,1,0,1,0,,,
2024-04-07 14:08:09,15,7,7,1,1,2,10,1,1,0,1,0,29 Emily Schloneger,40 Claire Milton,11 Tracey Lo
2024-04-07 14:12:06,16,8,7,0,0,1,9,1,1,0,0,1,,,
2024-04-07 14:15:26,17,8,8,1,1,1,7,0,0,0,0,0,29 Emily Schloneger,40 Claire Milton,17 Kristin Dudley
2024-04-07 14:18:08,18,9,8,0,1,1,5,0,0,0,0,1,04 Rachel Mast,24 Abby Swensen,32 Shani Rosenthal
2024-04-07 19:12:29,19,10,8,0,0,0,0,0,0,0,0,0,,,
2024-04-07 19:14:58,20,10,9,1,0,5,17,5,3,2,2,2,,,
2024-04-07 19:24:09,21,10,10,1,1,3,13,2,2,0,0,2,40 Claire Milton,29 Emily Schloneger,24 Abby Swensen
2024-04-07 19:27:41,22,11,10,0,1,1,11,0,0,0,0,1,18 Laura Gerencser,40 Claire Milton,24 Abby Swensen
2024-04-07 19:32:31,23,12,10,0,0,2,15,2,2,0,2,0,,,
2024-04-07 22:21:13,24,12,11,1,1,1,5,0,0,0,0,0,40 Claire Milton,32 Shani Rosenthal,66 Mya Hernandez
2024-04-07 22:23:17,25,13,11,0,0,1,3,1,0,1,1,0,,,
2024-04-07 22:26:19,26,13,12,1,0,2,7,2,2,0,1,0,,,
2024-04-07 22:30:57,27,13,13,1,1,1,8,0,0,0,0,0,66 Mya Hernandez,24 Abby Swensen,17 Kristin Dudley
2024-04-07 22:33:19,28,14,13,0,1,3,12,2,2,0,2,1,34 Lauren Kitten,40 Claire Milton,24 Abby Swensen
2024-04-07 22:40:54,29,15,13,0,0,0,0,0,0,0,0,0,,,
2024-04-07 22:42:26,30,15,14,1,0,0,0,0,0,0,0,0,,,
