Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-04-08 12:16:35,6,11 Jamie Ferrie,0,0,0,0,0.5847222,0.39382714
2024-04-08 12:24:36,8,22 Rebecca Henley,0,0,0,0,0.20138887,0.4419753
2024-04-08 12:29:58,10,10 Tori Taylor,0,0,0,0,0.19027774,0.32716048
2024-04-08 12:35:42,11,08 Grace Robinson,0,0,0,0,0.6402778,0.44753087
2024-04-08 12:36:50,11,10 Tori Taylor,0,0,0,0,0.23888893,0.54691356
2024-04-08 12:53:45,15,21 Elena Rubino,0,0,0,0,0.041666668,0.7074074
2024-04-08 12:58:25,16,82 Mary Turner,0,0,0,0,0.22361107,0.6111111
2024-04-08 15:43:38,20,25 Nadine Rowen,0,0,0,0,0.24305554,0.32407406
2024-04-08 16:02:10,23,10 Tori Taylor,0,0,0,0,0.725,0.4617284
2024-04-08 16:03:26,23,22 Rebecca Henley,0,0,0,0,0.725,0.47777775
2024-04-08 16:22:22,28,10 Tori Taylor,0,0,0,0,0.079166666,0.62222224
