Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2024-04-08 11:49:27,1,1,0,0,0.22083333,0.65555555,24 Mia Letterie,3,,,,20 Noel Holmes,,
2024-04-08 11:51:20,1,2,0,0,0.2555556,0.84876543,24 Mia Letterie,1,,,,24 Mia Letterie,,
2024-04-08 11:59:27,2,1,1,1,0.39305553,0.6339506,28 Margie Quinn,16,08 Grace Robinson,28 Margie Quinn,27 Katharine Gilbert,,,
2024-04-08 12:08:02,4,1,1,0,0.9152777,0.6030864,16 Emily Branson,1,,,,16 Emily Branson,,
2024-04-08 12:11:40,5,1,1,1,0.41388893,0.6283951,24 Mia Letterie,7,12 Meaghan Creamer,45 Sylvia Brown,06 Micah Roberts,,,
2024-04-08 12:16:38,6,1,0,1,0.5847222,0.39382714,11 Jamie Ferrie,10,45 Sylvia Brown,02 Sierra Rimmer,21 Elena Rubino,,,
2024-04-08 12:21:23,8,1,1,0,0.34583333,0.55123454,27 Katharine Gilbert,3,,,,22 Rebecca Henley,,
2024-04-08 12:22:18,8,2,1,0,0.6930555,0.8333333,28 Margie Quinn,15,,,,08 Grace Robinson,,
2024-04-08 12:24:44,8,3,1,1,0.1347222,0.50987655,28 Margie Quinn,9,10 Tori Taylor,28 Margie Quinn,10 Tori Taylor,,,
2024-04-08 12:28:55,10,1,1,0,0.39861107,0.6407407,28 Margie Quinn,4,,,,10 Tori Taylor,,
2024-04-08 12:30:06,10,2,1,0,0.18333334,0.37160492,27 Katharine Gilbert,3,,,,27 Katharine Gilbert,,
2024-04-08 12:32:39,11,1,1,0,0.4375,0.54135805,27 Katharine Gilbert,17,,,,10 Tori Taylor,,
2024-04-08 12:35:48,11,2,1,0,0.55833334,0.47901234,27 Katharine Gilbert,4,,,,10 Tori Taylor,,
2024-04-08 12:36:55,11,3,1,1,0.12361113,0.57469136,10 Tori Taylor,9,08 Grace Robinson,28 Margie Quinn,16 Emily Branson,,,
2024-04-08 12:41:36,13,1,1,0,0.49722227,0.6703704,28 Margie Quinn,7,,,,72 Grace Castro,,
2024-04-08 12:47:58,14,1,1,0,0.24027774,0.65,20 Noel Holmes,19,,,,45 Sylvia Brown,,
2024-04-08 12:51:40,14,2,1,1,0.35138887,0.19012345,24 Mia Letterie,3,45 Sylvia Brown,24 Mia Letterie,12 Meaghan Creamer,,,
2024-04-08 12:53:59,15,1,0,0,0.05138893,0.7197531,02 Sierra Rimmer,5,,,,10 Tori Taylor,,
2024-04-08 12:57:26,16,1,1,0,0.41666666,0.61728394,45 Sylvia Brown,1,,,,45 Sylvia Brown,,
2024-04-08 12:58:51,16,2,1,1,0.21388887,0.59999996,82 Mary Turner,13,20 Noel Holmes,24 Mia Letterie,45 Sylvia Brown,,,
2024-04-08 15:36:45,19,1,1,1,0.51944447,0.6216049,27 Katharine Gilbert,4,27 Katharine Gilbert,10 Tori Taylor,22 Rebecca Henley,,,
2024-04-08 15:40:57,20,1,0,0,0.34305555,0.83148146,45 Sylvia Brown,6,,,,25 Nadine Rowen,,
2024-04-08 15:43:40,20,2,0,0,0.24305554,0.32407406,25 Nadine Rowen,5,,,,27 Katharine Gilbert,,
2024-04-08 15:44:49,20,3,0,0,0.3569444,0.8216049,27 Katharine Gilbert,2,,,,24 Mia Letterie,,
2024-04-08 15:45:43,20,4,0,0,0.3597222,0.70987654,20 Noel Holmes,9,,,,,16 Emily Branson,
2024-04-08 15:48:30,20,5,0,1,0.16666667,0.27469134,08 Grace Robinson,5,22 Rebecca Henley,24 Mia Letterie,72 Grace Castro,,,
2024-04-08 15:51:03,21,1,0,0,0.44861114,0.54012346,02 Sierra Rimmer,7,,,,02 Sierra Rimmer,,
2024-04-08 15:52:59,21,2,0,0,0.38194448,0.5592593,28 Margie Quinn,4,,,,06 Micah Roberts,,
2024-04-08 15:55:19,22,1,1,0,0.9125,0.58518517,27 Katharine Gilbert,13,,,,28 Margie Quinn,,
2024-04-08 16:00:43,23,1,1,0,0.37361106,0.6691358,28 Margie Quinn,6,,,,08 Grace Robinson,,
2024-04-08 16:02:26,23,2,1,0,0.7972222,0.53518516,27 Katharine Gilbert,4,,,,10 Tori Taylor,,
2024-04-08 16:03:43,23,3,1,1,0.9777777,0.545679,16 Emily Branson,12,10 Tori Taylor,16 Emily Branson,28 Margie Quinn,,,
2024-04-08 16:09:53,25,1,1,0,0.49583334,0.6228395,28 Margie Quinn,6,,,,16 Emily Branson,,
2024-04-08 16:11:39,25,2,1,1,0.3194444,0.69814813,27 Katharine Gilbert,5,16 Emily Branson,28 Margie Quinn,10 Tori Taylor,,,
2024-04-08 16:14:58,26,1,0,0,0.9291667,0.45864198,09 Emma Patterson,6,,,,27 Katharine Gilbert,,
2024-04-08 16:17:23,26,2,0,1,0.21111113,0.42283952,16 Emily Branson,5,72 Grace Castro,10 Tori Taylor,27 Katharine Gilbert,,,
2024-04-08 16:21:28,28,1,1,0,0.5013889,0.56790125,27 Katharine Gilbert,3,,,,16 Emily Branson,,
2024-04-08 16:22:29,28,2,1,0,0.031944465,0.61851853,28 Margie Quinn,9,,,,08 Grace Robinson,,
2024-04-08 16:24:22,28,3,1,0,0.78888893,0.83641976,27 Katharine Gilbert,3,,,,27 Katharine Gilbert,,
2024-04-08 16:26:59,29,1,1,1,0.2444444,0.591358,16 Emily Branson,4,10 Tori Taylor,16 Emily Branson,08 Grace Robinson,,,
