Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-04-13 17:33:51,1,22 Alex Ballinger,0,0,0,0,0.49166667,0.47222224
2024-04-13 17:39:28,1,12 Sydney French,0,0,0,0,0.20694447,0.6364198
2024-04-13 17:46:46,2,72 Jacqueline Jarik,0,0,0,0,0.2819444,0.7339506
2024-04-13 18:21:33,9,72 Jacqueline Jarik,0,0,0,0,0.15138893,0.6598765
2024-04-13 18:22:39,9,52 Erynn Schroeder,1,0,0,0,0.07083333,0.85123456
2024-04-13 18:32:32,10,05 Rose Glinka,0,0,0,0,0.15,0.5703704
2024-04-13 18:33:02,10,17 Caitlin Duffner,0,0,0,0,0.22638887,0.595679
2024-04-13 18:51:48,15,10 Chelsea Twohig,0,0,0,0,0.63611114,0.7166667
2024-04-13 18:53:02,15,22 Alex Ballinger,0,0,0,0,0.4777778,0.5277778
2024-04-13 19:00:59,17,17 Caitlin Duffner,0,0,0,0,0.6486111,0.8240741
2024-04-13 20:16:25,21,21 Annie Shriver,0,0,0,0,0.7055556,0.51481485
2024-04-13 20:20:52,22,99 Dana Demmert,1,0,0,0,0.7263889,0.8648148
2024-04-13 20:39:28,29,22 Alex Ballinger,0,0,0,0,0.8152778,0.4808642
2024-04-13 20:47:45,31,12 Sydney French,1,0,0,0,0.725,0.8660494
2024-04-13 20:52:57,33,32 Mickela Heilicher,1,0,0,0,0.6166667,0.89382714
2024-04-13 20:58:49,35,99 Dana Demmert,0,0,0,0,0.058333334,0.66358024
