Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-04-13 17:34:33,1,1,22 Alex Ballinger,32 Mickela Heilicher,0,0,0,0,0,0,0,0,1,0,0,12.787256,-5.4186664,-11.582399,0.45416668,0.45493826,0.69166666,0.504321
2024-04-13 17:35:03,1,1,32 Mickela Heilicher,12 Sydney French,0,0,0,0,0,0,0,0,0,0,0,17.501171,16.865599,-4.6736016,0.69166666,0.504321,0.7875,0.3506173
2024-04-13 17:35:16,1,1,12 Sydney French,00 Donna Johnston,0,0,0,0,0,0,0,0,0,0,0,13.068321,13.0048,-1.2869331,0.7875,0.3506173,0.8138889,0.23209877
2024-04-13 17:35:24,1,1,00 Donna Johnston,12 Sydney French,0,0,0,0,0,0,0,0,1,0,0,9.838137,-9.753601,-1.2869331,0.8138889,0.23209877,0.8402778,0.32098767
2024-04-13 17:35:34,1,1,12 Sydney French,,1,1,0,1,0,0,0,0,0,0,0,27.326855,27.296534,1.2869331,0.8402778,0.32098767,0.8138889,0.07222224
2024-04-13 17:36:36,1,2,32 Mickela Heilicher,00 Donna Johnston,1,0,1,0,0,0,0,1,0,1,0,17.984571,5.0122657,-17.272001,0.1180556,0.5419753,0.47222227,0.49629632
2024-04-13 17:37:22,1,3,72 Jacqueline Jarik,22 Alex Ballinger,0,0,0,0,0,0,0,0,0,0,0,20.525995,20.523201,0.3386654,0.73333335,0.6018519,0.72638893,0.41481483
2024-04-13 17:38:56,1,3,22 Alex Ballinger,12 Sydney French,1,0,1,0,0,0,0,0,0,0,1,18.944517,17.475199,-7.315199,0.72638893,0.41481483,0.8763889,0.25555557
2024-04-13 17:39:37,1,4,12 Sydney French,00 Donna Johnston,0,0,0,0,0,0,0,0,1,0,0,11.863199,-1.3546659,-11.785601,0.20694447,0.6364198,0.44861114,0.64876544
2024-04-13 17:40:04,1,4,00 Donna Johnston,22 Alex Ballinger,0,0,0,0,0,0,0,0,0,0,0,8.033755,0.81280214,-7.9925327,0.44861114,0.64876544,0.6125,0.641358
2024-04-13 17:40:31,1,4,22 Alex Ballinger,72 Jacqueline Jarik,0,0,0,0,0,1,0,0,0,0,1,32.18652,29.8704,-11.988801,0.6125,0.641358,0.85833335,0.3691358
2024-04-13 17:41:58,1,4,72 Jacqueline Jarik,97 Eileen Bequette,0,0,0,1,1,0,0,0,0,1,0,30.07009,30.005865,1.9642668,0.85833335,0.3691358,0.81805557,0.095679015
2024-04-13 17:47:01,2,1,72 Jacqueline Jarik,00 Donna Johnston,0,0,0,0,0,0,0,0,0,0,0,10.854464,10.837333,0.6095994,0.2819444,0.7339506,0.2694444,0.6351852
2024-04-13 17:47:05,2,1,00 Donna Johnston,72 Jacqueline Jarik,0,0,0,0,0,0,0,0,0,0,0,7.258853,-0.40640107,-7.2474675,0.2694444,0.6351852,0.41805553,0.6388889
2024-04-13 17:47:13,2,1,72 Jacqueline Jarik,22 Alex Ballinger,0,0,0,0,0,0,0,0,1,0,0,10.661707,-1.4223971,-10.566399,0.41805553,0.6388889,0.6347222,0.65185183
2024-04-13 17:47:19,2,1,22 Alex Ballinger,32 Mickela Heilicher,0,0,0,0,0,0,0,0,0,0,0,13.157186,7.6538625,10.701866,0.6347222,0.65185183,0.41527775,0.5820988
2024-04-13 17:47:28,2,1,32 Mickela Heilicher,12 Sydney French,1,0,1,0,0,0,0,1,0,0,1,18.376842,6.9765363,17.001066,0.41527775,0.5820988,0.06666667,0.5185185
2024-04-13 17:51:09,3,1,08 Manhua Zhu,52 Erynn Schroeder,0,0,0,0,0,0,0,0,0,0,0,11.453541,3.0479949,11.040531,0.71944445,0.7808642,0.4930556,0.75308645
2024-04-13 17:52:11,3,1,52 Erynn Schroeder,19 Emily Cohen,0,0,0,0,0,0,0,0,0,0,0,19.737383,16.797867,-10.3632,0.4930556,0.75308645,0.7055556,0.6
2024-04-13 17:52:22,3,1,19 Emily Cohen,08 Manhua Zhu,0,0,0,0,0,0,0,0,0,0,0,9.7726345,-0.60960156,9.753603,0.7055556,0.6,0.50555557,0.6055556
2024-04-13 17:52:55,3,1,08 Manhua Zhu,21 Annie Shriver,0,0,0,0,0,0,0,0,0,0,0,15.455226,7.3151994,13.614399,0.50555557,0.6055556,0.22638893,0.53888893
2024-04-13 17:52:58,3,1,21 Annie Shriver,19 Emily Cohen,1,1,0,0,0,0,0,0,0,0,0,28.294382,12.327472,-25.467733,0.22638893,0.53888893,0.74861115,0.4265432
2024-04-13 17:57:32,4,1,52 Erynn Schroeder,21 Annie Shriver,1,1,0,0,0,0,0,0,0,0,0,18.553125,13.682134,-12.53067,0.46388885,0.67839503,0.72083336,0.55370367
2024-04-13 17:58:07,4,2,52 Erynn Schroeder,88 Claire Kelley,0,0,0,0,0,0,0,0,0,0,0,14.752345,11.243734,-9.5504,0.4847222,0.56296295,0.6805555,0.4604938
2024-04-13 17:58:27,4,2,88 Claire Kelley,52 Erynn Schroeder,0,0,0,0,0,0,0,0,1,0,0,11.424667,-8.602134,7.518399,0.6805555,0.4604938,0.5263889,0.5388889
2024-04-13 17:58:30,4,2,52 Erynn Schroeder,21 Annie Shriver,0,0,0,0,0,0,0,0,0,0,0,13.322993,7.653866,-10.905067,0.5263889,0.5388889,0.75,0.4691358
2024-04-13 17:58:33,4,2,21 Annie Shriver,52 Erynn Schroeder,1,1,0,0,0,0,0,0,0,0,0,10.57703,10.566398,-0.47413096,0.75,0.4691358,0.7597222,0.3728395
2024-04-13 18:00:16,4,3,27 Stef Bugasch,52 Erynn Schroeder,0,0,0,0,0,0,0,0,0,1,0,13.140443,-0.06773787,-13.140268,0.105555534,0.57407403,0.375,0.57469136
2024-04-13 18:00:17,4,3,52 Erynn Schroeder,21 Annie Shriver,1,0,1,0,0,0,0,0,0,0,0,13.90564,11.3792,7.9925356,0.375,0.57469136,0.21111107,0.47098765
2024-04-13 18:03:31,5,1,22 Alex Ballinger,32 Mickela Heilicher,0,0,0,0,0,0,0,0,0,0,0,14.81271,13.208001,6.705601,0.49166667,0.7234568,0.35416666,0.6030864
2024-04-13 18:03:37,5,1,32 Mickela Heilicher,12 Sydney French,0,0,0,0,0,0,0,0,0,0,0,24.095175,12.733863,-20.45547,0.35416666,0.6030864,0.7736111,0.48703706
2024-04-13 18:03:44,5,1,12 Sydney French,22 Alex Ballinger,1,1,0,0,0,0,0,0,1,0,0,12.945751,-7.3829308,10.634133,0.7736111,0.48703706,0.5555556,0.554321
2024-04-13 18:05:21,6,1,52 Erynn Schroeder,19 Emily Cohen,0,0,0,0,0,0,1,0,0,0,0,44.91052,44.365334,6.9765325,0.47638887,0.6030864,0.33333334,0.19876543
2024-04-13 18:05:28,6,1,19 Emily Cohen,08 Manhua Zhu,0,0,0,0,0,1,0,0,1,0,0,9.036752,-8.805331,-2.0319996,0.33333334,0.19876543,0.375,0.27901232
2024-04-13 18:05:33,6,1,08 Manhua Zhu,21 Annie Shriver,0,0,0,1,1,0,0,0,0,0,1,26.033047,20.38773,16.188269,0.375,0.27901232,0.043055534,0.09320988
2024-04-13 18:08:22,7,1,32 Mickela Heilicher,12 Sydney French,0,0,0,0,0,0,0,0,0,0,0,16.174658,15.240001,-5.4186664,0.7388889,0.7623457,0.85,0.6234568
2024-04-13 18:09:12,7,1,12 Sydney French,00 Donna Johnston,0,0,0,0,0,0,0,0,0,0,1,15.184504,15.172262,-0.6095994,0.85,0.6234568,0.8625,0.4851852
2024-04-13 18:09:23,7,1,00 Donna Johnston,32 Mickela Heilicher,0,0,0,0,0,0,0,1,0,1,0,14.935928,-1.0159993,14.901332,0.8625,0.4851852,0.5569445,0.49444446
2024-04-13 18:09:28,7,1,32 Mickela Heilicher,00 Donna Johnston,0,0,0,0,0,0,0,0,1,0,0,11.926644,-10.972799,-4.673599,0.5569445,0.49444446,0.6527778,0.59444445
2024-04-13 18:09:31,7,1,00 Donna Johnston,32 Mickela Heilicher,0,0,0,0,0,0,0,0,0,0,0,8.060552,0.06773133,8.060267,0.6527778,0.59444445,0.4875,0.5938272
2024-04-13 18:10:15,7,1,32 Mickela Heilicher,12 Sydney French,0,0,0,0,0,0,0,1,0,0,1,17.8468,6.028265,16.797865,0.4875,0.5938272,0.1430556,0.53888893
2024-04-13 18:10:40,7,1,12 Sydney French,00 Donna Johnston,1,1,1,0,0,0,0,0,0,1,0,20.60274,14.15627,-14.969064,0.1430556,0.53888893,0.45,0.40987656
2024-04-13 18:11:27,7,2,22 Alex Ballinger,32 Mickela Heilicher,0,0,0,0,0,0,0,0,0,0,0,11.503707,6.705604,-9.3472,0.5027778,0.6580247,0.6944445,0.5969136
2024-04-13 18:11:54,7,2,32 Mickela Heilicher,10 Chelsea Twohig,0,0,0,0,0,0,0,0,0,0,0,15.332437,13.885331,-6.5024,0.6944445,0.5969136,0.8277778,0.47037038
2024-04-13 18:12:20,7,2,10 Chelsea Twohig,07 Sydney Stelzer,0,0,0,0,0,0,0,0,0,0,1,14.423224,14.359467,-1.3546673,0.8277778,0.47037038,0.8555556,0.33950618
2024-04-13 18:12:26,7,2,07 Sydney Stelzer,72 Jacqueline Jarik,0,0,0,0,0,0,0,0,0,1,0,12.943448,12.937066,0.40639964,0.8555556,0.33950618,0.84722227,0.22160494
2024-04-13 18:12:31,7,2,72 Jacqueline Jarik,22 Alex Ballinger,0,0,0,0,0,0,0,1,0,0,0,15.631735,-1.2869345,15.578669,0.84722227,0.22160494,0.5277778,0.23333335
2024-04-13 18:13:14,7,2,22 Alex Ballinger,00 Donna Johnston,0,0,0,0,0,0,0,0,1,0,0,11.692585,-8.534399,-7.9925327,0.5277778,0.23333335,0.69166666,0.31111112
2024-04-13 18:13:18,7,2,00 Donna Johnston,12 Sydney French,0,0,0,0,0,1,0,1,0,0,0,18.83291,0.33866647,18.829865,0.69166666,0.31111112,0.3055556,0.3080247
2024-04-13 18:13:44,7,2,12 Sydney French,72 Jacqueline Jarik,0,0,0,1,1,0,0,0,0,0,0,24.46852,24.383999,2.032001,0.3055556,0.3080247,0.26388893,0.08580248
2024-04-13 18:16:20,8,1,52 Erynn Schroeder,10 Chelsea Twohig,0,0,0,1,1,0,1,0,0,0,0,57.790863,57.77653,-1.2869331,0.4875,0.6296296,0.5138889,0.10308641
2024-04-13 18:21:40,9,1,72 Jacqueline Jarik,00 Donna Johnston,0,0,0,0,0,0,0,0,0,0,0,12.417202,1.4901285,-12.327466,0.15138893,0.6598765,0.40416667,0.6462963
