Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
52 Erynn Schroeder,22,"3,4,6,8,9,10,11,13,17,19,20,21,24,25,27,29,30,32,33,34,36,37,38",18,4,10,1,56,21,56,36,20,5,2,0,14,13,1,1,0,0,869.14,619.76,20.69,14.76,504.63,56.56,14.02,1.57
21 Annie Shriver,20,"3,4,6,9,10,11,13,19,20,21,24,25,27,29,30,32,33,34,36,37,38",17,3,9,0,18,11,16,16,2,2,0,2,4,3,1,1,0,0,225.45,82.43,17.34,6.34,258.22,171.43,16.14,10.71
12 Sydney French,19,"1,2,5,7,8,12,14,15,18,22,23,24,26,28,31,33,35,36,37",4,15,2,6,16,9,14,13,3,1,1,2,6,4,2,2,0,0,142.09,85.55,15.79,9.51,260.60,161.61,20.05,12.43
72 Jacqueline Jarik,18,"1,2,7,8,12,14,15,16,17,18,22,23,24,26,28,31,33,35",3,15,2,6,18,8,17,15,3,4,0,1,2,1,1,2,0,0,300.09,192.97,20.01,12.86,240.29,155.04,16.02,10.34
22 Alex Ballinger,17,"1,2,5,7,8,14,15,16,18,22,23,26,28,29,31,34,37",5,12,3,6,20,12,20,13,7,0,4,0,3,2,1,3,0,0,249.81,98.15,14.69,5.77,178.92,106.07,13.76,8.16
05 Rose Glinka,16,"3,6,10,11,13,17,19,20,21,25,27,29,30,32,33,34,38",15,1,9,0,18,11,17,13,5,1,2,1,2,2,0,1,0,0,208.91,131.94,14.92,9.42,219.91,71.93,16.92,5.53
17 Caitlin Duffner,17,"3,4,6,9,10,11,13,17,19,20,21,24,25,27,29,30,32",16,1,8,0,15,6,12,14,1,0,2,3,1,0,1,2,0,0,168.64,20.39,14.05,1.70,327.45,187.49,23.39,13.39
13 Erin Newman,15,"4,6,9,11,13,17,19,20,21,25,27,29,30,32,34,38",15,0,9,0,2,2,1,2,0,0,0,1,0,0,0,0,0,0,13.76,10.09,13.76,10.09,59.03,50.19,29.52,25.10
10 Chelsea Twohig,15,"2,5,7,8,14,15,18,23,24,28,30,33,35,36,37",4,11,2,4,8,5,7,5,3,1,0,1,0,0,0,1,0,0,130.90,114.47,18.70,16.35,113.89,100.52,22.78,20.10
32 Mickela Heilicher,15,"1,2,5,7,12,14,15,16,18,22,23,26,28,31,35",3,12,1,5,16,10,16,9,7,0,0,0,3,3,0,1,0,0,197.10,112.71,17.92,10.25,132.06,49.65,14.67,5.52
99 Dana Demmert,13,"1,5,8,12,15,16,18,22,26,31,33,35,36,38",3,10,1,4,2,2,1,1,1,0,0,1,0,0,0,2,0,0,13.22,9.28,13.22,9.28,17.21,16.53,17.21,16.53
08 Manhua Zhu,12,"3,6,9,11,17,19,20,25,27,30,32,34,38",12,0,7,0,17,11,17,12,5,2,0,0,1,1,0,0,0,0,266.41,107.56,17.76,7.17,163.27,59.06,13.61,4.92
97 Eileen Bequette,13,"1,5,8,12,14,16,22,24,28,31,35,36,37",4,9,2,3,3,3,1,3,0,1,0,2,0,0,0,0,0,0,17.21,16.53,17.21,16.53,120.98,118.40,40.33,39.47
27 Stef Bugasch,11,"4,10,17,19,20,21,25,27,29,32,34,38",11,0,7,0,7,5,6,6,1,0,1,1,1,1,0,0,0,0,72.47,-4.20,14.49,-0.84,98.77,56.42,16.46,9.40
07 Sydney Stelzer,11,"2,7,12,15,18,23,26,31,35,36,37",2,9,1,3,2,2,1,2,0,0,0,1,1,0,1,0,0,0,12.94,12.94,12.94,12.94,49.24,49.17,24.62,24.59
00 Donna Johnston,10,"1,2,7,12,14,16,22,23,26,28",1,9,1,4,9,5,9,9,0,0,1,0,3,1,2,0,0,0,87.31,2.17,10.91,0.27,108.95,22.69,12.11,2.52
19 Emily Cohen,8,"3,4,6,9,10,11,13,16",7,1,2,0,6,6,6,6,0,0,1,0,1,1,0,0,0,0,66.93,1.83,13.39,0.37,126.69,108.10,21.11,18.02
88 Claire Kelley,6,"3,4,9,10,13,21",6,0,1,0,3,3,2,3,0,0,0,1,1,1,0,0,0,0,11.42,-8.60,11.42,-8.60,73.72,65.09,24.57,21.70
