Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2024-04-13 17:33:57,1,1,0,0,0.45416668,0.45493826,22 Alex Ballinger,5,,,,12 Sydney French,,
2024-04-13 17:36:15,1,2,0,0,0.1180556,0.5419753,32 Mickela Heilicher,1,,,,,00 Donna Johnston,
2024-04-13 17:37:16,1,3,0,0,0.73333335,0.6018519,72 Jacqueline Jarik,2,,,,,12 Sydney French,
2024-04-13 17:39:30,1,4,0,1,0.20694447,0.6364198,12 Sydney French,4,22 Alex Ballinger,72 Jacqueline Jarik,97 Eileen Bequette,,,
2024-04-13 17:46:51,2,1,0,0,0.2819444,0.7339506,72 Jacqueline Jarik,5,,,,,12 Sydney French,
2024-04-13 17:50:52,3,1,1,0,0.71944445,0.7808642,08 Manhua Zhu,5,,,,21 Annie Shriver,,
2024-04-13 17:56:09,4,1,1,0,0.46388885,0.67839503,52 Erynn Schroeder,1,,,,52 Erynn Schroeder,,
2024-04-13 17:58:05,4,2,1,0,0.4847222,0.56296295,52 Erynn Schroeder,4,,,,21 Annie Shriver,,
2024-04-13 17:59:55,4,3,1,0,0.105555534,0.57407403,27 Stef Bugasch,2,,,,,21 Annie Shriver,
2024-04-13 18:03:27,5,1,1,0,0.49166667,0.7234568,22 Alex Ballinger,3,,,,12 Sydney French,,
2024-04-13 18:05:10,6,1,1,1,0.47638887,0.6030864,52 Erynn Schroeder,3,19 Emily Cohen,08 Manhua Zhu,21 Annie Shriver,,,
2024-04-13 18:08:18,7,1,0,0,0.7388889,0.7623457,32 Mickela Heilicher,7,,,,12 Sydney French,00 Donna Johnston,
2024-04-13 18:11:19,7,2,0,1,0.5027778,0.6580247,22 Alex Ballinger,8,00 Donna Johnston,12 Sydney French,72 Jacqueline Jarik,,,
2024-04-13 18:16:17,8,1,0,1,0.4875,0.6296296,52 Erynn Schroeder,1,,52 Erynn Schroeder,10 Chelsea Twohig,,,
2024-04-13 18:21:38,9,1,1,0,0.15138893,0.6598765,72 Jacqueline Jarik,7,,,,00 Donna Johnston,,
2024-04-13 18:22:43,9,2,1,0,0.077777795,0.8080247,52 Erynn Schroeder,3,,,,52 Erynn Schroeder,,
