Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-04-15 18:23:11,1,33 Valeria Cardenas,1,0,0,0,0.2651852,0.91567856
2024-04-15 18:49:03,7,00 Genny De Jesus,0,0,0,0,0.47087377,0.49280578
2024-04-15 18:54:47,9,33 Valeria Cardenas,0,0,0,0,0.5372168,0.4848921
2024-04-15 19:21:56,9,02 Jolene Zheng,0,1,0,1,0.487055,0.08345324
2024-04-15 19:23:56,10,11 Emma Berrigan,0,0,0,0,0.58414245,0.2654676
2024-04-15 19:26:20,11,26 Mariabelen Restrepo,0,0,0,0,0.43365702,0.7201439
2024-04-15 19:32:29,12,31 Eli Presberg,0,0,0,0,0.1278317,0.5618705
2024-04-15 19:43:26,16,09 Cassandra Brown,0,0,0,0,0.52427185,0.7215828
2024-04-15 19:48:57,18,23 Linnea Soo,0,0,0,0,0.57281554,0.6374101
2024-04-15 19:57:34,22,31 Eli Presberg,1,0,0,0,0.5388349,0.89928055
2024-04-15 20:00:06,23,33 Valeria Cardenas,0,0,0,0,0.4223301,0.30431655
2024-04-15 20:17:54,31,18 Kylie Sterling,0,0,0,0,0.9142395,0.78129494
2024-04-15 20:27:04,34,20 Yina Cartagena,0,0,0,0,0.32362455,0.4410072
2024-04-15 20:30:03,34,24 Jolie Krebs,0,0,0,0,0.069579266,0.38848922
2024-04-15 20:31:38,35,24 Jolie Krebs,1,0,0,0,0.2669903,0.90863305
2024-04-15 20:41:16,39,96 Nina Finley,0,1,0,1,0.5469256,0.08633093
