Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
33 Valeria Cardenas,27,"1,2,4,6,7,8,9,11,13,14,15,16,17,19,20,21,23,25,26,27,29,30,32,34,36,37,38",16,11,11,6,66,23,63,52,14,3,4,3,8,6,2,3,0,0,880.98,384.28,15.46,6.74,711.45,215.8,13.68,4.15
00 Genny De Jesus,22,"1,2,5,7,8,10,11,13,14,16,17,19,23,24,25,27,29,31,33,34,36,38",16,6,10,5,19,14,15,19,0,0,2,4,2,1,1,1,0,0,161.4,-10.18,11.53,-0.73,380.91,226.54,20.05,11.92
20 Yina Cartagena,21,"1,2,5,7,8,9,11,13,14,16,17,19,21,23,24,27,29,31,34,36,38",16,5,10,5,69,21,68,55,14,8,3,1,5,4,1,1,0,0,"1,013.93",622.11,16.35,10.03,770.14,118.49,14,2.15
96 Nina Finley,21,"3,4,6,8,10,12,14,15,18,20,22,24,28,30,31,32,33,34,35,37,39",3,18,1,8,24,14,24,15,9,2,1,1,4,3,1,1,0,0,373.34,170.67,17.78,8.13,211.2,16.1,14.08,1.07
24 Jolie Krebs,18,"2,4,6,14,15,20,21,22,25,26,28,30,31,32,34,35,37,39",3,15,3,7,28,12,27,22,6,3,1,1,2,2,0,2,0,0,380.68,226.92,15.23,9.08,269.06,19.63,12.23,0.89
23 Linnea Soo,17,"1,7,9,11,13,14,16,18,19,23,24,25,27,29,34,36,38",14,3,9,2,12,10,11,11,1,0,0,1,2,1,1,1,0,0,127.28,6.16,14.14,0.68,178.32,124.33,16.21,11.3
02 Jolene Zheng,16,"1,2,7,9,11,12,13,16,17,19,23,24,27,29,36,38",14,2,9,1,7,6,6,7,0,0,1,1,2,1,1,1,0,0,63.65,-17.92,15.91,-4.48,111.17,98.9,15.88,14.13
09 Cassandra Brown,15,"1,2,7,9,11,13,16,17,19,23,24,27,29,36,38",14,1,9,1,21,12,20,14,7,1,0,1,4,4,0,1,0,0,224.36,132.99,14.02,8.31,189.99,109.89,13.57,7.85
97 Hannah Glick,15,"1,7,9,11,13,14,16,17,19,23,25,26,27,36,38",12,3,8,2,7,5,7,7,0,1,1,0,0,0,0,0,0,0,99.71,-23.76,14.24,-3.39,107.08,73.18,15.3,10.45
11 Emma Berrigan,15,"2,3,5,9,10,12,18,22,24,28,31,33,34,35,39",4,11,3,5,3,3,2,2,1,0,0,1,0,0,0,1,0,0,23.92,-21.95,11.96,-10.97,33.23,30.55,16.61,15.28
88 Nikki Hair,13,"3,5,10,12,17,18,22,25,28,30,33,35,39",2,11,2,4,4,4,3,4,0,0,1,1,1,0,1,0,0,0,37.2,9.16,12.4,3.05,87.6,66.39,21.9,16.6
62 Casey Banta-Ryan,12,"3,4,6,8,15,20,21,25,26,29,32,37",3,9,2,5,4,4,3,4,0,0,1,1,0,0,0,0,0,0,37.43,7.42,12.48,2.47,65.6,55.97,16.4,13.99
31 Eli Presberg,11,"5,8,10,12,18,22,28,31,33,35,39",1,10,0,4,12,8,11,12,0,0,1,1,2,2,0,2,0,0,130.01,-12.08,14.45,-1.34,200.02,89.36,16.67,7.45
18 Kylie Sterling,11,"4,6,8,15,20,21,26,30,31,32,37",1,10,0,5,8,6,8,8,0,1,0,0,4,4,0,1,0,0,61.79,18.24,20.6,6.08,124.43,78.07,15.55,9.76
05 Emily Wang,10,"3,5,10,12,18,22,28,33,35,39",0,10,0,4,4,3,4,4,0,0,0,0,0,0,0,0,0,0,58.06,22.1,14.51,5.53,59.36,-23.05,14.84,-5.76
26 Mariabelen Restrepo,10,"3,4,6,15,20,21,26,30,32,37",0,10,0,5,10,6,9,7,3,0,0,1,1,1,0,1,0,0,82.08,2.92,11.73,0.42,129.05,94.1,18.44,13.44
65 Anna Lieberman,10,"3,5,10,12,18,22,28,33,35,39",0,10,0,4,3,3,3,3,0,1,0,0,1,1,0,0,0,0,30.85,23.37,15.43,11.68,45.53,27.39,15.18,9.13
44 Kayla Seeger,9,"4,6,15,20,21,26,30,32,37",0,9,0,4,5,3,3,5,0,0,0,2,1,0,1,0,0,0,47.75,20.52,15.92,6.84,125.77,91.97,25.15,18.39
