Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2024-04-15 18:18:29,1,0,0,1,0,4,16,4,2,2,1,2,,,
2024-04-15 18:28:22,2,0,1,1,1,2,15,1,1,0,0,1,,24 Jolie Krebs,
2024-04-15 18:35:57,3,1,1,0,1,1,7,0,0,0,0,1,88 Nikki Hair,65 Anna Lieberman,62 Casey Banta-Ryan
2024-04-15 18:37:07,4,2,1,0,1,3,14,2,1,1,0,3,,96 Nina Finley,44 Kayla Seeger
2024-04-15 18:41:20,5,3,1,0,1,1,1,0,0,0,0,1,,20 Yina Cartagena,31 Eli Presberg
2024-04-15 18:44:28,6,4,1,0,0,0,0,0,0,0,0,0,,,
2024-04-15 18:46:09,7,4,2,1,0,2,6,2,1,1,1,0,,,
2024-04-15 18:50:10,8,4,3,1,0,1,6,1,1,0,0,0,,,
2024-04-15 18:52:24,9,4,4,1,1,2,7,2,2,0,2,0,,,
2024-04-15 19:22:04,10,5,4,0,1,2,4,1,1,0,1,1,,96 Nina Finley,88 Nikki Hair
2024-04-15 19:25:07,11,6,4,0,1,4,15,3,3,1,1,3,33 Valeria Cardenas,20 Yina Cartagena,33 Valeria Cardenas
2024-04-15 19:31:03,12,7,4,0,0,1,2,1,1,1,1,0,,,
2024-04-15 19:33:25,13,7,5,1,1,1,7,0,0,0,0,0,02 Jolene Zheng,20 Yina Cartagena,23 Linnea Soo
2024-04-15 19:36:35,14,8,5,0,1,2,12,1,1,0,0,2,97 Hannah Glick,20 Yina Cartagena,00 Genny De Jesus
2024-04-15 19:39:52,15,9,5,0,0,1,3,1,1,0,0,1,,,
2024-04-15 19:42:02,16,9,6,1,0,3,7,3,3,1,1,1,,,
2024-04-15 19:44:40,17,9,7,1,1,1,8,0,0,0,0,0,20 Yina Cartagena,33 Valeria Cardenas,00 Genny De Jesus
2024-04-15 19:46:30,18,10,7,0,0,1,6,1,1,0,1,0,,,
2024-04-15 19:50:36,19,10,8,1,1,1,7,0,0,0,0,0,20 Yina Cartagena,33 Valeria Cardenas,20 Yina Cartagena
2024-04-15 19:52:55,20,11,8,0,1,1,5,0,0,0,0,1,96 Nina Finley,33 Valeria Cardenas,24 Jolie Krebs
2024-04-15 19:55:16,21,12,8,0,1,1,4,0,0,0,0,1,62 Casey Banta-Ryan,18 Kylie Sterling,26 Mariabelen Restrepo
2024-04-15 19:56:33,22,13,8,0,0,1,3,1,1,0,1,0,,,
2024-04-15 19:58:38,23,13,9,1,0,2,14,2,2,0,1,0,,,
2024-04-15 20:01:03,24,13,10,1,0,1,7,1,1,0,0,0,,,
2024-04-15 20:03:11,25,13,11,1,1,1,14,0,0,0,0,0,00 Genny De Jesus,24 Jolie Krebs,00 Genny De Jesus
2024-04-15 20:05:59,26,14,11,0,0,0,0,0,0,0,0,0,,,
2024-04-15 20:08:28,27,14,12,1,1,1,9,0,0,0,0,0,20 Yina Cartagena,97 Hannah Glick,02 Jolene Zheng
2024-04-15 20:10:24,28,15,12,0,0,0,0,0,0,0,0,0,,,
2024-04-15 20:11:32,29,15,13,1,1,1,5,0,0,0,0,0,33 Valeria Cardenas,09 Cassandra Brown,33 Valeria Cardenas
2024-04-15 20:12:51,30,16,13,0,0,2,10,2,1,1,0,2,,,
2024-04-15 20:16:51,31,16,14,0,1,1,8,0,0,0,1,0,31 Eli Presberg,20 Yina Cartagena,00 Genny De Jesus
2024-04-15 20:19:05,32,17,14,0,1,3,11,2,2,0,0,3,33 Valeria Cardenas,24 Jolie Krebs,44 Kayla Seeger
2024-04-15 20:22:48,33,18,14,0,0,0,0,0,0,0,0,0,,,
2024-04-15 20:24:35,34,18,15,1,1,3,19,2,2,0,2,0,24 Jolie Krebs,20 Yina Cartagena,11 Emma Berrigan
2024-04-15 20:30:45,35,19,15,0,0,1,3,1,1,0,1,0,,,
2024-04-15 20:33:04,36,19,16,1,1,2,9,1,0,1,0,1,00 Genny De Jesus,20 Yina Cartagena,33 Valeria Cardenas
2024-04-15 20:35:29,37,20,16,0,0,0,0,0,0,0,0,0,,,
2024-04-15 20:36:38,38,20,17,1,1,1,9,0,0,0,0,0,33 Valeria Cardenas,20 Yina Cartagena,09 Cassandra Brown
2024-04-15 20:38:15,39,21,17,0,1,1,15,1,1,0,1,1,,,
2024-04-15 20:41:19,40,22,17,0,0,0,0,0,0,0,0,0,,,
