Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2024-04-16 21:00:54,1,0,0,1,0,3,11,3,3,0,2,0,,,
2024-04-16 21:05:25,2,0,1,1,0,5,10,5,3,2,2,2,,,
2024-04-16 21:14:29,3,0,2,1,0,4,9,4,3,1,0,3,,,
2024-04-16 21:19:22,4,0,3,1,0,3,10,3,2,1,0,2,,,
2024-04-16 21:25:52,5,0,4,1,0,3,6,3,3,0,1,1,,,
2024-04-16 21:30:44,6,0,5,1,0,5,18,5,4,1,0,4,,,
2024-04-16 21:38:45,7,0,6,1,0,1,4,1,1,0,0,0,,,
2024-04-16 21:41:33,8,0,7,1,1,1,8,0,0,0,0,0,32 Mickela Heilicher,99 Dana Demmert,10 Chelsea Twohig
2024-04-16 21:45:20,9,1,7,0,0,1,3,1,1,0,0,1,,,
2024-04-16 21:51:47,10,1,8,1,0,2,9,2,1,1,0,1,,,
2024-04-16 22:00:10,11,1,9,1,0,2,14,2,1,1,1,0,,,
2024-04-16 22:05:17,12,1,10,1,1,1,2,0,0,0,0,0,32 Mickela Heilicher,10 Chelsea Twohig,97 Eileen Bequette
2024-04-16 22:06:52,13,2,10,0,0,0,0,0,0,0,0,0,,,
2024-04-16 22:08:20,14,2,11,1,0,1,2,1,0,1,0,0,,,
2024-04-16 22:09:44,15,2,12,1,0,9,24,9,7,3,1,7,,,
2024-04-16 22:20:41,16,2,13,0,1,6,20,5,2,3,2,3,97 Eileen Bequette,10 Chelsea Twohig,12 Sydney French
2024-04-16 22:30:31,17,3,13,0,0,0,0,0,0,0,0,0,,,
2024-04-16 22:31:17,18,3,14,1,0,2,3,2,1,1,0,1,,,
2024-04-16 22:35:34,19,3,15,1,1,1,8,0,0,0,0,0,22 Alex Ballinger,10 Chelsea Twohig,72 Jacqueline Jarik
2024-04-16 22:37:10,20,4,15,0,0,4,10,4,4,0,2,2,,,
2024-04-16 22:42:35,21,4,16,1,0,1,1,1,1,0,0,1,,,
