Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-04-15 08:35:18,1,11 Sara Liang,0,0,0,0,0.9839255,0.19543464
2024-04-15 08:37:45,1,05 Lindsay McKenna,0,0,0,0,0.74873096,0.25484678
2024-04-15 08:45:19,2,08 Emma Soiles,1,0,0,0,0.67089677,0.88899314
2024-04-15 09:01:40,3,13 Kat Harper,0,0,0,0,0.8536379,0.4043152
2024-04-15 09:10:47,5,01 Emily Shields,0,0,0,0,0.30033842,0.32363978
2024-04-15 09:14:09,6,00 Emilie Mohler,0,0,0,0,0.3037225,0.5562852
2024-04-15 09:14:45,6,11 Sara Liang,0,0,0,0,0.4424704,0.29612258
2024-04-15 09:19:18,7,24 Casey Gorman,0,0,0,0,0.61167514,0.3492808
2024-04-15 09:20:21,7,04 Raha Mozaffari,0,0,0,0,0.8654822,0.32051283
2024-04-15 09:22:06,7,04 Raha Mozaffari,0,0,0,0,0.6996616,0.634459
2024-04-15 09:41:34,11,05 Lindsay McKenna,0,0,0,0,0.70812184,0.5963102
2024-04-15 09:51:26,13,24 Casey Gorman,0,0,0,0,0.7385787,0.7945591
2024-04-15 10:03:02,17,66 Jess Brand,0,0,0,0,0.83502537,0.5006254
2024-04-15 10:04:31,17,11 Sara Liang,0,0,0,0,0.13113368,0.44871795
2024-04-15 10:05:22,17,04 Raha Mozaffari,0,0,0,0,0.6404399,0.7157599
2024-04-15 10:25:29,17,11 Sara Liang,0,0,0,0,0.7639594,0.6300813
2024-04-15 10:26:26,17,13 Kat Harper,0,0,0,0,0.72165823,0.38805503
2024-04-15 10:27:29,17,15 Layne Dodge,0,0,0,0,0.57106596,0.6694809
2024-04-15 10:59:37,19,01 Emily Shields,1,0,0,0,0.17174281,0.9021263
2024-04-15 11:05:21,21,24 Casey Gorman,0,0,0,0,0.78087986,0.36053783
2024-04-15 11:11:55,23,20 Danielle Walsh,0,0,0,0,0.17174281,0.7995622
2024-04-15 11:13:59,23,23 Natalie Bova,1,0,0,0,0.6725888,0.8833646
2024-04-15 11:21:27,24,05 Lindsay McKenna,0,0,0,0,0.9145516,0.40494058
