,Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
0,2024-04-15 08:32:28,1,1,04 Raha Mozaffari,11 Sara Liang,0,0,0,0,0,0,0,0,0,1,1,17.010632,17.010632,0.0,0.99576986,0.44871795,0.99576986,0.27861163
1,2024-04-15 08:32:45,1,1,11 Sara Liang,04 Raha Mozaffari,0,0,0,0,0,0,0,0,1,1,0,13.213846,-9.943715,8.702199,0.99576986,0.27861163,0.7605753,0.37804878
2,2024-04-15 08:32:59,1,1,04 Raha Mozaffari,21 Linda Morse,0,0,0,0,0,0,0,0,0,0,0,21.887905,8.067542,20.34687,0.7605753,0.37804878,0.21065989,0.29737335
3,2024-04-15 08:33:07,1,1,21 Linda Morse,18 Sumi Onoe,0,0,0,0,0,0,0,0,0,0,0,9.493927,0.8755475,-9.453468,0.21065989,0.29737335,0.46615905,0.28861788
4,2024-04-15 08:33:15,1,1,18 Sumi Onoe,04 Raha Mozaffari,0,0,0,0,0,0,0,0,1,0,0,9.195046,-1.0006249,-9.140439,0.46615905,0.28861788,0.71319795,0.29862413
5,2024-04-15 08:33:23,1,1,04 Raha Mozaffari,18 Sumi Onoe,0,0,0,0,0,0,0,0,1,0,0,6.529447,-6.003752,2.5668344,0.71319795,0.29862413,0.64382404,0.35866165
6,2024-04-15 08:33:30,1,1,18 Sumi Onoe,04 Raha Mozaffari,0,0,0,0,0,0,0,0,1,0,0,4.045113,-1.5009403,-3.7563438,0.64382404,0.35866165,0.74534684,0.37367105
7,2024-04-15 08:33:42,1,1,04 Raha Mozaffari,15 Layne Dodge,0,0,0,0,0,0,0,1,0,0,0,18.85408,6.94184,17.52961,0.74534684,0.37367105,0.2715736,0.30425265
8,2024-04-15 08:33:50,1,1,15 Layne Dodge,04 Raha Mozaffari,0,0,0,0,0,0,0,0,1,0,0,11.732087,-6.003752,-10.079526,0.2715736,0.30425265,0.54399323,0.36429018
9,2024-04-15 08:33:56,1,1,04 Raha Mozaffari,08 Emma Soiles,0,0,0,0,0,0,0,0,0,0,0,14.303443,9.693557,-10.517767,0.54399323,0.36429018,0.8282572,0.2673546
10,2024-04-15 08:34:13,1,1,08 Emma Soiles,11 Sara Liang,1,1,1,1,0,0,0,0,0,0,1,15.75242,15.509695,-2.7546527,0.8282572,0.2673546,0.9027073,0.11225766
11,2024-04-15 08:36:16,1,2,04 Raha Mozaffari,18 Sumi Onoe,1,1,0,0,0,0,0,1,0,1,0,13.413649,1.1257038,13.366329,1.0,0.20231394,0.6387479,0.1910569
12,2024-04-15 08:38:05,1,3,04 Raha Mozaffari,08 Emma Soiles,0,0,0,1,1,0,0,0,0,1,1,11.882766,11.819887,1.2208123,1.0,0.19355847,0.9670051,0.0753596
13,2024-04-15 08:40:48,2,1,04 Raha Mozaffari,11 Sara Liang,0,0,0,0,0,0,0,0,1,0,0,11.597466,-6.629145,-9.516073,0.18866329,0.677611,0.44585449,0.74390244
14,2024-04-15 08:40:56,2,1,11 Sara Liang,08 Emma Soiles,0,0,0,0,0,0,0,0,0,0,0,12.034745,8.505315,-8.514382,0.44585449,0.74390244,0.67597294,0.6588493
15,2024-04-15 08:41:07,2,1,08 Emma Soiles,21 Linda Morse,1,1,0,0,0,0,0,0,0,0,0,12.327975,11.319578,-4.8832493,0.67597294,0.6588493,0.80795264,0.5456535
16,2024-04-15 08:42:59,2,2,11 Sara Liang,04 Raha Mozaffari,0,0,0,0,0,0,0,0,0,0,0,8.577901,0.12508035,8.576989,0.677665,0.7120075,0.44585449,0.7107567
17,2024-04-15 08:43:01,2,2,04 Raha Mozaffari,11 Sara Liang,0,0,0,0,0,0,0,0,0,0,0,6.3233523,3.9399624,-4.945855,0.44585449,0.7107567,0.57952625,0.6713571
18,2024-04-15 08:43:02,2,2,11 Sara Liang,04 Raha Mozaffari,0,0,0,0,0,0,0,0,0,0,0,5.331318,4.940587,-2.003384,0.57952625,0.6713571,0.63367176,0.6219512
19,2024-04-15 08:43:18,2,2,04 Raha Mozaffari,18 Sumi Onoe,0,0,0,0,0,0,0,0,0,0,0,21.784315,21.200748,-5.008459,0.63367176,0.6219512,0.7690355,0.40994373
20,2024-04-15 08:43:31,2,2,18 Sumi Onoe,04 Raha Mozaffari,0,0,0,0,0,0,0,0,1,0,0,7.5049505,-7.5046897,-0.062606096,0.7690355,0.40994373,0.7707276,0.48499063
21,2024-04-15 08:43:50,2,2,04 Raha Mozaffari,21 Linda Morse,1,1,1,0,0,0,0,0,0,0,0,6.5473094,6.5040646,0.75126874,0.7707276,0.48499063,0.750423,0.41994998
