,Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
0,11 Sara Liang,14,"1,3,4,6,8,9,11,12,14,16,17,20,22,24",1,13,1,8,24,9,24,9,15,2,0,0,3,2,1,4,0,0,237.74,134.21,11.89,6.71,79.64,20.83,8.85,2.31
1,08 Emma Soiles,13,"1,3,6,8,9,11,12,14,17,18,20,22,24",1,12,1,7,13,9,8,13,0,0,1,4,3,2,1,1,0,0,41.467909999999996,9.635380000000001,12.46,6.84,164.91,128.27,12.69,9.87
2,04 Raha Mozaffari,12,"1,3,6,7,9,11,12,13,16,20,21,22",1,11,1,8,33,11,33,14,19,3,3,0,5,5,0,3,0,0,339.24,169.42,14.75,7.37,113.92,-34.15,8.14,-2.44
3,18 Sumi Onoe,11,"1,3,6,8,9,11,12,16,18,20,24",1,10,1,7,8,6,6,8,0,0,0,2,3,0,3,0,0,0,51.86,5.0,8.64,0.83,138.17,89.24,17.27,11.16
4,15 Layne Dodge,10,"1,4,6,8,11,12,14,17,20,22",1,9,1,5,5,5,4,5,0,0,1,1,0,0,0,1,0,0,55.71,28.33,13.93,7.08,68.63,35.08,13.73,7.02
5,21 Linda Morse,10,"1,3,6,8,11,12,14,17,20,24",1,9,1,7,11,8,10,11,0,4,0,1,4,1,3,0,0,0,135.29,89.81,16.91,11.23,196.82,159.35,17.89,14.49
6,00 Emilie Mohler,10,"2,4,6,8,12,14,16,18,21,24",0,10,0,7,6,4,5,5,1,0,1,1,1,1,0,1,0,0,46.68,35.33,11.67,8.83,46.07,15.07,9.21,3.01
7,22 Liz Hart,8,"2,4,5,10,15,18,19,23",5,3,4,1,7,5,7,7,0,0,0,0,2,1,1,0,0,0,48.83,29.39,8.14,4.9,79.93,60.98,11.42,8.71
8,05 Lindsay McKenna,8,"1,7,11,13,16,17,21,24",0,8,0,7,4,3,3,2,1,1,1,0,1,0,1,3,0,0,55.41,37.21,18.47,12.4,39.98791000000001,39.08538,24.42,23.49
9,24 Casey Gorman,7,"4,7,9,13,16,18,21",0,7,0,4,3,2,2,2,1,0,0,1,1,0,1,3,0,0,19.42,15.88,9.71,7.94,27.54,21.7,13.77,10.85
10,36 Adilina Malave,6,"4,7,13,17,20,22",1,5,1,3,4,4,4,4,0,0,0,0,4,3,1,0,0,0,7.23,-5.5,7.23,-5.5,42.4,3.94,10.6,0.98
11,20 Danielle Walsh,6,"2,5,10,15,19,23",5,1,4,1,40,6,40,33,7,1,0,0,6,4,2,1,0,0,267.77,86.49,7.44,2.4,220.99,49.03,6.7,1.49
12,23 Natalie Bova,6,"2,5,10,15,19,23",5,1,4,1,28,5,28,26,2,1,1,0,1,1,0,1,0,0,193.95,73.42,7.76,2.94,189.81,30.64,7.3,1.18
13,10 Andrea DeSabato,6,"2,5,10,15,19,23",5,1,4,1,33,5,33,28,5,1,1,0,1,1,0,0,0,0,217.05,52.91,6.78,1.65,161.81,42.46,5.78,1.52
14,13 Kat Harper,6,"3,7,9,13,17,21",0,6,0,5,6,4,4,5,1,1,1,2,0,0,0,2,0,0,46.68,25.77,11.67,6.44,86.01,56.6,17.2,11.32
15,33 Jana Graham,6,"3,7,13,18,21,24",0,6,0,5,1,1,1,1,0,0,0,0,2,1,1,0,0,0,0.0,0.0,0.0,0.0,13.22,12.13,13.22,12.13
16,01 Emily Shields,5,"2,5,10,19,23",4,1,3,1,10,5,9,9,1,1,0,1,1,0,1,2,0,0,109.45,87.43,15.64,12.49,124.93,88.68,13.88,9.85
17,16 Grace Maroon,5,"2,5,10,15,23",4,1,4,1,8,3,6,8,0,0,2,2,0,0,0,0,0,0,39.4,17.51,6.57,2.92,88.88,65.92,11.11,8.24
18,17 Allie Milligan,4,"7,14,18,21",0,4,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,09 Sarah Hirannet,4,"9,15,19,23",3,1,2,0,5,3,4,5,0,0,1,1,0,0,0,0,0,0,36.77,23.14,9.19,5.78,57.55,40.65,11.51,8.13
20,66 Jess Brand,4,"4,13,16,22",0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,03 Rachel Alfano,4,"5,10,15,19",4,0,3,0,7,2,7,7,0,1,0,0,0,0,0,0,0,0,45.23,20.39,6.46,2.91,43.48,1.19,6.21,0.17
22,25 Sabrina Bonaci,3,"8,14,22",0,3,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,10.48,9.07,10.48,9.07
