Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2024-04-15 08:24:16,1,0,0,0,1,3,13,2,2,1,2,1,,04 Raha Mozaffari,08 Emma Soiles
2024-04-15 08:38:07,2,1,0,0,1,5,25,4,3,2,1,4,10 Andrea DeSabato,23 Natalie Bova,00 Emilie Mohler
2024-04-15 08:55:02,3,2,0,0,1,4,9,3,0,3,1,3,13 Kat Harper,21 Linda Morse,08 Emma Soiles
2024-04-15 09:02:20,4,3,0,0,0,1,4,1,1,0,0,1,,,
2024-04-15 09:05:44,5,3,1,1,1,2,4,1,1,0,1,0,23 Natalie Bova,10 Andrea DeSabato,01 Emily Shields
2024-04-15 09:11:07,6,4,1,0,1,3,7,2,1,1,2,1,08 Emma Soiles,21 Linda Morse,18 Sumi Onoe
2024-04-15 09:16:24,7,5,1,0,1,5,6,4,2,2,3,2,,04 Raha Mozaffari,13 Kat Harper
2024-04-15 09:22:58,8,6,1,0,1,1,3,0,0,0,0,1,15 Layne Dodge,21 Linda Morse,08 Emma Soiles
2024-04-15 09:25:43,9,7,1,0,0,0,0,0,0,0,0,0,,,
2024-04-15 09:29:33,10,7,2,1,1,2,40,1,1,0,0,1,16 Grace Maroon,03 Rachel Alfano,16 Grace Maroon
2024-04-15 09:39:47,11,8,2,0,0,1,6,1,0,1,1,0,,,
2024-04-15 09:42:50,12,8,3,0,1,1,9,0,0,0,0,1,00 Emilie Mohler,11 Sara Liang,08 Emma Soiles
2024-04-15 09:49:25,13,9,3,0,1,2,4,1,1,0,1,1,04 Raha Mozaffari,05 Lindsay McKenna,13 Kat Harper
2024-04-15 09:55:45,14,10,3,0,0,0,0,0,0,0,0,0,,,
2024-04-15 09:57:28,15,10,4,1,1,1,3,0,0,0,0,0,16 Grace Maroon,20 Danielle Walsh,09 Sarah Hirannet
2024-04-15 09:59:44,16,11,4,0,1,1,1,0,0,0,0,1,,04 Raha Mozaffari,18 Sumi Onoe
2024-04-15 10:01:17,17,12,4,0,1,9,19,8,5,4,6,3,,11 Sara Liang,21 Linda Morse
2024-04-15 10:29:23,18,13,4,0,0,1,1,1,1,0,0,1,,,
2024-04-15 10:33:00,19,13,5,1,0,4,49,4,1,3,1,2,,,
2024-04-15 11:00:19,20,13,6,1,1,1,2,0,0,0,0,0,04 Raha Mozaffari,21 Linda Morse,15 Layne Dodge
2024-04-15 11:02:48,21,14,6,0,1,2,8,1,1,0,1,1,04 Raha Mozaffari,13 Kat Harper,24 Casey Gorman
2024-04-15 11:06:53,22,15,6,0,0,0,0,0,0,0,0,0,,,
2024-04-15 11:08:40,23,15,7,1,1,5,27,4,4,0,2,2,09 Sarah Hirannet,01 Emily Shields,16 Grace Maroon
2024-04-15 11:17:40,24,16,7,0,1,1,2,0,0,0,1,0,05 Lindsay McKenna,08 Emma Soiles,05 Lindsay McKenna
2024-04-15 11:21:58,25,17,7,0,0,0,0,0,0,0,0,0,,,
