Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2024-04-15 08:32:13,1,1,0,0,0.99576986,0.44871795,04 Raha Mozaffari,11,,,,08 Emma Soiles,11 Sara Liang,
2024-04-15 08:35:37,1,2,0,0,1.0,0.20231394,04 Raha Mozaffari,1,,,,04 Raha Mozaffari,,
2024-04-15 08:38:00,1,3,0,1,1.0,0.19355847,04 Raha Mozaffari,1,,04 Raha Mozaffari,08 Emma Soiles,,,
2024-04-15 08:40:42,2,1,0,0,0.18866329,0.677611,04 Raha Mozaffari,3,,,,08 Emma Soiles,,
2024-04-15 08:42:57,2,2,0,0,0.677665,0.7120075,11 Sara Liang,6,,,,04 Raha Mozaffari,21 Linda Morse,
2024-04-15 08:44:34,2,3,0,0,0.53384095,0.82020015,04 Raha Mozaffari,1,,,,04 Raha Mozaffari,,
2024-04-15 08:45:35,2,4,0,0,0.92978,0.81894934,11 Sara Liang,7,,,,,36 Adilina Malave,
2024-04-15 08:53:33,2,5,0,1,0.5084602,0.81832397,10 Andrea DeSabato,8,10 Andrea DeSabato,23 Natalie Bova,00 Emilie Mohler,,,
2024-04-15 08:57:52,3,1,0,0,0.82656515,0.5487805,04 Raha Mozaffari,1,,,,,08 Emma Soiles,
2024-04-15 08:59:10,3,2,0,0,0.99069375,0.28361475,11 Sara Liang,1,,,,,18 Sumi Onoe,
2024-04-15 09:00:25,3,3,0,0,0.8637902,0.33739838,11 Sara Liang,2,,,,,18 Sumi Onoe,
2024-04-15 09:01:44,3,4,0,1,0.8536379,0.4043152,13 Kat Harper,5,13 Kat Harper,21 Linda Morse,08 Emma Soiles,,,
2024-04-15 09:03:55,4,1,0,0,0.43401015,0.40181363,11 Sara Liang,4,,,,36 Adilina Malave,,
2024-04-15 09:10:00,5,1,1,0,0.750423,0.4662289,20 Danielle Walsh,1,,,,20 Danielle Walsh,,
2024-04-15 09:10:48,5,2,1,1,0.30033842,0.32363978,01 Emily Shields,3,23 Natalie Bova,10 Andrea DeSabato,01 Emily Shields,,,
2024-04-15 09:14:11,6,1,0,0,0.3037225,0.5562852,00 Emilie Mohler,2,,,,04 Raha Mozaffari,,
2024-04-15 09:14:56,6,2,0,0,0.4424704,0.30675423,04 Raha Mozaffari,1,,,,,18 Sumi Onoe,
2024-04-15 09:15:30,6,3,0,1,0.20389171,0.6394622,11 Sara Liang,4,08 Emma Soiles,21 Linda Morse,18 Sumi Onoe,,,
2024-04-15 09:18:32,7,1,0,0,0.27326566,0.41494685,17 Allie Milligan,1,,,,17 Allie Milligan,,
2024-04-15 09:19:24,7,2,0,0,0.6404399,0.33239526,04 Raha Mozaffari,1,,,,,24 Casey Gorman,
2024-04-15 09:20:38,7,3,0,0,0.86717427,0.37554723,04 Raha Mozaffari,2,,,,36 Adilina Malave,,
2024-04-15 09:22:12,7,4,0,0,0.71150595,0.64446527,04 Raha Mozaffari,1,,,,,05 Lindsay McKenna,
2024-04-15 09:22:45,7,5,0,1,0.46954316,0.24358974,04 Raha Mozaffari,1,,04 Raha Mozaffari,13 Kat Harper,,,
2024-04-15 09:25:18,8,1,0,1,0.178511,0.691995,11 Sara Liang,3,15 Layne Dodge,21 Linda Morse,08 Emma Soiles,,,
2024-04-15 09:31:10,10,1,1,0,0.34771574,0.68761724,10 Andrea DeSabato,17,,,,22 Liz Hart,,
2024-04-15 09:34:04,10,2,1,1,0.22419627,0.82020015,10 Andrea DeSabato,23,16 Grace Maroon,03 Rachel Alfano,16 Grace Maroon,,,
2024-04-15 09:41:43,11,1,0,0,0.74365485,0.62132585,11 Sara Liang,6,,,,,21 Linda Morse,
2024-04-15 09:48:11,12,1,0,1,0.8028765,0.663227,11 Sara Liang,9,00 Emilie Mohler,11 Sara Liang,08 Emma Soiles,,,
2024-04-15 09:51:31,13,1,0,0,0.7707276,0.79768604,04 Raha Mozaffari,2,,,,36 Adilina Malave,,
2024-04-15 09:55:30,13,2,0,1,0.679357,0.83083177,04 Raha Mozaffari,2,04 Raha Mozaffari,05 Lindsay McKenna,13 Kat Harper,,,
2024-04-15 09:59:16,15,1,1,1,0.7554991,0.37554723,20 Danielle Walsh,3,16 Grace Maroon,20 Danielle Walsh,09 Sarah Hirannet,,,
