Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
4/14/2024 10:07,1,1,16 Margaret Walker,05 Marie Perivier,0,0,0,0,0,0,0,0,0,0,0,16.925337,10.498663,-13.275735,0.475,0.587037,0.74722224,0.49135804
4/14/2024 10:07,1,1,05 Marie Perivier,37 Claire Trop,0,0,0,0,0,0,0,0,0,0,0,11.653282,11.650132,0.27093405,0.74722224,0.49135804,0.7416667,0.3851852
4/14/2024 10:07,1,1,37 Claire Trop,16 Margaret Walker,0,0,0,0,0,0,0,0,1,0,0,9.571752,-3.589865,8.873066,0.7416667,0.3851852,0.55972224,0.41790125
4/14/2024 10:07,1,1,16 Margaret Walker,23 Lisa Dang,0,0,0,0,0,0,0,0,0,0,0,8.040892,-0.88053346,7.992534,0.55972224,0.41790125,0.39583334,0.42592594
4/14/2024 10:07,1,1,23 Lisa Dang,37 Claire Trop,0,0,0,0,0,0,0,0,0,0,0,11.20736,10.363201,4.2672005,0.39583334,0.42592594,0.30833334,0.3314815
4/14/2024 10:08,1,1,37 Claire Trop,23 Lisa Dang,0,0,0,0,0,0,0,0,0,0,1,8.679384,-0.40640107,8.669865,0.30833334,0.3314815,0.1305556,0.3351852
4/14/2024 10:08,1,1,23 Lisa Dang,08 Kathryn Ritzman,1,0,1,1,0,0,0,0,0,1,0,26.825308,26.483734,-4.2671995,0.1305556,0.3351852,0.21805559,0.09382716
4/14/2024 10:09,1,2,16 Margaret Walker,08 Kathryn Ritzman,0,0,0,0,0,0,0,0,0,0,0,14.4437275,1.5578631,-14.359468,0.15416667,0.49012345,0.44861114,0.47592595
4/14/2024 10:09,1,2,08 Kathryn Ritzman,19 Allie Wallace,0,0,0,0,0,0,0,0,0,0,0,21.155802,8.805334,-19.236269,0.44861114,0.47592595,0.8430556,0.39567903
4/14/2024 10:10,1,2,19 Allie Wallace,23 Lisa Dang,0,0,0,0,0,0,0,0,1,0,0,17.624468,-10.498667,14.156267,0.8430556,0.39567903,0.5527778,0.49135804
