Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
4/14/2024 10:06,1,1,1,0,0.475,0.587037,16 Margaret Walker,7,,,,,08 Kathryn Ritzman,
4/14/2024 10:09,1,2,1,1,0.15416667,0.49012345,16 Margaret Walker,9,23 Lisa Dang,08 Kathryn Ritzman,19 Allie Wallace,,,
4/14/2024 10:16,3,1,1,0,0.4805556,0.72222227,66 Jackie Wang,10,,,,42 Lisi Lohre,,
4/14/2024 10:23,3,2,1,1,0.8819445,0.44506174,66 Jackie Wang,3,13 Sami Smalling,66 Jackie Wang,07 Kami Groom,,,
4/14/2024 10:31,4,1,0,0,0.22638887,0.5141975,23 Lisa Dang,1,,,,,16 Margaret Walker,
4/14/2024 10:31,4,2,0,1,0.525,0.38641974,19 Allie Wallace,5,37 Claire Trop,16 Margaret Walker,37 Claire Trop,,,
4/14/2024 10:34,5,1,0,1,0.7180556,0.66604936,09 Annalise Peters,5,26 Jessica Sourbeer,24 Jamie Eriksson,06 Laureen Johnson,,,
4/14/2024 10:38,6,1,0,0,0.19305554,0.53148144,66 Jackie Wang,4,,,,,42 Lisi Lohre,
4/14/2024 10:40,6,2,0,1,0.73611104,0.7839506,66 Jackie Wang,9,42 Lisi Lohre,00 Emma Jones,15 Florence Brooks,,,
4/14/2024 10:43,7,1,0,0,0.40138894,0.6283951,16 Margaret Walker,2,,,,,05 Marie Perivier,
4/14/2024 10:44,7,2,0,0,0.81805557,0.8,16 Margaret Walker,1,,,,16 Margaret Walker,,
4/14/2024 11:00,8,1,0,0,0.8833333,0.43580246,26 Jessica Sourbeer,3,,,,01 Ashleigh Jentilet,,
4/14/2024 11:02,8,2,0,0,0.51527774,0.5308642,37 Claire Trop,4,,,,,37 Claire Trop,
4/14/2024 11:10,9,1,0,1,0.5138889,0.49012345,09 Annalise Peters,6,36 Carolyn Normile,09 Annalise Peters,01 Ashleigh Jentilet,,,
4/14/2024 11:12,10,1,0,0,0.8375,0.4462963,13 Sami Smalling,3,,,,66 Jackie Wang,,
4/14/2024 11:15,10,2,0,1,0.55833334,0.6166667,66 Jackie Wang,8,66 Jackie Wang,42 Lisi Lohre,15 Florence Brooks,,,
4/14/2024 11:17,11,1,0,0,0.7222222,0.79999995,23 Lisa Dang,3,,,,16 Margaret Walker,,
4/14/2024 11:19,11,2,0,0,0.7263889,0.8030864,23 Lisa Dang,1,,,,,05 Marie Perivier,
4/14/2024 11:21,12,1,1,0,0.47361115,0.6611111,36 Carolyn Normile,3,,,,,37 Claire Trop,
4/14/2024 11:23,12,2,1,1,0.45833334,0.34753087,26 Jessica Sourbeer,4,26 Jessica Sourbeer,09 Annalise Peters,37 Claire Trop,,,
4/14/2024 11:26,13,1,0,1,0.22777773,0.75617284,66 Jackie Wang,10,13 Sami Smalling,15 Florence Brooks,42 Lisi Lohre,,,
4/14/2024 11:36,14,1,0,0,0.3652778,0.52160496,23 Lisa Dang,3,,,,,21 Jess Oh,
4/14/2024 11:38,14,2,0,1,0.52638894,0.46419752,21 Jess Oh,11,21 Jess Oh,05 Marie Perivier,21 Jess Oh,,,
4/14/2024 11:53,15,1,1,0,0.51388896,0.65925926,26 Jessica Sourbeer,2,,,,09 Annalise Peters,,
4/14/2024 11:56,15,2,1,1,0.49583334,0.55493826,24 Jamie Eriksson,3,09 Annalise Peters,24 Jamie Eriksson,01 Ashleigh Jentilet,,,
4/14/2024 11:59,16,1,0,1,0.8625,0.48271605,37 Claire Trop,2,37 Claire Trop,66 Jackie Wang,07 Kami Groom,,,
4/14/2024 12:04,17,1,0,1,0.5180556,0.78641975,16 Margaret Walker,8,16 Margaret Walker,19 Allie Wallace,08 Kathryn Ritzman,,,
4/14/2024 12:07,18,1,0,0,0.86944443,0.49074072,09 Annalise Peters,1,,,,09 Annalise Peters,,
4/14/2024 12:08,18,2,0,0,0.13888887,0.7148148,26 Jessica Sourbeer,3,,,,01 Ashleigh Jentilet,,
4/14/2024 12:09,18,3,0,0,0.21527773,0.5611111,24 Jamie Eriksson,6,,,,26 Jessica Sourbeer,,
4/14/2024 12:11,18,4,0,1,0.4944444,0.4685185,36 Carolyn Normile,13,22 Erin McCann,26 Jessica Sourbeer,06 Laureen Johnson,,,
4/14/2024 12:15,19,1,0,1,0.7930556,0.39876544,66 Jackie Wang,3,13 Sami Smalling,37 Claire Trop,07 Kami Groom,,,
4/14/2024 12:16,20,1,0,0,0.2097222,0.48703703,16 Margaret Walker,3,,,,21 Jess Oh,,
4/14/2024 12:18,20,2,0,1,0.2847222,0.43086419,23 Lisa Dang,3,08 Kathryn Ritzman,21 Jess Oh,05 Marie Perivier,,,
4/14/2024 12:21,21,1,0,0,0.39393944,0.6166565,36 Carolyn Normile,1,,,,36 Carolyn Normile,,
4/14/2024 12:22,21,2,0,0,0.52916664,0.24320988,01 Ashleigh Jentilet,3,,,,01 Ashleigh Jentilet,,
4/14/2024 12:36,22,1,0,0,0.21111113,0.7938272,66 Jackie Wang,6,,,,42 Lisi Lohre,,
4/14/2024 12:38,22,2,0,1,0.7569445,0.3462963,13 Sami Smalling,1,,13 Sami Smalling,66 Jackie Wang,,,
4/14/2024 12:39,23,1,0,1,0.3972222,0.45864198,16 Margaret Walker,7,37 Claire Trop,16 Margaret Walker,21 Jess Oh,,,
4/14/2024 12:45,25,1,1,1,0.5,0.48641974,13 Sami Smalling,3,07 Kami Groom,04 Ellen Mueller,15 Florence Brooks,,,
4/14/2024 12:50,26,1,0,1,0.4875,0.7037037,23 Lisa Dang,5,21 Jess Oh,05 Marie Perivier,19 Allie Wallace,,,
4/14/2024 12:54,27,1,0,1,0.57916665,0.59876543,36 Carolyn Normile,3,26 Jessica Sourbeer,09 Annalise Peters,06 Laureen Johnson,,,
4/14/2024 12:58,29,1,1,1,0.7263889,0.7271605,23 Lisa Dang,6,08 Kathryn Ritzman,16 Margaret Walker,05 Marie Perivier,,,
4/14/2024 13:01,30,1,0,1,0.39722225,0.44135803,09 Annalise Peters,6,09 Annalise Peters,26 Jessica Sourbeer,01 Ashleigh Jentilet,,,
4/14/2024 13:04,31,1,0,0,0.6069444,0.75,66 Jackie Wang,8,,,,07 Kami Groom,,
