Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-04-14 20:51:51,4,77 Melissa Gronske,0,0,0,0,0.27083334,0.60740745
2024-04-14 21:01:20,7,82 Mary Turner,0,0,0,0,0.41111106,0.8259259
2024-04-14 21:07:56,8,10 Tori Taylor,1,0,0,0,0.2569444,0.8598765
2024-04-14 21:19:47,10,10 Tori Taylor,0,0,0,0,0.31527773,0.27407405
2024-04-14 21:24:04,11,21 Elena Rubino,1,0,0,0,0.78888893,0.9228395
2024-04-14 23:02:20,17,10 Tori Taylor,0,0,0,0,0.20555553,0.8302469
2024-04-14 23:03:41,17,82 Mary Turner,0,0,0,0,0.73888886,0.8135803
2024-04-14 23:12:22,20,23 Breanna Snipes,0,0,0,0,0.6111111,0.4358025
2024-04-14 23:21:33,21,22 Rebecca Henley,0,0,0,0,0.69305557,0.6283951
2024-04-14 23:46:29,30,24 Mia Letterie,0,0,0,0,0.4819444,0.75
