Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
10 Tori Taylor,16,"2,3,4,6,8,10,11,12,15,17,19,21,24,25,27,29",13,3,3,0,21,9,20,20,1,2,0,1,4,3,1,3,0,0,229.16,83.11,13.48,4.89,258.96,113.72,12.95,5.69
27 Katharine Gilbert,16,"2,3,4,6,8,10,11,12,15,17,19,21,24,25,27,29",13,3,3,0,49,15,49,36,13,1,1,0,5,5,0,0,0,0,553.38,160.26,13.83,4.01,407.12,79.45,11.31,2.21
08 Grace Robinson,16,"2,3,4,6,8,10,11,12,15,17,19,21,24,25,27,29",13,3,3,0,30,11,29,27,3,0,1,1,6,4,2,0,0,0,347.14,96.66,13.89,3.87,337.54,16.80,12.50,0.62
72 Grace Castro,16,"2,3,4,6,8,10,11,12,15,17,19,21,24,25,27,29",13,3,3,0,13,6,13,13,0,0,0,0,2,2,0,0,0,0,129.97,-3.52,11.82,-0.32,175.05,48.36,13.47,3.72
22 Rebecca Henley,16,"2,3,4,6,8,10,11,12,15,17,19,21,24,25,27,29",13,3,3,0,12,7,11,11,1,0,0,1,0,0,0,1,0,0,98.78,31.43,8.98,2.86,178.46,115.96,16.22,10.54
45 Sylvia Brown,13,"1,5,7,9,13,14,16,18,19,22,23,26,28,30",10,3,2,0,35,13,34,29,6,0,1,1,5,5,0,0,0,0,360.49,106.95,12.87,3.82,315.24,33.39,10.87,1.15
24 Mia Letterie,13,"1,5,7,9,13,14,16,17,20,22,23,26,28,30",10,3,2,0,30,13,30,18,12,0,0,0,3,3,0,1,0,0,320.53,153.62,12.33,5.91,195.87,-25.33,10.88,-1.41
82 Mary Turner,13,"1,5,7,10,11,12,15,17,19,22,23,27,29",11,2,4,0,10,5,10,8,2,0,1,0,2,2,0,2,0,0,84.64,9.96,10.58,1.24,119.86,49.85,14.98,6.23
17 Rachel Barr,12,"1,5,7,9,13,14,16,18,22,23,26,28",9,3,2,0,6,5,6,6,0,0,0,0,1,1,0,0,0,0,43.86,-29.94,8.77,-5.99,89.69,61.71,14.95,10.28
71 Mattea Swegles,11,"1,5,9,13,14,16,18,20,22,23,26,30",9,2,1,0,5,4,5,5,0,0,0,0,1,0,1,0,0,0,49.07,-1.42,9.81,-0.28,54.22,37.46,10.84,7.49
20 Noel Holmes,11,"1,5,9,13,16,18,20,22,23,26,28,30",9,2,1,0,11,6,11,9,2,0,1,0,2,2,0,0,0,0,149.47,77.15,16.61,8.57,126.87,-4.88,14.10,-0.54
21 Elena Rubino,11,"1,5,7,9,13,14,16,18,22,23,28,30",8,3,2,0,5,5,5,5,0,2,0,0,1,1,0,1,0,0,66.82,35.56,16.71,8.89,101.16,76.20,20.23,15.24
77 Melissa Gronske,10,"2,3,4,6,8,20,21,24,25,28",7,3,1,0,5,3,5,5,0,0,0,0,1,1,0,1,0,0,49.16,23.84,12.29,5.96,66.61,33.60,13.32,6.72
04 Ashley West,8,"7,14,18,20,21,24,25,27,30",6,2,2,0,6,5,6,4,2,0,0,0,2,1,1,0,0,0,53.32,-2.37,10.66,-0.47,48.46,19.85,12.11,4.96
16 Emily Branson,9,"2,3,4,6,8,10,11,12,15",7,2,2,0,11,8,11,8,3,0,0,0,4,3,1,0,0,0,100.79,36.85,12.60,4.61,110.35,27.16,13.79,3.40
07 Mary Cowart,7,"7,9,14,18,20,26,28,30",5,2,1,0,5,3,4,5,0,0,0,1,0,0,0,0,0,0,37.12,8.60,9.28,2.15,73.40,47.28,14.68,9.46
23 Breanna Snipes,5,"13,16,20,26,29",5,0,0,0,3,2,3,3,0,0,0,0,1,1,0,1,0,0,29.85,-22.69,14.92,-11.35,44.68,33.46,14.89,11.15
