,Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
0,2024-04-16 08:10:10,2,1,29 Charlotte Doran,21 Samantha Li,0,0,0,0,0,0,0,1,0,1,0,20.279251,-3.9116282,19.898422,0.90940523,0.7089736,0.5013831,0.744622
1,2024-04-16 08:10:27,2,1,21 Samantha Li,08 Dani Ortiz,0,0,0,0,0,0,0,0,0,0,0,6.788077,6.137213,-2.900448,0.5013831,0.744622,0.56085753,0.68869084
2,2024-04-16 08:10:36,2,1,08 Dani Ortiz,29 Charlotte Doran,0,0,0,0,0,0,0,0,1,0,0,9.3241205,-3.1697686,8.768796,0.56085753,0.68869084,0.38105118,0.71757835
3,2024-04-16 08:10:42,2,1,29 Charlotte Doran,05 Megan Jarriel,0,0,0,0,0,0,0,0,0,0,0,9.174333,9.172101,0.20235685,0.38105118,0.71757835,0.3769018,0.6339889
4,2024-04-16 08:11:12,2,1,05 Megan Jarriel,03 Alex Krueger,0,0,0,0,0,0,0,0,1,0,0,12.949834,-12.004665,-4.856564,0.3769018,0.6339889,0.47648686,0.74339277
5,2024-04-16 08:11:17,2,1,03 Alex Krueger,29 Charlotte Doran,0,0,0,0,0,0,0,1,0,0,0,17.829441,2.3604722,-17.672497,0.47648686,0.74339277,0.8388658,0.72188073
6,2024-04-16 08:11:35,2,1,29 Charlotte Doran,21 Samantha Li,0,0,0,0,0,0,0,1,0,0,0,17.954157,-2.7651203,17.73995,0.8388658,0.72188073,0.47510374,0.7470805
7,2024-04-16 08:12:02,2,1,21 Samantha Li,42 Martha Wilber,0,0,0,0,0,0,0,0,0,0,1,24.765705,16.927921,18.077213,0.47510374,0.7470805,0.104426004,0.59280884
8,2024-04-16 08:12:12,2,1,42 Martha Wilber,21 Samantha Li,0,0,0,0,0,0,0,0,1,1,0,15.902347,-10.655827,-11.804151,0.104426004,0.59280884,0.34647304,0.6899201
9,2024-04-16 08:12:26,2,1,21 Samantha Li,29 Charlotte Doran,0,0,0,0,0,0,0,0,1,0,0,11.00047,-1.7534866,-10.8598175,0.34647304,0.6899201,0.5691563,0.70590043
10,2024-04-16 08:12:41,2,1,29 Charlotte Doran,42 Martha Wilber,0,0,0,0,0,0,0,1,0,0,1,16.556461,5.5976777,-15.581477,0.5691563,0.70590043,0.88865834,0.6548863
11,2024-04-16 08:13:34,2,1,42 Martha Wilber,51 Lilli Popovich,0,0,0,0,0,0,0,0,0,1,0,35.74134,34.732586,8.431535,0.88865834,0.6548863,0.7157676,0.3383528
12,2024-04-16 08:13:52,2,1,51 Lilli Popovich,08 Dani Ortiz,0,0,0,0,0,0,0,0,1,0,0,6.2978187,-6.2046566,-1.0792365,0.7157676,0.3383528,0.73789763,0.3948986
13,2024-04-16 08:14:14,2,1,08 Dani Ortiz,21 Samantha Li,1,0,1,0,0,0,0,0,0,0,0,16.586605,16.11862,-3.9122322,0.73789763,0.3948986,0.81811893,0.24800245
14,2024-04-16 08:19:20,3,1,29 Charlotte Doran,08 Dani Ortiz,0,0,0,0,0,0,0,0,0,0,0,11.073631,11.060475,-0.53961825,0.76002765,0.7286417,0.77109265,0.62784266
15,2024-04-16 08:19:26,3,1,08 Dani Ortiz,29 Charlotte Doran,0,0,0,0,0,0,0,0,1,0,0,9.311504,-8.025587,4.7216597,0.77109265,0.62784266,0.67427385,0.7009834
16,2024-04-16 08:19:35,3,1,29 Charlotte Doran,12 Emma Jaschke,0,0,0,0,0,0,0,0,0,0,0,25.036617,14.36513,20.505493,0.67427385,0.7009834,0.2538036,0.5700676
17,2024-04-16 08:19:43,3,1,12 Emma Jaschke,03 Alex Krueger,0,0,0,0,0,0,0,0,1,0,0,4.88571,-4.8558183,0.53961897,0.2538036,0.5700676,0.24273859,0.6143208
18,2024-04-16 08:19:48,3,1,03 Alex Krueger,29 Charlotte Doran,0,0,0,0,0,0,0,0,1,0,0,12.6526,-2.0907044,-12.478672,0.24273859,0.6143208,0.49861687,0.63337433
19,2024-04-16 08:20:04,3,1,29 Charlotte Doran,19 Elle Mayer,0,0,0,0,0,0,0,1,0,0,0,17.31779,3.641867,-16.930523,0.49861687,0.63337433,0.84578145,0.6001844
20,2024-04-16 08:20:08,3,1,19 Elle Mayer,05 Megan Jarriel,0,0,0,0,0,0,0,0,0,0,0,8.895961,5.800002,6.745228,0.84578145,0.6001844,0.70746887,0.5473264
21,2024-04-16 08:20:12,3,1,05 Megan Jarriel,08 Dani Ortiz,0,0,0,0,0,0,0,0,0,0,0,10.970919,7.620939,7.8919168,0.70746887,0.5473264,0.54564315,0.47787338
22,2024-04-16 08:20:25,3,1,08 Dani Ortiz,29 Charlotte Doran,0,0,0,0,0,0,0,0,0,0,0,6.9446177,-0.94418687,6.8801327,0.54564315,0.47787338,0.40456432,0.48647818
23,2024-04-16 08:20:45,3,1,29 Charlotte Doran,12 Emma Jaschke,0,0,0,0,0,0,0,0,0,0,0,9.648874,6.0023293,-7.5546556,0.40456432,0.48647818,0.5594744,0.4317763
24,2024-04-16 08:20:49,3,1,12 Emma Jaschke,19 Elle Mayer,0,0,0,0,0,0,0,0,1,0,0,10.700711,-5.395354,-9.240962,0.5594744,0.4317763,0.74896264,0.48094654
25,2024-04-16 08:20:56,3,1,19 Elle Mayer,29 Charlotte Doran,0,0,0,0,0,0,0,0,0,0,0,10.662793,0.33721125,10.65746,0.74896264,0.48094654,0.53042877,0.47787338
26,2024-04-16 08:21:01,3,1,29 Charlotte Doran,03 Alex Krueger,0,0,0,0,0,0,0,0,0,0,0,14.131264,4.990702,13.220647,0.53042877,0.47787338,0.2593361,0.4323909
27,2024-04-16 08:21:09,3,1,03 Alex Krueger,75 Sarah Kingsley-Hart,0,0,0,0,0,0,0,0,0,0,0,14.609597,1.0790707,-14.569693,0.2593361,0.4323909,0.5580913,0.42255685
28,2024-04-16 08:21:31,3,1,75 Sarah Kingsley-Hart,19 Elle Mayer,0,0,0,0,0,0,0,0,1,0,0,4.060568,-3.979075,0.8094274,0.5580913,0.42255685,0.5414938,0.45881993
29,2024-04-16 08:21:36,3,1,19 Elle Mayer,12 Emma Jaschke,0,0,0,0,0,0,0,0,0,0,0,13.283869,3.2372122,-12.883386,0.5414938,0.45881993,0.8056708,0.42931777
30,2024-04-16 08:21:42,3,1,12 Emma Jaschke,75 Sarah Kingsley-Hart,0,0,0,0,0,0,0,0,1,0,0,4.1602073,-3.9116313,-1.4164978,0.8056708,0.42931777,0.83471644,0.4649662
31,2024-04-16 08:21:49,3,1,75 Sarah Kingsley-Hart,19 Elle Mayer,0,0,0,0,0,0,0,0,0,0,1,8.793898,8.700009,-1.2815933,0.83471644,0.4649662,0.8609958,0.38567916
32,2024-04-16 08:22:09,3,1,19 Elle Mayer,12 Emma Jaschke,1,0,1,0,0,0,0,0,0,1,1,9.10295,8.969774,-1.5514024,0.8609958,0.38567916,0.8928077,0.30393362
33,2024-04-16 08:37:07,4,1,31 María Vargas,,0,0,0,0,0,0,0,0,0,0,0,12.803475,12.274433,-3.6424239,0.17773168,0.7901045,0.25242049,0.67824215
34,2024-04-16 08:37:12,4,1,,31 María Vargas,0,0,0,0,0,0,0,0,1,0,0,6.3885355,-6.2721004,1.2141417,0.25242049,0.67824215,0.2275242,0.7354026
35,2024-04-16 08:46:02,4,1,31 María Vargas,27 Therese Doebler,1,1,0,0,0,0,0,0,0,0,0,12.536658,11.667454,-4.5867558,0.2275242,0.7354026,0.32157677,0.6290719
36,2024-04-16 08:48:32,5,1,42 Martha Wilber,29 Charlotte Doran,0,0,0,0,0,0,0,0,0,0,0,13.993705,5.462797,12.883386,0.7959889,0.66226184,0.5318119,0.61247694
37,2024-04-16 08:48:36,5,1,29 Charlotte Doran,42 Martha Wilber,0,0,0,0,0,0,0,0,0,0,0,11.831859,-0.80930305,-11.804149,0.5318119,0.61247694,0.7738589,0.6198525
38,2024-04-16 08:48:39,5,1,42 Martha Wilber,75 Sarah Kingsley-Hart,1,1,0,0,0,0,0,0,0,0,0,11.88704,4.518607,10.994721,0.7738589,0.6198525,0.5484094,0.5786724
39,2024-04-16 08:51:59,6,1,18 Naomi Anderson,31 María Vargas,0,0,0,0,0,0,0,0,0,0,0,4.2839484,2.3604655,-3.574971,0.44882435,0.6831592,0.52213,0.6616472
40,2024-04-16 08:52:08,6,1,31 María Vargas,44 Jordan Harn,0,0,0,0,0,0,0,0,0,0,0,18.148304,12.139545,-13.490456,0.52213,0.6616472,0.79875517,0.5510141
