Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2024-04-16 7:23:16,1,0,0,0,0,0,0,0,0,0,0,0,,,
2024-04-16 7:37:40,2,0,1,1,0,1,14,1,0,1,0,0,,,
2024-04-16 8:14:20,3,0,2,1,0,1,19,1,0,1,0,0,,,
2024-04-16 8:22:45,4,0,3,1,0,1,3,1,1,0,0,0,,,
2024-04-16 8:46:11,5,0,4,1,0,1,3,1,1,0,0,0,,,
2024-04-16 8:48:43,6,0,5,1,1,2,10,1,1,0,0,1,10 Mia Griner,31 María Vargas,10 Mia Griner
2024-04-16 8:54:43,7,1,5,0,0,0,0,0,0,0,0,0,,,
2024-04-16 15:52:06,8,1,6,1,1,1,6,0,0,0,0,0,26 Morgan Lally,54 Liv Ford,10 Mia Griner
2024-04-16 15:55:15,9,2,6,0,0,1,9,1,1,0,1,0,,,
2024-04-16 16:02:54,10,2,7,1,1,1,11,0,0,0,0,0,03 Alex Krueger,51 Lilli Popovich,13 Hannah Abraham
2024-04-16 16:31:33,11,3,7,0,0,0,0,0,0,0,0,0,,,
2024-04-16 16:35:55,12,3,8,1,0,1,4,1,1,0,0,0,,,
2024-04-16 16:44:36,13,3,9,1,0,1,11,1,1,0,0,0,,,
2024-04-16 16:53:46,14,3,10,1,0,1,4,1,1,0,0,0,,,
2024-04-16 16:58:53,15,3,11,1,1,2,9,1,1,0,0,1,,10 Mia Griner,72 Annalise Paul
2024-04-16 17:13:37,16,4,11,0,0,0,0,0,0,0,0,0,,,
2024-04-16 17:14:47,17,4,12,1,0,1,2,1,1,0,0,0,,,
2024-04-16 17:16:57,18,4,13,1,0,1,17,1,0,1,0,0,,,
2024-04-16 17:21:55,19,4,14,1,1,1,10,0,0,0,0,0,26 Morgan Lally,42 Martha Wilber,51 Lilli Popovich
2024-04-16 17:25:26,20,5,14,0,0,2,6,1,1,0,1,1,,,
2024-04-16 18:08:17,21,6,14,0,0,1,1,1,1,0,0,1,,,
2024-04-17 0:00:44,22,6,15,1,1,1,10,0,0,0,0,0,05 Megan Jarriel,08 Dani Ortiz,21 Samantha Li
2024-04-17 0:16:49,23,7,15,0,0,0,0,0,0,0,0,0,,,
2024-04-17 0:18:25,24,7,16,1,1,1,11,0,0,0,0,0,42 Martha Wilber,08 Dani Ortiz,42 Martha Wilber
2024-04-17 0:23:34,25,8,16,0,1,7,30,6,6,0,5,2,26 Morgan Lally,42 Martha Wilber,51 Lilli Popovich
2024-04-17 2:19:51,26,9,16,0,0,0,0,0,0,0,0,0,,,
2024-04-17 2:29:44,27,9,17,1,1,1,9,0,0,0,0,0,12 Emma Jaschke,42 Martha Wilber,75 Sarah Kingsley-Hart
2024-04-17 2:33:11,28,10,17,0,0,3,10,2,1,1,3,0,,,
2024-04-17 2:45:07,29,11,17,1,0,3,21,3,3,0,1,1,,,
2024-04-17 2:54:18,30,11,18,1,0,3,10,3,3,0,2,0,,,
2024-04-17 2:59:58,31,11,19,1,0,1,3,1,1,0,0,0,,,
2024-04-17 3:02:48,32,11,20,1,0,1,2,1,1,0,0,0,,,
2024-04-17 3:06:18,33,11,21,1,0,2,10,2,1,1,2,0,,,
