Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2024-04-16 8:09:35,2,1,1,0,0.90940523,0.7089736,29 Charlotte Doran,14,,,,,21 Samantha Li,
2024-04-16 8:19:03,3,1,1,0,0.76002765,0.7286417,29 Charlotte Doran,19,,,,,12 Emma Jaschke,
2024-04-16 8:37:05,4,1,1,0,0.17773168,0.7901045,31 María Vargas,3,,,,31 María Vargas,,
2024-04-16 8:48:23,5,1,1,0,0.7959889,0.66226184,42 Martha Wilber,3,,,,42 Martha Wilber,,
2024-04-16 8:51:56,6,1,1,0,0.44882435,0.6831592,18 Naomi Anderson,6,,,,18 Naomi Anderson,,
2024-04-16 8:54:29,6,2,1,1,0.41839558,0.16666667,10 Mia Griner,4,10 Mia Griner,31 María Vargas,10 Mia Griner,,,
2024-04-16 15:53:34,8,1,1,1,0.686722,0.691764,31 María Vargas,6,26 Morgan Lally,54 Liv Ford,10 Mia Griner,,,
2024-04-16 16:00:22,9,1,0,0,0.7268326,0.8362016,31 María Vargas,9,,,,18 Naomi Anderson,,
2024-04-16 16:28:34,10,1,1,1,0.5055325,0.6745544,42 Martha Wilber,11,03 Alex Krueger,51 Lilli Popovich,13 Hannah Abraham,,,
2024-04-16 16:43:36,12,1,1,0,0.49861687,0.6628765,08 Dani Ortiz,4,,,,29 Charlotte Doran,,
2024-04-16 16:52:14,13,1,1,0,0.5013831,0.6573448,31 María Vargas,11,,,,26 Morgan Lally,,
2024-04-16 16:56:04,14,1,1,0,0.4944675,0.67578363,42 Martha Wilber,4,,,,03 Alex Krueger,,
2024-04-16 17:11:44,15,1,1,0,0.49861687,0.91979104,31 María Vargas,8,,,,03 Alex Krueger,,
2024-04-16 17:13:27,15,2,1,1,0.5650069,0.26767057,10 Mia Griner,1,,10 Mia Griner,72 Annalise Paul,,,
2024-04-16 17:15:43,17,1,1,0,0.5013831,0.50860476,72 Annalise Paul,2,,,,27 Therese Doebler,,
2024-04-16 17:18:11,18,1,1,0,0.26071924,0.7513829,42 Martha Wilber,17,,,,,05 Megan Jarriel,
2024-04-16 17:23:17,19,1,1,1,0.031120332,0.76982176,10 Mia Griner,10,26 Morgan Lally,42 Martha Wilber,51 Lilli Popovich,,,
2024-04-16 17:29:30,20,1,0,0,0.26763487,0.8362016,29 Charlotte Doran,6,,,,31 María Vargas,,
2024-04-16 18:05:26,20,2,0,0,0.9301521,0.17363246,31 María Vargas,1,,,,,,
2024-04-17 0:00:35,21,1,0,0,0.10165975,0.7944069,72 Annalise Paul,1,,,,72 Annalise Paul,,
2024-04-17 0:14:54,22,1,1,1,0.49308437,0.47910264,29 Charlotte Doran,10,05 Megan Jarriel,08 Dani Ortiz,21 Samantha Li,,,
2024-04-17 0:21:18,24,1,1,1,0.5069156,0.7028273,08 Dani Ortiz,11,42 Martha Wilber,08 Dani Ortiz,42 Martha Wilber,,,
2024-04-17 0:25:30,25,1,0,0,0.08506224,0.7550707,55 Trystan Grzyll,2,,,,18 Naomi Anderson,,
2024-04-17 0:28:21,25,2,0,0,0.10027663,0.76490474,54 Liv Ford,11,,,,44 Jordan Harn,,
2024-04-17 0:32:12,25,3,0,0,0.7517289,0.7028273,18 Naomi Anderson,1,,,,18 Naomi Anderson,,
2024-04-17 2:12:46,25,4,0,0,0.64246196,0.6942225,42 Martha Wilber,1,,,,42 Martha Wilber,,
2024-04-17 2:13:58,25,5,0,0,0.9979253,0.79748005,29 Charlotte Doran,4,,,,42 Martha Wilber,,
2024-04-17 2:15:51,25,6,0,0,0.06708161,0.38076213,31 María Vargas,7,,,,87 Christina Marsciano,,
2024-04-17 2:18:55,25,7,0,1,0.6355463,0.6198525,29 Charlotte Doran,4,26 Morgan Lally,42 Martha Wilber,51 Lilli Popovich,,,
2024-04-17 2:31:59,27,1,1,1,0.49861687,0.69483715,21 Samantha Li,9,12 Emma Jaschke,42 Martha Wilber,75 Sarah Kingsley-Hart,,,
2024-04-17 2:38:35,28,1,0,0,0.014522822,0.33958206,54 Liv Ford,7,,,,42 Martha Wilber,,
2024-04-17 2:42:45,28,2,0,0,0.2538036,0.75199753,54 Liv Ford,3,,,,,51 Lilli Popovich,
2024-04-17 2:44:54,28,3,0,0,0.06846473,0.17424709,29 Charlotte Doran,1,,,,,,
2024-04-17 2:48:08,29,1,1,0,0.57883817,0.6899201,21 Samantha Li,4,,,,03 Alex Krueger,,
2024-04-17 2:49:04,29,2,1,0,0.8167358,0.8386601,08 Dani Ortiz,10,,,,08 Dani Ortiz,,
2024-04-17 2:53:11,29,3,1,0,0.3340249,0.36355254,29 Charlotte Doran,7,,,,08 Dani Ortiz,,
2024-04-17 2:55:03,30,1,1,0,0.2856155,0.70712966,18 Naomi Anderson,1,,,,18 Naomi Anderson,,
2024-04-17 2:55:43,30,2,1,0,0.86791146,0.840504,10 Mia Griner,6,,,,10 Mia Griner,,
2024-04-17 2:58:53,30,3,1,0,0.8817427,0.787646,18 Naomi Anderson,3,,,,18 Naomi Anderson,,
2024-04-17 3:01:27,31,1,1,0,0.20124482,0.7028273,21 Samantha Li,3,,,,03 Alex Krueger,,
2024-04-17 3:03:48,32,1,1,0,0.5041494,0.6659496,31 María Vargas,2,,,,18 Naomi Anderson,,
2024-04-17 3:08:03,33,1,1,0,0.07676349,0.65611553,42 Martha Wilber,3,,,,,51 Lilli Popovich,
2024-04-17 3:09:26,33,2,1,0,0.053250346,0.38014752,54 Liv Ford,7,,,,29 Charlotte Doran,,
