Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
4/25/2024 12:55,1,1,33 Valeria Cardenas,31 Eli Presberg,0,0,0,0,0,0,0,0,0,0,0,7.9317946,3.1894922,-7.262266,0.47292724,0.74390244,0.6692047,0.7120075
4/25/2024 12:55,1,1,31 Eli Presberg,33 Valeria Cardenas,0,0,0,0,0,0,0,1,0,0,0,16.806921,5.4409027,15.90186,0.6692047,0.7120075,0.2394247,0.6575985
4/25/2024 12:55,1,1,33 Valeria Cardenas,08 Manuela Cardenas,0,0,0,0,0,0,0,0,0,0,0,9.408871,9.255785,1.6903552,0.2394247,0.6575985,0.19373943,0.56504065
4/25/2024 12:55,1,1,08 Manuela Cardenas,09 Cassandra Brown,0,0,0,0,0,1,0,0,0,0,0,8.267242,6.3789845,-5.258883,0.19373943,0.56504065,0.3358714,0.5012508
4/25/2024 12:55,1,1,09 Cassandra Brown,88 Nikki Hair,0,0,0,1,1,0,0,0,0,0,0,36.909,36.272675,6.824027,0.3358714,0.5012508,0.15143824,0.13852407
4/25/2024 12:59,2,1,09 Cassandra Brown,62 Casey Banta-Ryan,0,0,0,0,0,0,0,0,0,0,0,11.436485,8.567852,-7.575296,0.5101523,0.64008754,0.71489,0.554409
4/25/2024 13:00,2,1,62 Casey Banta-Ryan,,1,1,0,0,0,0,0,0,0,0,0,8.550034,7.8799276,-3.3181055,0.71489,0.554409,0.8045685,0.47560975
4/25/2024 13:02,3,1,33 Valeria Cardenas,96 Nina Finley,0,0,0,0,0,0,0,0,0,0,0,9.25769,9.255785,0.18781719,0.4543147,0.76954347,0.44923857,0.6769856
4/25/2024 13:03,3,1,96 Nina Finley,33 Valeria Cardenas,0,0,0,0,0,0,0,0,0,0,0,5.3840947,0,-5.3840947,0.44923857,0.6769856,0.59475464,0.6769856
4/25/2024 13:03,3,1,33 Valeria Cardenas,20 Yina Cartagena,0,0,0,0,0,0,0,0,0,0,0,3.2535641,0.6253898,-3.1928933,0.59475464,0.6769856,0.68104905,0.6707317
4/25/2024 13:03,3,1,20 Yina Cartagena,96 Nina Finley,1,0,1,0,0,0,0,0,0,0,0,5.943655,5.878675,0.87647873,0.68104905,0.6707317,0.65736043,0.611945
4/25/2024 13:06,4,1,33 Valeria Cardenas,20 Yina Cartagena,0,0,0,0,0,0,0,0,0,0,0,7.5326095,3.1894922,6.824027,0.7250423,0.6300813,0.5406091,0.5981864
4/25/2024 13:06,4,1,20 Yina Cartagena,08 Manuela Cardenas,0,0,0,0,0,0,0,0,0,0,0,14.158708,10.068795,9.954314,0.5406091,0.5981864,0.2715736,0.49749842
4/25/2024 13:07,4,1,08 Manuela Cardenas,66 Janine Hlavaty,0,0,0,0,0,0,0,0,0,0,0,14.549932,14.383989,2.1912012,0.2715736,0.49749842,0.21235195,0.35365853
4/25/2024 13:07,4,1,66 Janine Hlavaty,33 Valeria Cardenas,0,0,0,0,0,0,0,0,1,0,0,12.468604,-6.066293,-10.8934,0.21235195,0.35365853,0.50676817,0.41432145
4/25/2024 13:07,4,1,33 Valeria Cardenas,20 Yina Cartagena,0,0,0,0,0,1,0,0,0,0,0,13.323392,9.69356,-9.140442,0.50676817,0.41432145,0.7538071,0.31738585
4/25/2024 13:07,4,1,20 Yina Cartagena,00 Genny De Jesus,0,0,0,1,1,0,0,0,0,0,1,19.745165,18.574106,-6.698815,0.7538071,0.31738585,0.9348562,0.13164479
4/25/2024 13:11,6,1,33 Valeria Cardenas,20 Yina Cartagena,0,0,0,0,0,0,0,0,0,0,0,8.84908,6.25391,6.2605767,0.6996616,0.6913696,0.53045684,0.6288305
4/25/2024 13:11,6,1,20 Yina Cartagena,00 Genny De Jesus,0,0,0,0,0,0,0,0,0,0,0,6.7696295,3.7523448,5.6345177,0.53045684,0.6288305,0.37817258,0.59130704
4/25/2024 13:11,6,1,00 Genny De Jesus,66 Janine Hlavaty,0,0,0,0,0,0,0,0,0,0,1,18.97224,16.760475,8.890017,0.37817258,0.59130704,0.13790186,0.4237023
4/25/2024 13:11,6,1,66 Janine Hlavaty,02 Jolene Zheng,1,1,0,1,0,0,1,0,0,1,1,40.15131,40.15009,0.3130288,0.13790186,0.4237023,0.12944162,0.022201376
4/25/2024 13:13,6,2,20 Yina Cartagena,02 Jolene Zheng,0,0,0,0,0,0,0,0,0,0,0,5.919212,1.8136382,5.6345177,0.7538071,0.6882427,0.60152286,0.6701063
4/25/2024 13:13,6,2,02 Jolene Zheng,20 Yina Cartagena,0,0,0,0,0,0,0,0,0,0,0,3.7655067,3.6898017,0.75126874,0.60152286,0.6701063,0.5812183,0.6332083
4/25/2024 13:13,6,2,20 Yina Cartagena,00 Genny De Jesus,0,0,0,0,0,0,0,0,0,0,0,4.3828497,0.062543154,4.3824034,0.5812183,0.6332083,0.46277496,0.63258284
4/25/2024 13:14,6,2,00 Genny De Jesus,33 Valeria Cardenas,0,0,0,0,0,0,0,0,1,0,0,4.9308887,-4.0025053,-2.879864,0.46277496,0.63258284,0.5406091,0.6726079
4/25/2024 13:14,6,2,33 Valeria Cardenas,20 Yina Cartagena,0,0,0,0,0,0,0,0,0,0,0,9.9597,7.2545347,-6.824027,0.5406091,0.6726079,0.7250423,0.60006255
4/25/2024 13:14,6,2,20 Yina Cartagena,96 Nina Finley,0,0,0,0,0,0,0,0,0,0,0,19.745655,19.637276,-2.0659902,0.7250423,0.60006255,0.78087986,0.4036898
4/25/2024 13:14,6,2,96 Nina Finley,00 Genny De Jesus,0,0,0,0,0,0,0,0,0,0,0,6.2162886,3.3145726,5.2588835,0.78087986,0.4036898,0.6387479,0.37054408
4/25/2024 13:14,6,2,00 Genny De Jesus,33 Valeria Cardenas,0,0,0,0,0,0,0,0,0,0,0,5.3513794,2.1888673,4.8832493,0.6387479,0.37054408,0.50676817,0.3486554
4/25/2024 13:14,6,2,33 Valeria Cardenas,00 Genny De Jesus,0,0,0,0,0,0,0,0,1,0,0,7.242752,-6.94184,-2.0659902,0.50676817,0.3486554,0.56260574,0.4180738
4/25/2024 13:15,6,2,00 Genny De Jesus,33 Valeria Cardenas,0,0,0,0,0,1,0,0,0,0,0,12.622435,9.318325,8.514381,0.56260574,0.4180738,0.33248731,0.32489055
4/25/2024 13:15,6,2,33 Valeria Cardenas,20 Yina Cartagena,0,0,0,1,1,0,0,0,0,0,1,30.68912,23.139462,-20.159052,0.33248731,0.32489055,0.87732655,0.093495935
4/25/2024 13:16,7,1,09 Cassandra Brown,31 Eli Presberg,0,0,0,0,0,0,0,0,0,0,0,7.997844,3.0644178,7.38748,0.79780036,0.82645404,0.59813875,0.79580986
4/25/2024 13:17,7,1,31 Eli Presberg,09 Cassandra Brown,0,0,0,0,0,0,0,0,0,0,0,10.23597,3.0644119,9.766497,0.59813875,0.79580986,0.33417937,0.76516575
4/25/2024 13:17,7,1,09 Cassandra Brown,88 Nikki Hair,0,0,0,0,0,0,0,0,0,0,0,14.82473,13.633526,5.8223357,0.33417937,0.76516575,0.17681895,0.6288305
4/25/2024 13:17,7,1,88 Nikki Hair,09 Cassandra Brown,0,0,0,0,0,0,0,0,1,0,0,11.064816,-7.6297703,-8.013536,0.17681895,0.6288305,0.39340103,0.7051282
4/25/2024 13:17,7,1,09 Cassandra Brown,31 Eli Presberg,0,0,0,0,0,0,0,0,0,0,0,8.997028,7.2545347,5.3214893,0.39340103,0.7051282,0.24957699,0.63258284
