Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
33 Valeria Cardenas,22,"1,3,4,5,6,8,9,11,13,14,15,16,17,18,20,21,22,23,25,28,29,30",12,10,8,6,52,17,51,39,13,4,2,1,6,5,1,0,0,0,561.95,301.81,12.49,6.71,363.26,83.05,9.31,2.13
96 Nina Finley,21,"2,3,4,6,7,9,10,11,12,15,16,17,19,20,21,24,25,26,27,28,30",14,7,10,1,32,13,32,28,4,0,3,0,3,1,2,0,0,0,302.05,146.78,10.07,4.89,297.08,32.08,10.61,1.15
09 Cassandra Brown,17,"1,2,5,7,8,10,12,13,14,18,19,21,22,23,26,27,29",3,14,3,7,28,11,27,20,8,5,0,1,3,2,1,1,0,0,350.07,207.82,14,8.31,187.55,96.69,9.38,4.83
08 Manuela Cardenas,16,"1,2,4,5,7,8,10,11,13,18,19,20,22,23,27,29",3,13,2,7,21,8,20,20,1,1,1,1,0,0,0,3,0,0,173.47,77.3,8.67,3.86,182.28,84.55,9.11,4.23
23 Linnea Soo,16,"2,3,4,6,9,12,15,16,17,20,21,24,25,26,28,30",13,3,10,0,14,9,13,14,0,1,1,1,3,2,1,1,0,0,118.92,41.9,10.81,3.81,182.36,132.33,13.03,9.45
20 Yina Cartagena,16,"3,4,6,7,9,11,15,16,17,20,21,24,25,26,28,30",13,3,9,1,36,13,34,30,6,3,1,2,1,1,0,0,0,0,352.04,223.45,11.36,7.21,305.87,150.59,10.2,5.02
31 Eli Presberg,15,"1,2,5,7,8,10,12,13,14,18,19,22,23,27,29",1,14,1,7,21,10,20,16,5,0,2,1,2,1,1,1,0,0,150.89902,46.157244,10.86,5.03,142.29,46.22,8.89,2.89
66 Janine Hlavaty,15,"3,4,6,9,11,14,16,17,20,21,24,25,26,28,30",12,3,8,0,9,7,7,9,0,0,0,2,2,2,0,1,0,0,46.85,17.95,9.37,3.59,144.62,91.49,16.07,10.17
00 Genny De Jesus,15,"3,4,6,8,9,11,15,16,17,20,24,25,26,28,30",12,3,8,1,18,8,16,17,1,0,2,2,0,0,0,0,0,0,190.31,70.86,11.89,4.43,142.52,20.7,8.38,1.22
02 Jolene Zheng,12,"3,6,9,11,15,16,17,24,25,26,28,30",10,2,6,0,8,6,8,8,0,1,0,0,1,1,0,0,0,0,55.96,3.06,7.99,0.44,112.8,93.68,14.1,11.71
88 Nikki Hair,11,"1,5,7,10,12,13,18,19,21,24,27",2,9,2,4,5,3,3,5,0,1,0,2,0,0,0,0,0,0,45.87,26.83,15.29,8.94,128.74,116.7,25.75,23.34
26 Mariabelen Restrepo,10,"1,5,8,10,13,14,18,22,23,29",0,10,0,6,3,2,3,3,0,0,0,0,0,0,0,0,0,0,16.9,-0.63,5.63,-0.21,63.18,58.6,21.06,19.53
19 Eastelle Ding,10,"1,2,5,8,12,13,14,18,22,23",1,9,1,6,8,4,6,8,0,0,1,2,0,0,0,0,0,0,43.51,12.82,7.25,2.14,123.29,89.31,15.41,11.16
62 Casey Banta-Ryan,8,"2,7,10,12,15,19,23,27",2,6,2,2,9,6,8,9,0,0,0,1,1,1,0,0,0,0,58.82,-9.57,8.4,-1.37,92.06,65.79,10.23,7.31
65 Anna Lieberman,5,"14,19,22,27,29",0,5,0,1,3,2,3,3,0,0,1,0,1,0,1,1,0,0,27.83,12.2,9.28,4.07,27.54,16.95,9.18,5.65
