Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
4/25/2024 12:54,1,1,0,1,0.47292724,0.74390244,33 Valeria Cardenas,5,08 Manuela Cardenas,09 Cassandra Brown,88 Nikki Hair,,,
4/25/2024 12:59,2,1,0,0,0.5101523,0.64008754,09 Cassandra Brown,2,,,,62 Casey Banta-Ryan,,
4/25/2024 13:02,3,1,1,0,0.4543147,0.76954347,33 Valeria Cardenas,4,,,,,96 Nina Finley,
4/25/2024 13:06,4,1,1,1,0.7250423,0.6300813,33 Valeria Cardenas,6,33 Valeria Cardenas,20 Yina Cartagena,00 Genny De Jesus,,,
4/25/2024 13:11,6,1,1,0,0.6996616,0.6913696,33 Valeria Cardenas,4,,,,66 Janine Hlavaty,,
4/25/2024 13:13,6,2,1,1,0.7538071,0.6882427,20 Yina Cartagena,11,00 Genny De Jesus,33 Valeria Cardenas,20 Yina Cartagena,,,
4/25/2024 13:16,7,1,0,0,0.79780036,0.82645404,09 Cassandra Brown,6,,,,31 Eli Presberg,,
4/25/2024 13:20,7,2,0,1,0.74027073,0.38555348,09 Cassandra Brown,3,31 Eli Presberg,88 Nikki Hair,09 Cassandra Brown,,,
4/25/2024 13:23,8,0,0,0,0.84856176,0.5838024,31 Eli Presberg,0,,,,,,
4/25/2024 13:25,9,1,1,0,0.30033842,0.6907442,96 Nina Finley,2,,,,33 Valeria Cardenas,,
4/25/2024 13:27,9,2,1,1,0,0.815197,20 Yina Cartagena,10,23 Linnea Soo,02 Jolene Zheng,66 Janine Hlavaty,,,
4/25/2024 13:32,11,1,1,0,0.28680202,0.6957473,33 Valeria Cardenas,10,,,,,96 Nina Finley,
4/25/2024 13:36,11,2,1,0,0.11252115,0.7188868,20 Yina Cartagena,10,,,,33 Valeria Cardenas,,
4/25/2024 13:38,11,3,1,0,0.90947545,0.47060663,96 Nina Finley,12,,,,66 Janine Hlavaty,,
4/25/2024 13:41,11,4,1,0,0.88578683,0.565666,20 Yina Cartagena,4,,,,20 Yina Cartagena,,
4/25/2024 13:44,12,1,1,0,0.5219966,0.6319575,09 Cassandra Brown,11,,,,23 Linnea Soo,,
4/25/2024 13:46,12,2,1,1,0.79949236,0.81707317,09 Cassandra Brown,14,19 Eastelle Ding,09 Cassandra Brown,31 Eli Presberg,,,
4/25/2024 13:53,13,1,0,1,0.04145516,0.5268918,09 Cassandra Brown,1,,09 Cassandra Brown,19 Eastelle Ding,,,
4/25/2024 13:55,14,1,0,0,0.44923857,0.6081926,33 Valeria Cardenas,3,,,,33 Valeria Cardenas,,
4/25/2024 13:58,14,2,0,0,0.45093063,0.26547843,31 Eli Presberg,1,,,,,65 Anna Lieberman,
4/25/2024 13:59,14,3,0,0,0.73519456,0.81832397,33 Valeria Cardenas,13,,,,33 Valeria Cardenas,09 Cassandra Brown,
4/25/2024 14:04,15,1,1,1,0.36294416,0.5931832,20 Yina Cartagena,7,20 Yina Cartagena,23 Linnea Soo,33 Valeria Cardenas,,,
4/25/2024 14:07,16,1,0,0,0.7318105,0.8164478,31 Eli Presberg,13,,,,33 Valeria Cardenas,,
4/25/2024 14:14,17,1,1,1,0.7791878,0.66572857,33 Valeria Cardenas,9,96 Nina Finley,33 Valeria Cardenas,66 Janine Hlavaty,,,
4/25/2024 14:16,18,1,0,1,0.54737735,0.81582236,31 Eli Presberg,4,31 Eli Presberg,33 Valeria Cardenas,88 Nikki Hair,,,
4/25/2024 14:21,20,1,1,1,0.42724195,0.7276423,33 Valeria Cardenas,20,96 Nina Finley,20 Yina Cartagena,08 Manuela Cardenas,,,
4/25/2024 14:25,21,1,1,1,0.26649746,0.6094434,33 Valeria Cardenas,1,,33 Valeria Cardenas,20 Yina Cartagena,,,
4/25/2024 14:27,22,1,0,1,0.20389171,0.74515325,33 Valeria Cardenas,10,65 Anna Lieberman,09 Cassandra Brown,19 Eastelle Ding,,,
4/25/2024 14:30,23,1,0,0,0.51692045,0.43621013,09 Cassandra Brown,6,,,,09 Cassandra Brown,,
4/25/2024 14:31,23,2,0,1,0.43401015,0.749531,31 Eli Presberg,8,33 Valeria Cardenas,08 Manuela Cardenas,62 Casey Banta-Ryan,,,
4/25/2024 14:36,24,1,0,0,0.39170897,0.82332706,20 Yina Cartagena,1,,,,,23 Linnea Soo,
4/25/2024 14:37,25,1,1,0,0.79103214,0.66260165,96 Nina Finley,1,,,,96 Nina Finley,33 Valeria Cardenas,
4/25/2024 14:40,26,1,1,1,0.5270728,0.72701687,96 Nina Finley,8,96 Nina Finley,09 Cassandra Brown,23 Linnea Soo,,,
4/25/2024 14:42,27,1,0,0,0.48984772,0.83083177,08 Manuela Cardenas,2,,,,,31 Eli Presberg,
4/25/2024 14:43,27,2,0,0,0.535533,0.5950594,09 Cassandra Brown,9,,,,09 Cassandra Brown,,
4/25/2024 14:46,28,1,1,0,0.6319797,0.71013135,33 Valeria Cardenas,6,,,,02 Jolene Zheng,,
4/25/2024 14:48,28,2,1,1,0.20219967,0.31613508,00 Genny De Jesus,2,00 Genny De Jesus,20 Yina Cartagena,00 Genny De Jesus,,,
4/25/2024 14:52,30,1,1,0,0.78426397,0.72076297,33 Valeria Cardenas,11,,,,23 Linnea Soo,,
