Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-04-23 20:06:08,2,06 Rowse,0,0,0,0,0.29166666,0.46913582
2024-04-23 21:53:54,8,04 Adelle Pitsas,0,0,0,0,0.7583333,0.52345675
2024-04-23 22:03:01,10,24 Annika Chan,0,0,0,0,0.49583334,0.51296294
2024-04-23 22:07:17,10,33 Yuge Xiao,0,0,0,0,0.29583332,0.7925926
2024-04-23 22:10:37,10,03 Liv Player,0,0,0,0,0.775,0.8018518
2024-04-23 22:11:24,10,55 Sophie Knowles,0,0,0,0,0.84166664,0.71728396
2024-04-23 22:38:35,13,19 Olivia Hampton,0,0,0,0,0.7736111,0.5395062
2024-04-23 23:11:32,24,03 Liv Player,0,0,0,0,0.25138894,0.44074076
2024-04-23 23:19:26,26,69 Tahlia Quartin,1,0,0,0,0.73194444,0.84814817
2024-04-23 23:28:35,29,55 Sophie Knowles,1,0,0,0,0.4194444,0.8679012
