Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-04-23 19:57:51,1,1,17 Kelsey Devlin,30 Jean Huang,0,0,0,0,0,0,0,1,0,1,0,19.131998,-3.3866646,18.829865,0.8652777,0.6598765,0.47916666,0.6907407
2024-04-23 19:58:06,1,1,30 Jean Huang,36 Jaelee Cruz,0,0,0,0,0,0,0,0,0,0,0,12.757804,6.028265,11.243735,0.47916666,0.6907407,0.24861106,0.63580245
2024-04-23 19:58:38,1,1,36 Jaelee Cruz,52 Caitlin Connell,0,0,0,0,0,0,0,0,0,0,0,21.607038,21.065065,-4.8090687,0.24861106,0.63580245,0.3472222,0.44382715
2024-04-23 19:58:40,1,1,52 Caitlin Connell,30 Jean Huang,0,0,0,0,0,0,0,0,1,0,0,9.022528,-5.9605336,6.773333,0.3472222,0.44382715,0.20833333,0.49814814
2024-04-23 19:58:51,1,1,30 Jean Huang,23 Colette Pellegrini,0,0,0,0,0,0,0,0,0,0,0,17.117249,17.068802,1.2869353,0.20833333,0.49814814,0.1819444,0.34259257
2024-04-23 19:59:07,1,1,23 Colette Pellegrini,30 Jean Huang,0,0,0,0,0,0,0,1,0,0,0,16.257835,-2.573869,-16.052801,0.1819444,0.34259257,0.5111111,0.36604938
2024-04-23 19:59:11,1,1,30 Jean Huang,23 Colette Pellegrini,1,0,1,0,0,0,0,0,0,0,0,10.739098,7.247468,-7.9247985,0.5111111,0.36604938,0.67361104,0.29999998
2024-04-23 20:03:25,2,1,24 Annika Chan,51 Tess Johnson,0,0,0,0,0,0,0,1,0,0,0,16.448185,2.912532,16.188267,0.69305557,0.6641975,0.36111113,0.6376543
2024-04-23 20:03:48,2,1,51 Tess Johnson,45 Sarah Jeung,0,0,0,0,0,0,0,0,0,0,1,14.4971485,7.5183997,12.3952,0.36111113,0.6376543,0.106944464,0.5691358
2024-04-23 20:03:50,2,1,45 Sarah Jeung,19 Olivia Hampton,0,0,0,0,0,0,0,0,0,1,0,19.387003,8.534396,-17.407469,0.106944464,0.5691358,0.46388894,0.49135804
2024-04-23 20:04:05,2,1,19 Olivia Hampton,76 Emma Palacio,0,0,0,0,0,0,0,0,0,0,1,23.218609,9.618134,-21.132801,0.46388894,0.49135804,0.8972223,0.40370372
2024-04-23 20:04:40,2,1,76 Emma Palacio,24 Annika Chan,0,0,0,0,0,0,0,1,0,1,0,21.650312,-6.028265,20.794136,0.8972223,0.40370372,0.47083333,0.45864198
2024-04-23 20:04:42,2,1,24 Annika Chan,19 Olivia Hampton,0,0,0,0,0,0,0,0,0,0,0,13.522938,10.024531,-9.076267,0.47083333,0.45864198,0.65694445,0.36728397
2024-04-23 20:04:54,2,1,19 Olivia Hampton,24 Annika Chan,0,0,0,0,0,0,0,0,1,0,0,10.104987,-2.6416004,9.7536,0.65694445,0.36728397,0.45694447,0.39135805
2024-04-23 20:05:47,2,1,24 Annika Chan,51 Tess Johnson,0,0,0,0,0,0,0,1,0,0,0,16.037361,6.0960026,14.833601,0.45694447,0.39135805,0.1527778,0.33580247
2024-04-23 20:05:52,2,1,51 Tess Johnson,24 Annika Chan,1,1,0,0,0,0,0,0,0,0,0,13.123145,1.1514653,-13.072531,0.1527778,0.33580247,0.42083332,0.32530865
2024-04-23 20:06:40,2,2,51 Tess Johnson,45 Sarah Jeung,0,0,0,0,0,0,0,1,0,0,0,16.965815,7.3151994,-15.3077345,0.175,0.46728396,0.48888892,0.4006173
2024-04-23 20:06:53,2,2,45 Sarah Jeung,76 Emma Palacio,0,0,0,0,0,0,0,0,0,0,1,23.495268,8.737599,-21.810135,0.48888892,0.4006173,0.93611115,0.32098767
2024-04-23 20:06:56,2,2,76 Emma Palacio,15 Caitlin Fitzgerald,0,0,0,0,0,1,0,0,0,1,1,9.934429,9.889069,0.94826776,0.93611115,0.32098767,0.9166667,0.2308642
2024-04-23 20:07:00,2,2,15 Caitlin Fitzgerald,19 Olivia Hampton,0,0,0,1,1,0,0,0,0,1,0,14.980094,14.359464,4.267202,0.9166667,0.2308642,0.82916665,0.10000002
2024-04-23 20:10:17,3,1,37 Hannah Henkin,03 Liv Player,0,0,0,0,0,0,0,1,0,0,0,18.415995,-2.1674614,-18.288,0.1944444,0.53209877,0.5694444,0.5518518
2024-04-23 20:10:24,3,1,03 Liv Player,55 Sophie Knowles,0,0,0,0,0,0,0,0,0,0,0,14.315948,7.044261,-12.4629345,0.5694444,0.5518518,0.825,0.48765433
