Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
33 Yuge Xiao,12,"1,5,7,9,12,13,17,19,21,23,26,28",11,1,6,0,19,9,18,16,3,1,1,1,1,1,0,1,0,0,205.78,99.43,12.86,6.21,270.06,164.93,16.88,10.31
30 Jean Huang,12,"1,5,7,9,12,13,17,18,21,23,26,28",12,0,7,0,43,14,40,35,8,0,1,3,3,3,0,0,0,0,547.92,271.20,15.22,7.53,497.36,56.90,14.21,1.63
03 Liv Player,11,"3,6,8,10,14,15,19,20,24,25,29",0,11,0,5,15,6,14,13,2,1,2,1,0,0,0,2,0,0,185.11,91.24,14.24,7.02,184.55,103.43,14.20,7.96
04 Adelle Pitsas,11,"3,4,6,8,10,14,15,19,24,25,29",0,11,0,5,3,2,2,3,0,0,0,1,0,0,0,1,0,0,23.87,3.73,11.93,1.86,57.45,44.37,19.15,14.79
08 Nicki Chan,10,"3,6,8,10,14,15,19,24,25,29",0,10,0,5,7,4,6,7,0,1,1,1,0,0,0,0,0,0,73.89,40.98,12.31,6.83,108.41,58.79,15.49,8.40
16 Erin Rea,10,"1,5,7,9,12,17,21,23,26,28",10,0,5,0,5,4,4,5,0,0,1,1,2,1,1,0,0,0,35.02,8.06,11.67,2.69,70.41,55.61,14.08,11.12
55 Sophie Knowles,10,"3,6,8,10,14,15,19,24,25,29",0,10,0,5,17,7,17,14,3,0,2,0,0,0,0,2,0,0,257.86,155.04,16.12,9.69,180.05,42.81,12.86,3.06
36 Jaelee Cruz,10,"1,5,7,9,12,17,21,23,26,28",10,0,5,0,18,10,18,18,0,0,1,0,3,3,0,0,0,0,227.23,105.93,15.15,7.06,226.59,116.70,12.59,6.48
32 Megan Wilson,10,"3,6,8,10,12,14,15,19,25,29",1,9,0,4,6,5,5,6,0,2,0,1,2,1,1,0,0,0,80.48,56.29,20.12,14.07,116.09,89.75,19.35,14.96
45 Sarah Jeung,9,"2,4,11,13,16,18,20,22,27",4,5,3,0,12,6,12,12,0,1,0,0,0,0,0,0,0,0,206.25,98.08,18.75,8.92,187.77,105.46,15.65,8.79
37 Hannah Henkin,9,"3,6,8,10,14,15,19,24,29",0,9,0,5,9,6,9,6,3,1,0,0,0,0,0,0,0,0,162.25,74.51,18.03,8.28,82.80,18.76,13.80,3.13
19 Olivia Hampton,9,"2,4,11,13,16,18,20,22,27",4,5,3,0,8,6,7,8,0,0,0,1,2,1,1,1,0,0,87.63,20.86,14.61,3.48,133.78,87.31,16.72,10.91
51 Tess Johnson,8,"2,4,11,13,16,18,22,27",4,4,3,0,14,7,14,7,7,0,1,0,2,2,0,0,0,0,200.36,93.34,16.70,7.78,114.08,46.87,16.30,6.70
23 Colette Pellegrini,8,"1,5,9,17,21,23,26,28",8,0,5,0,8,6,7,8,0,4,0,1,1,0,1,0,0,0,121.13,54.39,17.30,7.77,130.96,94.83,16.37,11.85
24 Annika Chan,8,"2,4,11,16,18,20,22,27",3,5,2,0,7,4,7,5,2,0,0,0,1,1,0,1,0,0,93.43,44.16,15.57,7.36,83.20,-20.18,16.64,-4.04
15 Caitlin Fitzgerald,8,"2,4,13,16,18,20,22,27",4,4,3,0,4,4,4,4,0,2,0,0,1,1,0,0,0,0,40.94,26.89,13.65,8.96,58.62,40.98,14.65,10.24
52 Caitlin Connell,7,"1,7,9,12,17,21,26",7,0,2,0,5,4,4,5,0,0,0,1,0,0,0,0,0,0,65.37,12.40,16.34,3.10,103.19,59.94,20.64,11.99
76 Emma Palacio,6,"2,11,13,16,18,22",4,2,3,0,3,2,3,3,0,0,1,0,0,0,0,0,0,0,41.23,-2.51,13.74,-0.84,57.69,21.07,19.23,7.02
17 Kelsey Devlin,6,"1,7,9,17,23,28",6,0,3,0,15,6,15,9,6,0,0,0,2,2,0,0,0,0,202.35,30.55,15.57,2.35,106.71,6.57,11.86,0.73
13 Samantha Munson,6,"3,8,14,24,25,29",0,6,0,3,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0.00,0.00,0.00,0.00,44.09,43.96,44.09,43.96
10 Lauren Baecher,5,"4,11,20,22,27",1,4,0,0,2,2,2,2,0,0,0,0,2,1,1,0,0,0,23.07,6.91,23.07,6.91,42.08,6.50,21.04,3.25
47 Alex Rowell,5,"6,10,15,24,25",0,5,0,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,17.05,-4.88,8.52,-2.44,27.07,15.04,13.53,7.52
06 Rowse,5,"2,11,16,20,27",1,4,1,0,2,1,2,2,0,0,0,0,1,1,0,1,0,0,13.87,1.22,13.87,1.22,32.60,15.17,16.30,7.59
69 Tahlia Quartin,4,"5,12,21,26",4,0,2,0,4,4,4,1,3,0,0,0,0,0,0,1,0,0,54.96,23.84,13.74,5.96,10.70,1.15,10.70,1.15
29 Elana Schwam,4,"5,7,23,28",4,0,3,0,6,3,6,6,0,0,1,0,1,1,0,0,0,0,67.77,15.51,13.55,3.10,108.52,50.46,18.09,8.41
