Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2024-04-23 19:52:32,1,0,0,1,0,1,7,1,0,1,0,0,,,
2024-04-23 19:59:50,2,0,1,1,1,2,13,1,1,0,1,0,76 Emma Palacio,15 Caitlin Fitzgerald,19 Olivia Hampton
2024-04-23 20:07:01,3,1,1,0,1,1,5,0,0,0,0,1,03 Liv Player,32 Megan Wilson,03 Liv Player
2024-04-23 20:11:50,4,2,1,0,0,0,0,0,0,0,0,0,,,
2024-04-23 20:13:40,5,2,2,1,1,1,9,0,0,0,0,0,36 Jaelee Cruz,23 Colette Pellegrini,30 Jean Huang
2024-04-23 20:19:22,6,3,2,0,0,1,16,1,1,0,0,1,,,
2024-04-23 20:29:20,7,3,3,1,0,2,16,2,2,0,0,1,,,
2024-04-23 21:47:53,8,3,4,0,0,2,17,2,1,1,1,0,,,
2024-04-23 21:56:22,9,3,5,1,1,1,8,0,0,0,0,0,33 Yuge Xiao,23 Colette Pellegrini,16 Erin Rea
2024-04-23 21:58:29,10,4,5,0,1,4,21,3,2,1,4,0,03 Liv Player,08 Nicki Chan,04 Adelle Pitsas
2024-04-23 22:12:23,11,5,5,0,0,1,5,1,1,0,0,1,,,
2024-04-23 22:29:47,12,5,6,1,0,1,3,1,1,0,0,0,,,
2024-04-23 22:33:35,13,5,7,1,1,4,12,3,2,1,1,2,30 Jean Huang,45 Sarah Jeung,33 Yuge Xiao
2024-04-23 22:39:21,14,6,7,0,0,0,0,0,0,0,0,0,,,
2024-04-23 22:41:06,15,6,8,0,1,2,17,1,1,0,0,1,55 Sophie Knowles,37 Hannah Henkin,32 Megan Wilson
2024-04-23 22:47:16,16,7,8,0,0,0,0,0,0,0,0,0,,,
2024-04-23 22:48:45,17,7,9,1,0,1,2,1,0,1,0,0,,,
2024-04-23 22:52:24,18,7,10,1,1,1,8,0,0,0,0,0,51 Tess Johnson,15 Caitlin Fitzgerald,30 Jean Huang
2024-04-23 22:55:21,19,8,10,0,0,0,0,0,0,0,0,0,,,
2024-04-23 22:57:23,20,8,11,0,0,0,0,0,0,0,0,0,,,
2024-04-23 22:59:37,21,8,12,1,0,1,3,1,1,0,0,0,,,
2024-04-23 23:02:34,22,8,13,1,0,2,8,2,2,0,0,1,,,
2024-04-23 23:06:56,23,8,14,1,1,2,12,1,1,0,0,1,,33 Yuge Xiao,23 Colette Pellegrini
2024-04-23 23:09:54,24,9,14,0,1,1,7,0,0,0,1,0,08 Nicki Chan,03 Liv Player,08 Nicki Chan
2024-04-23 23:12:28,25,10,14,0,0,0,0,0,0,0,0,0,,,
2024-04-23 23:14:04,26,10,15,1,1,3,18,2,2,0,1,1,16 Erin Rea,23 Colette Pellegrini,52 Caitlin Connell
2024-04-23 23:20:31,27,11,15,0,0,1,6,1,1,1,0,1,,,
2024-04-23 23:24:20,28,11,16,1,1,1,5,0,0,0,0,0,29 Elana Schwam,23 Colette Pellegrini,30 Jean Huang
2024-04-23 23:26:21,29,12,16,0,1,1,4,0,0,0,1,0,55 Sophie Knowles,32 Megan Wilson,13 Samantha Munson
2024-04-23 23:29:24,30,13,16,0,0,0,0,0,0,0,0,0,,,
