Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2024-04-23 19:57:15,1,1,1,0,0.8652777,0.6598765,17 Kelsey Devlin,7,,,,,23 Colette Pellegrini,
2024-04-23 20:03:20,2,1,1,0,0.69305557,0.6641975,24 Annika Chan,9,,,,51 Tess Johnson,,
2024-04-23 20:06:18,2,2,1,1,0.175,0.46728396,51 Tess Johnson,4,76 Emma Palacio,15 Caitlin Fitzgerald,19 Olivia Hampton,,,
2024-04-23 20:10:15,3,1,0,1,0.1944444,0.53209877,37 Hannah Henkin,5,03 Liv Player,32 Megan Wilson,03 Liv Player,,,
2024-04-23 20:18:14,5,1,1,1,0.275,0.7154321,69 Tahlia Quartin,9,36 Jaelee Cruz,23 Colette Pellegrini,30 Jean Huang,,,
2024-04-23 20:25:16,6,1,0,0,0.7527778,0.8358025,55 Sophie Knowles,16,,,,32 Megan Wilson,,
2024-04-23 21:43:40,7,1,1,0,0.5347222,0.68580246,17 Kelsey Devlin,7,,,,29 Elana Schwam,,
2024-04-23 21:45:02,7,2,1,0,0.7819444,0.8358025,17 Kelsey Devlin,9,,,,17 Kelsey Devlin,,
2024-04-23 21:50:03,8,1,0,0,0.28472227,0.71234566,51 Tess Johnson,11,,,,51 Tess Johnson,,
2024-04-23 21:54:11,8,2,0,0,0.7847222,0.54012346,37 Hannah Henkin,6,,,,,13 Samantha Munson,
2024-04-23 21:57:34,9,1,1,1,0.1777778,0.73333335,17 Kelsey Devlin,8,33 Yuge Xiao,23 Colette Pellegrini,16 Erin Rea,,,
2024-04-23 22:03:24,10,1,0,0,0.27916667,0.53518516,51 Tess Johnson,8,,,,30 Jean Huang,,
2024-04-23 22:07:19,10,2,0,0,0.29583332,0.7925926,33 Yuge Xiao,2,,,,17 Kelsey Devlin,,
2024-04-23 22:10:39,10,3,0,0,0.775,0.8018518,03 Liv Player,3,,,,,32 Megan Wilson,
2024-04-23 22:11:26,10,4,0,1,0.84166664,0.71728396,55 Sophie Knowles,8,03 Liv Player,08 Nicki Chan,04 Adelle Pitsas,,,
2024-04-23 22:27:56,11,1,0,0,0.7402778,0.61975306,51 Tess Johnson,5,,,,10 Lauren Baecher,,
2024-04-23 22:32:47,12,1,1,0,0.7597222,0.76666665,69 Tahlia Quartin,3,,,,36 Jaelee Cruz,,
2024-04-23 22:34:52,13,1,1,0,0.48888892,0.591358,30 Jean Huang,2,,,,,19 Olivia Hampton,
2024-04-23 22:35:53,13,2,1,0,0.9152778,0.80987656,30 Jean Huang,3,,,,33 Yuge Xiao,,
2024-04-23 22:37:19,13,3,1,0,0.2777778,0.8067901,30 Jean Huang,5,,,,19 Olivia Hampton,,
2024-04-23 22:38:40,13,4,1,1,0.78333336,0.5648148,30 Jean Huang,2,30 Jean Huang,45 Sarah Jeung,33 Yuge Xiao,,,
2024-04-23 22:42:33,15,1,0,0,0.8819444,0.6864197,17 Kelsey Devlin,11,,,,30 Jean Huang,,
2024-04-23 22:46:23,15,2,0,1,0.1625,0.8320988,37 Hannah Henkin,6,55 Sophie Knowles,37 Hannah Henkin,32 Megan Wilson,,,
2024-04-23 22:50:13,17,1,1,0,0.49027774,0.6604938,30 Jean Huang,2,,,,,16 Erin Rea,
2024-04-23 22:54:01,18,1,1,1,0.06944446,0.7074074,24 Annika Chan,8,51 Tess Johnson,15 Caitlin Fitzgerald,30 Jean Huang,,,
2024-04-23 23:01:19,21,1,1,0,0.34583333,0.70308644,69 Tahlia Quartin,3,,,,36 Jaelee Cruz,,
2024-04-23 23:04:55,22,1,1,0,0.4930556,0.5808642,51 Tess Johnson,5,,,,15 Caitlin Fitzgerald,,
2024-04-23 23:06:00,22,2,1,0,0.4930556,0.6691358,51 Tess Johnson,3,,,,24 Annika Chan,,
2024-04-23 23:08:15,23,1,1,0,0.5111111,0.45370367,17 Kelsey Devlin,11,,,,30 Jean Huang,,
2024-04-23 23:09:48,23,2,1,1,0.83611107,0.2228395,33 Yuge Xiao,1,,33 Yuge Xiao,23 Colette Pellegrini,,,
2024-04-23 23:11:44,24,1,0,1,0.2,0.4462963,03 Liv Player,7,08 Nicki Chan,03 Liv Player,08 Nicki Chan,,,
2024-04-23 23:16:49,26,1,1,0,0.5013889,0.66851854,33 Yuge Xiao,5,,,,36 Jaelee Cruz,,
2024-04-23 23:17:58,26,2,1,0,0.90416664,0.6493827,30 Jean Huang,6,,,,16 Erin Rea,,
2024-04-23 23:19:34,26,3,1,1,0.6972223,0.8203704,30 Jean Huang,7,16 Erin Rea,23 Colette Pellegrini,52 Caitlin Connell,,,
2024-04-23 23:22:46,27,1,0,0,0.9194444,0.75617284,51 Tess Johnson,6,,,,06 Rowse,10 Lauren Baecher,
2024-04-23 23:25:42,28,1,1,1,0.48888892,0.5703704,30 Jean Huang,5,29 Elana Schwam,23 Colette Pellegrini,30 Jean Huang,,,
2024-04-23 23:28:38,29,1,0,1,0.4194444,0.8679012,55 Sophie Knowles,4,55 Sophie Knowles,32 Megan Wilson,13 Samantha Munson,,,
