,Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (yards),Total completed throw gain (yards),Average completed throw distance (yards),Average completed throw gain (yards),Total caught pass distance (yards),Total caught pass gain (yards),Average caught pass distance (yards),Average caught pass gain (yards)
1,30 Jean Huang,12,"1,5,7,9,12,13,17,18,21,23,26,28",12,0,7,0,43,14,40,35,8,0,1,3,3,3,0,0,0,0,599.2107911999999,296.58703199999997,16.6447442,8.2348833,543.9178696,62.226409,15.540198100000001,1.7825843
0,33 Yuge Xiao,12,"1,5,7,9,12,13,17,19,21,23,26,28",11,1,6,0,19,9,18,16,3,1,1,1,1,1,0,1,0,0,225.0430658,108.7376423,14.063824599999998,6.7913181,295.3403166,180.3690973,18.460136799999997,11.2751191
11,19 Olivia Hampton,9,"2,4,11,13,16,18,20,22,27",4,5,3,0,8,6,7,8,0,0,0,1,2,1,1,1,0,0,95.8330443,22.8127046,15.977642099999999,3.8057627999999997,146.3031458,95.4830891,18.2851592,11.9312851
19,13 Samantha Munson,6,"3,8,14,24,25,29",0,6,0,3,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,48.2172649,48.0750956,48.2172649,48.0750956
13,23 Colette Pellegrini,8,"1,5,9,17,21,23,26,28",8,0,5,0,8,6,7,8,0,4,0,1,1,0,1,0,0,0,132.4689793,59.4814479,18.919453,8.4973497,143.2191656,103.7070363,17.9023957,12.9592785
8,32 Megan Wilson,10,"3,6,8,10,12,14,15,19,25,29",1,9,0,4,6,5,5,6,0,2,0,1,2,1,1,0,0,0,88.0137328,61.559306899999996,22.0034332,15.3870927,126.9571849,98.15149749999999,21.1613535,16.3604056
5,16 Erin Rea,10,"1,5,7,9,12,17,21,23,26,28",10,0,5,0,5,4,4,5,0,0,1,1,2,1,1,0,0,0,38.298222200000005,8.8144966,12.7624287,2.9418108999999997,77.0010801,60.8156521,15.3980288,12.160943199999998
4,08 Nicki Chan,10,"3,6,8,10,14,15,19,24,25,29",0,10,0,5,7,4,6,7,0,1,1,1,0,0,0,0,0,0,80.80684289999999,44.81613779999999,13.4623391,7.4693563,118.5582601,64.2933319,16.9400189,9.186324
3,04 Adelle Pitsas,11,"3,4,6,8,10,14,15,19,24,25,29",0,11,0,5,3,2,2,3,0,0,0,1,0,0,0,1,0,0,26.1044707,4.0791653,13.046767299999999,2.0341146,62.8278945,48.5234757,20.942631499999997,16.1744919
2,03 Liv Player,11,"3,6,8,10,14,15,19,20,24,25,29",0,11,0,5,15,6,14,13,2,1,2,1,0,0,0,2,0,0,202.4381471,99.78097639999999,15.5730064,7.6771422,201.8257255,113.11208230000001,15.529262,8.7051356
