Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-04-28 06:55:13,2,1,17 Kristin Dudley,18 Laura Gerencser,0,0,0,0,0,0,0,0,0,0,0,10.40471,5.7123356,-8.696391,0.5113636,0.6965812,0.6896853,0.64452213
2024-04-28 06:55:15,2,1,18 Laura Gerencser,17 Kristin Dudley,0,0,0,0,0,0,0,0,0,0,0,7.782865,3.2398283,7.076475,0.6896853,0.64452213,0.5445804,0.61499614
2024-04-28 06:55:18,2,1,17 Kristin Dudley,24 Abby Swensen,0,0,0,0,0,0,0,0,0,0,0,18.310791,13.811916,-12.021484,0.5445804,0.61499614,0.79108393,0.489122
2024-04-28 06:55:32,2,1,24 Abby Swensen,18 Laura Gerencser,0,0,0,0,0,0,0,0,1,0,0,12.689813,-7.8438025,9.975275,0.79108393,0.489122,0.58653843,0.56060606
2024-04-28 09:06:01,2,1,18 Laura Gerencser,17 Kristin Dudley,0,0,0,0,0,0,0,0,1,0,0,6.8260264,-6.735441,1.1083626,0.58653843,0.56060606,0.5638112,0.62198913
2024-04-28 09:06:13,2,1,17 Kristin Dudley,40 Claire Milton,0,0,0,0,0,0,0,0,0,0,0,15.472289,9.634238,12.106741,0.5638112,0.62198913,0.31555945,0.53418803
2024-04-28 09:06:27,2,1,40 Claire Milton,04 Rachel Mast,0,0,0,0,0,0,0,0,0,0,0,13.169645,13.129845,1.0231048,0.31555945,0.53418803,0.29458043,0.41452992
2024-04-28 09:06:56,2,1,04 Rachel Mast,17 Kristin Dudley,0,0,0,0,0,1,0,0,0,0,1,15.461011,13.470882,7.5880284,0.29458043,0.41452992,0.13898602,0.29176378
2024-04-28 09:06:59,2,1,17 Kristin Dudley,32 Shani Rosenthal,0,0,0,1,1,0,1,0,0,1,1,40.718082,19.694767,-35.638157,0.13898602,0.29176378,0.86975527,0.11227661
2024-04-28 09:10:03,4,1,18 Laura Gerencser,17 Kristin Dudley,0,0,0,0,0,0,0,0,0,0,0,6.8212333,-0.085259326,6.8207,0.6722028,0.64452213,0.5323427,0.64529914
2024-04-28 09:10:28,4,1,17 Kristin Dudley,32 Shani Rosenthal,0,0,0,0,0,0,0,0,0,0,0,18.143892,13.8119135,-11.765707,0.5323427,0.64529914,0.7736014,0.51942503
2024-04-28 09:10:51,4,1,32 Shani Rosenthal,17 Kristin Dudley,0,0,0,0,0,0,0,0,1,0,0,11.028739,-10.4015665,3.6661282,0.7736014,0.51942503,0.69842654,0.6142191
2024-04-28 09:11:09,4,1,17 Kristin Dudley,24 Abby Swensen,1,0,1,0,0,0,0,0,0,0,1,15.399769,11.509931,-10.2310505,0.69842654,0.6142191,0.9082168,0.509324
2024-04-28 09:14:49,5,1,17 Kristin Dudley,18 Laura Gerencser,0,0,0,0,0,0,0,0,0,0,0,7.1637607,7.1617312,-0.1705172,0.4694056,0.75641024,0.4729021,0.6911422
2024-04-28 09:15:00,5,1,18 Laura Gerencser,17 Kristin Dudley,0,0,0,0,0,0,0,0,0,0,0,5.8797655,5.115527,2.898797,0.4729021,0.6911422,0.41346154,0.64452213
2024-04-28 09:15:10,5,1,17 Kristin Dudley,40 Claire Milton,0,0,0,0,0,0,0,0,0,0,0,11.08888,11.083634,-0.3410344,0.41346154,0.64452213,0.42045453,0.54351205
2024-04-28 09:15:22,5,1,40 Claire Milton,32 Shani Rosenthal,0,0,0,0,0,0,0,0,0,0,0,37.37738,37.25807,-2.9840562,0.42045453,0.54351205,0.48164335,0.2039627
2024-04-28 09:15:36,5,1,32 Shani Rosenthal,24 Abby Swensen,0,0,0,0,0,0,0,0,0,0,0,12.637291,1.6199158,12.533035,0.48164335,0.2039627,0.22465035,0.18919969
2024-04-28 09:16:09,5,1,24 Abby Swensen,18 Laura Gerencser,0,0,0,0,0,0,0,0,1,0,1,7.691265,-6.2238884,4.5187135,0.22465035,0.18919969,0.13199301,0.24592075
2024-04-28 09:16:14,5,1,18 Laura Gerencser,24 Abby Swensen,0,0,0,0,0,0,0,0,0,1,0,8.68217,1.1083632,-8.611133,0.13199301,0.24592075,0.30856642,0.23581974
2024-04-28 09:16:26,5,1,24 Abby Swensen,18 Laura Gerencser,0,0,0,0,0,0,0,0,1,0,0,7.6471896,-7.0764737,2.898797,0.30856642,0.23581974,0.24912587,0.3003108
2024-04-28 09:16:33,5,1,18 Laura Gerencser,24 Abby Swensen,0,0,0,0,0,0,0,0,1,0,0,7.044045,-4.3481965,-5.541819,0.24912587,0.3003108,0.36276224,0.33993784
2024-04-28 09:16:43,5,1,24 Abby Swensen,17 Kristin Dudley,0,0,0,0,0,0,0,0,0,0,0,8.852551,4.262937,7.7585464,0.36276224,0.33993784,0.20367132,0.3010878
2024-04-28 09:16:45,5,1,17 Kristin Dudley,18 Laura Gerencser,0,0,0,0,0,1,0,0,0,0,1,7.117956,4.859749,5.200783,0.20367132,0.3010878,0.09702797,0.25679874
2024-04-28 09:16:47,5,1,18 Laura Gerencser,24 Abby Swensen,0,0,0,1,1,0,0,0,0,1,1,16.210148,16.199158,-0.59681135,0.09702797,0.25679874,0.10926574,0.10916861
2024-04-28 09:18:55,6,1,92 Charlotte Wilson,06 Risa Umeno,0,0,0,0,0,0,0,0,1,0,0,10.379532,-4.262937,9.463722,0.7561189,0.25058275,0.5620629,0.2894328
2024-04-28 09:19:00,6,1,06 Risa Umeno,92 Charlotte Wilson,0,0,0,0,0,0,0,0,1,0,0,7.4755917,-5.286042,5.286041,0.5620629,0.2894328,0.45367134,0.33760685
2024-04-28 09:19:05,6,1,92 Charlotte Wilson,34 Lauren Kitten,0,0,0,0,0,1,0,0,0,0,0,18.699675,12.021483,14.323469,0.45367134,0.33760685,0.15996504,0.22804973
2024-04-28 09:19:08,6,1,34 Lauren Kitten,42 Kelly Kerker,0,0,0,1,1,0,0,0,0,0,1,13.229399,13.129846,1.6199164,0.15996504,0.22804973,0.12674825,0.108391605
2024-04-28 09:21:33,8,1,91 Samantha Philips,40 Claire Milton,0,0,0,0,0,0,0,0,0,0,0,17.493631,11.936224,-12.788813,0.36451048,0.5792541,0.62674826,0.47047397
