Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
91 Samantha Philips,20,"2,4,5,8,10,12,13,15,17,18,20,22,24,26,27,28,30,32,33,34,36",19,1,11,0,41,12,40,36,5,1,0,1,2,1,1,0,0,0,377.83,115.83,9.69,2.97,359.09,61.58,9.97,1.71
18 Laura Gerencser,20,"2,4,5,8,10,12,13,15,17,18,20,22,24,26,27,28,30,32,33,34,36",19,1,11,0,57,17,55,49,8,2,3,2,0,0,0,0,0,0,534.66,150.02,9.90,2.78,396.94,-42.58,8.10,-0.87
17 Kristin Dudley,20,"2,4,5,8,10,12,13,15,17,18,20,22,24,26,27,28,30,32,33,34,36",19,1,11,0,61,20,61,49,12,4,2,0,6,6,0,0,0,0,661.74,285.14,12.73,5.48,417.84,-66.46,8.53,-1.36
32 Shani Rosenthal,18,"2,4,5,8,12,13,15,17,18,20,22,24,26,28,30,32,33,34,36",17,1,11,0,12,11,11,12,0,1,0,1,1,1,0,0,0,0,130.15,43.28,13.02,4.33,257.30,205.09,21.44,17.09
24 Abby Swensen,17,"2,4,5,10,11,13,15,17,18,20,22,24,26,27,30,32,33,36",16,1,8,0,13,8,12,12,1,1,0,1,2,1,1,2,0,0,160.29,40.24,14.57,3.66,155.12,106.36,12.93,8.86
40 Claire Milton,16,"2,5,8,10,12,13,17,18,20,22,26,27,28,30,33,34,36",15,1,8,0,15,12,13,15,0,2,0,2,4,2,2,0,0,0,199.36,154.36,18.12,14.03,237.64,170.57,15.84,11.37
04 Rachel Mast,16,"2,4,8,10,12,13,15,18,20,22,24,27,28,30,32,34",16,0,10,0,20,11,16,20,0,0,1,4,1,1,0,2,0,0,144.63,21.82,9.64,1.45,337.07,265.87,16.85,13.29
29 Emily Schloneger,14,"4,5,8,10,12,15,17,24,26,27,28,32,33,34,36",13,1,7,0,12,8,12,12,0,0,4,0,0,0,0,0,0,0,104.09,12.23,8.67,1.02,160.07,116.59,13.34,9.72
42 Kelly Kerker,14,"1,6,7,9,11,14,16,19,21,23,25,29,31,35",2,12,0,1,3,2,2,3,0,0,0,1,0,0,0,0,0,0,12.53,-7.78,6.26,-3.89,35.14,32.78,11.71,10.93
34 Lauren Kitten,13,"1,6,7,9,11,14,16,19,21,25,29,31,35",1,12,0,1,7,3,7,5,2,1,0,0,2,2,0,0,0,0,57.98,30.64,11.60,6.13,51.88,19.95,10.38,3.99
03 Mary Timmons,13,"1,6,7,9,11,14,16,19,21,25,29,31,35",1,12,0,1,3,1,3,3,0,0,0,0,2,2,0,1,0,0,6.69,-4.27,6.69,-4.27,35.97,23.60,11.99,7.87
06 Risa Umeno,12,"1,3,6,9,11,16,19,21,23,29,31,35",2,10,0,1,11,3,11,8,3,0,0,0,0,0,0,0,0,0,93.23,-5.58,8.48,-0.51,66.72,-8.15,8.34,-1.02
14 Briana Burriss,11,"1,3,6,9,11,16,19,21,29,31,35",1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22 Emily Wycoff,10,"1,3,7,9,14,19,23,25,31,35",1,9,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,12.59,10.36,12.59,10.36,9.58,8.16,9.58,8.16
02 Maketa Mattimore,10,"1,3,7,9,14,19,23,25,31,35",1,9,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,16.12,2.57,8.06,1.29,17.26,4.02,8.63,2.01
92 Charlotte Wilson,10,"3,6,7,11,14,16,21,23,25,29",2,8,0,1,9,4,9,7,2,0,1,0,0,0,0,0,0,0,94.98,34.69,10.55,3.85,56.67,-24.18,8.10,-3.45
10 Ariel Choi,6,"3,6,16,21,23,29",1,5,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0.00,0.00,0.00,0.00,12.59,10.36,12.59,10.36
16 Riley Kuznicki,5,"3,7,14,23,25",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
