Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2024-04-28 06:48:57,1,0,0,0,0,0,0,0,0,0,0,0,,,
2024-04-28 06:49:55,2,0,1,1,1,1,9,0,0,0,0,0,04 Rachel Mast,17 Kristin Dudley,32 Shani Rosenthal
2024-04-28 09:07:02,3,1,1,0,0,0,0,0,0,0,0,0,,,
2024-04-28 09:09:00,4,1,2,1,0,1,4,1,0,1,0,0,,,
2024-04-28 09:12:35,5,1,3,1,1,1,12,0,0,0,0,0,17 Kristin Dudley,18 Laura Gerencser,24 Abby Swensen
2024-04-28 09:16:49,6,2,3,0,1,1,4,0,0,0,1,0,92 Charlotte Wilson,34 Lauren Kitten,42 Kelly Kerker
2024-04-28 09:19:10,7,3,3,0,0,0,0,0,0,0,0,0,,,
2024-04-28 09:20:22,8,3,4,1,1,1,4,0,0,0,0,0,29 Emily Schloneger,32 Shani Rosenthal,04 Rachel Mast
2024-04-28 09:22:04,9,4,4,0,0,0,0,0,0,0,0,0,,,
2024-04-28 09:22:44,10,4,5,1,0,1,1,1,1,0,0,0,,,
2024-04-28 09:24:16,11,4,6,1,0,3,22,3,3,0,0,2,,,
2024-04-28 09:30:48,12,4,7,1,0,1,6,1,1,0,0,0,,,
2024-04-28 09:35:33,13,4,8,1,1,1,9,0,0,0,0,0,18 Laura Gerencser,40 Claire Milton,91 Samantha Philips
2024-04-28 09:38:52,14,5,8,0,0,0,0,0,0,0,0,0,,,
2024-04-28 09:40:03,15,5,9,1,1,1,22,0,0,0,0,0,29 Emily Schloneger,17 Kristin Dudley,18 Laura Gerencser
2024-04-28 09:43:07,16,6,9,0,0,0,0,0,0,0,0,0,,,
2024-04-28 09:44:05,17,6,10,1,0,1,12,1,1,0,0,0,,,
2024-04-28 09:46:40,18,6,11,1,1,1,14,0,0,0,0,0,17 Kristin Dudley,24 Abby Swensen,40 Claire Milton
2024-04-28 13:56:42,19,7,11,0,0,0,0,0,0,0,0,0,,,
2024-04-28 13:58:16,20,7,12,1,0,2,1,1,1,0,1,0,,,
2024-04-28 14:01:52,21,7,13,0,0,0,0,0,0,0,0,0,,,
2024-04-28 14:03:36,22,7,14,1,0,2,16,2,1,1,0,1,,,
2024-04-28 14:22:19,23,7,15,1,0,1,4,1,1,0,0,0,,,
2024-04-28 19:13:25,24,7,16,1,1,2,10,1,1,0,0,1,18 Laura Gerencser,91 Samantha Philips,18 Laura Gerencser
2024-04-28 19:16:25,25,8,16,0,0,0,0,0,0,0,0,0,,,
2024-04-28 19:17:44,26,8,17,1,0,1,2,1,1,0,0,0,,,
2024-04-28 19:18:57,27,8,18,1,0,1,12,1,1,0,0,0,,,
2024-04-28 19:21:51,28,8,19,1,1,1,8,0,0,0,0,0,29 Emily Schloneger,18 Laura Gerencser,04 Rachel Mast
2024-04-28 19:23:47,29,9,19,0,0,0,0,0,0,0,0,0,,,
2024-04-28 19:24:32,30,9,20,1,1,1,7,0,0,0,0,0,18 Laura Gerencser,40 Claire Milton,04 Rachel Mast
2024-04-28 19:26:01,31,10,20,0,0,0,0,0,0,0,0,0,,,
2024-04-28 19:27:15,32,10,21,1,1,4,35,3,2,1,3,0,,17 Kristin Dudley,04 Rachel Mast
2024-04-28 19:33:33,33,11,21,0,0,1,23,1,0,1,0,1,,,
2024-04-28 19:37:50,34,11,22,1,1,2,13,1,1,0,0,1,29 Emily Schloneger,17 Kristin Dudley,40 Claire Milton
2024-04-28 19:39:48,35,12,22,0,0,1,1,1,1,0,1,0,,,
2024-04-28 19:41:11,36,12,23,1,0,1,5,1,1,0,0,0,,,
