Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2024-04-28 06:55:10,2,1,1,1,0.5113636,0.6965812,17 Kristin Dudley,9,04 Rachel Mast,17 Kristin Dudley,32 Shani Rosenthal,,,
2024-04-28 09:10:00,4,1,1,0,0.6722028,0.64452213,18 Laura Gerencser,4,,,,,24 Abby Swensen,
2024-04-28 09:14:47,5,1,1,1,0.4694056,0.75641024,17 Kristin Dudley,12,17 Kristin Dudley,18 Laura Gerencser,24 Abby Swensen,,,
2024-04-28 09:18:44,6,1,0,1,0.7561189,0.25058275,92 Charlotte Wilson,4,92 Charlotte Wilson,34 Lauren Kitten,42 Kelly Kerker,,,
2024-04-28 09:21:23,8,1,1,1,0.36451048,0.5792541,91 Samantha Philips,4,29 Emily Schloneger,32 Shani Rosenthal,04 Rachel Mast,,,
2024-04-28 09:23:47,10,1,1,0,0.5061189,0.43395492,17 Kristin Dudley,1,,,,17 Kristin Dudley,,
2024-04-28 09:25:52,11,1,1,0,0.47115386,0.72843826,06 Risa Umeno,14,,,,03 Mary Timmons,,
2024-04-28 09:28:33,11,2,1,0,0.0992268,0.8346682,06 Risa Umeno,7,,,,03 Mary Timmons,,
2024-04-28 09:29:54,11,3,1,0,0.086340204,0.82379866,34 Lauren Kitten,1,,,,34 Lauren Kitten,,
2024-04-28 09:31:25,12,1,1,0,0.5927835,0.59897023,18 Laura Gerencser,6,,,,17 Kristin Dudley,,
2024-04-28 09:36:51,13,1,1,1,0.11082474,0.6859268,91 Samantha Philips,9,18 Laura Gerencser,40 Claire Milton,91 Samantha Philips,,,
2024-04-28 09:40:53,15,1,1,1,0.27706185,0.5715103,91 Samantha Philips,22,29 Emily Schloneger,17 Kristin Dudley,18 Laura Gerencser,,,
2024-04-28 09:44:37,17,1,1,0,0.44974226,0.7179634,17 Kristin Dudley,12,,,,40 Claire Milton,,
2024-04-28 13:55:13,18,1,1,1,0.5051546,0.6693364,17 Kristin Dudley,14,17 Kristin Dudley,24 Abby Swensen,40 Claire Milton,,,
2024-04-28 13:59:16,20,1,1,0,0.57731956,0.53775746,17 Kristin Dudley,1,,,,17 Kristin Dudley,,
2024-04-28 14:01:43,20,2,1,0,0.45360824,0.8083524,,0,,,,,,
2024-04-28 14:04:12,22,1,1,0,0.5090206,0.6727689,17 Kristin Dudley,12,,,,,40 Claire Milton,
2024-04-28 14:20:41,22,2,1,0,0.69458765,0.5818078,91 Samantha Philips,4,,,,24 Abby Swensen,,
2024-04-28 14:24:02,23,1,1,0,0.5103093,0.58581233,92 Charlotte Wilson,4,,,,10 Ariel Choi,,
2024-04-28 19:14:02,24,1,1,0,0.49097937,0.6556064,17 Kristin Dudley,1,,,,17 Kristin Dudley,,
2024-04-28 19:14:47,24,2,1,1,0.3273196,0.8306636,18 Laura Gerencser,9,18 Laura Gerencser,91 Samantha Philips,18 Laura Gerencser,,,
2024-04-28 19:18:25,26,1,1,0,0.53350514,0.6813501,18 Laura Gerencser,2,,,,17 Kristin Dudley,,
2024-04-28 19:19:42,27,1,1,0,0.7048969,0.562357,18 Laura Gerencser,12,,,,40 Claire Milton,,
2024-04-28 19:22:36,28,1,1,1,0.8530928,0.59610987,18 Laura Gerencser,8,29 Emily Schloneger,18 Laura Gerencser,04 Rachel Mast,,,
2024-04-28 19:25:19,30,1,1,1,0.62628865,0.6590389,18 Laura Gerencser,7,18 Laura Gerencser,40 Claire Milton,04 Rachel Mast,,,
2024-04-28 19:27:32,32,1,1,0,0.64819586,0.6395881,18 Laura Gerencser,17,,,,,91 Samantha Philips,
2024-04-28 19:30:17,32,2,1,0,0.43427834,0.8758581,24 Abby Swensen,7,,,,04 Rachel Mast,,
2024-04-28 19:32:20,32,3,1,0,0.2525773,0.4313501,17 Kristin Dudley,10,,,,91 Samantha Philips,,
2024-04-28 19:33:30,32,4,1,1,0.31829897,0.29176202,17 Kristin Dudley,1,,17 Kristin Dudley,04 Rachel Mast,,,
2024-04-28 19:34:51,33,1,0,0,0.72422683,0.5423341,06 Risa Umeno,23,,,,,40 Claire Milton,
2024-04-28 19:38:07,34,1,1,0,0.5412371,0.51487416,17 Kristin Dudley,10,,,,32 Shani Rosenthal,,
2024-04-28 19:39:32,34,2,1,1,0.7345361,0.35526314,17 Kristin Dudley,3,29 Emily Schloneger,17 Kristin Dudley,40 Claire Milton,,,
2024-04-28 19:40:49,35,1,0,0,0.5051546,0.576659,34 Lauren Kitten,1,,,,34 Lauren Kitten,,
2024-04-28 19:42:13,36,1,1,0,0.17396908,0.5257437,91 Samantha Philips,5,,,,17 Kristin Dudley,,
