Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-04-27 20:06:34,11,05 Lindsay McKenna,0,0,0,0,0.47826087,0.68191564
2024-04-27 20:08:42,11,66 Jess Brand,0,0,0,0,0.59098226,0.4438885
2024-04-27 20:10:31,11,33 Jana Graham,0,0,0,0,0.7455717,0.30164403
2024-04-27 20:13:08,12,08 Emma Soiles,0,0,0,0,0.57004833,0.575411
2024-04-27 20:36:48,17,33 Jana Graham,0,0,0,0,0.6714976,0.74052894
2024-04-27 21:09:26,24,24 Casey Gorman,0,0,0,0,0.4090177,0.46890637
2024-04-27 21:17:29,26,15 Layne Dodge,0,0,0,0,0.6714976,0.4438885
2024-04-27 21:36:39,32,05 Lindsay McKenna,0,0,0,0,0.23188406,0.60114366
2024-04-27 21:51:27,35,20 Danielle Walsh,0,0,0,0,0.49436393,0.6940672
2024-04-27 21:54:04,36,08 Emma Soiles,1,0,0,0,0.25764894,0.8820586
