Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-04-27 19:45:26,1,1,20 Danielle Walsh,10 Andrea DeSabato,0,0,0,0,0,0,0,0,1,0,0,13.505639,-7.1374145,-11.465584,0.3268921,0.5067906,0.56199676,0.571837
2024-04-27 19:45:38,1,1,10 Andrea DeSabato,09 Sarah Hirannet,0,0,0,0,0,0,0,0,0,0,0,12.806087,11.4512415,-5.732793,0.56199676,0.571837,0.6795491,0.46747676
2024-04-27 19:45:43,1,1,09 Sarah Hirannet,01 Emily Shields,0,0,0,0,0,0,0,0,0,0,0,13.064033,10.196309,-8.167266,0.6795491,0.46747676,0.8470209,0.37455326
2024-04-27 19:46:07,1,1,01 Emily Shields,10 Andrea DeSabato,0,0,0,0,0,0,0,0,1,0,0,10.787509,-7.137418,8.088734,0.8470209,0.37455326,0.68115944,0.43959972
2024-04-27 19:46:14,1,1,10 Andrea DeSabato,20 Danielle Walsh,0,0,0,0,0,0,0,1,0,0,0,16.075216,4.0785265,15.549218,0.68115944,0.43959972,0.36231884,0.4024303
2024-04-27 19:46:29,1,1,20 Danielle Walsh,23 Natalie Bova,0,0,0,0,0,0,0,0,0,0,0,9.322419,9.019814,-2.355942,0.36231884,0.4024303,0.41062802,0.32022873
2024-04-27 19:46:32,1,1,23 Natalie Bova,20 Danielle Walsh,0,0,0,0,0,1,0,0,0,0,0,12.330364,11.764973,3.6909754,0.41062802,0.32022873,0.33494365,0.2130093
2024-04-27 19:46:41,1,1,20 Danielle Walsh,09 Sarah Hirannet,0,0,0,1,1,0,0,0,0,0,0,13.490978,13.019906,-3.5339124,0.33494365,0.2130093,0.4074074,0.09435311
2024-04-27 19:49:23,3,1,20 Danielle Walsh,10 Andrea DeSabato,0,0,0,0,0,0,0,0,0,0,0,5.5536966,4.0785236,-3.7695084,0.5217391,0.6611866,0.59903383,0.6240172
2024-04-27 19:49:27,3,1,10 Andrea DeSabato,20 Danielle Walsh,0,0,0,0,0,0,0,0,0,0,0,11.406291,1.4902331,-11.308522,0.59903383,0.6240172,0.8309179,0.610436
