Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
11 Sara Liang,18,"2,4,5,8,10,11,12,13,15,17,18,22,24,26,28,30,32,33,36",1,17,1,6,14,6,14,13,1,1,2,0,0,0,0,0,0,0,214.81,119.85,15.34,8.56,148.31,38.12,11.41,2.93
09 Sarah Hirannet,17,"1,3,6,7,9,12,14,16,19,20,21,23,25,27,29,31,35,36",13,4,12,2,14,9,12,14,0,2,1,2,0,0,0,0,0,0,132.29,93.26,11.02,7.77,185.00,168.16,13.21,12.01
08 Emma Soiles,17,"2,4,5,8,10,11,12,13,15,17,18,22,24,28,30,32,33,36",1,16,1,5,16,9,12,14,2,3,0,2,2,2,0,2,0,1,131.02,75.69,13.10,7.57,260.65,159.61,18.62,11.40
20 Danielle Walsh,16,"1,3,6,7,9,14,16,19,20,21,23,25,27,29,31,35",13,3,12,2,48,17,48,39,9,3,4,0,1,1,0,1,0,0,518.52,164.71,11.03,3.50,415.17,84.86,10.65,2.18
04 Raha Mozaffari,16,"2,4,5,8,10,12,13,15,17,18,22,24,28,30,32,33",1,15,1,4,16,7,16,6,10,0,1,0,1,1,0,0,0,0,235.32,109.81,15.69,7.32,46.10,-4.94,7.68,-0.82
01 Emily Shields,16,"1,3,6,7,9,14,16,19,20,21,23,25,27,29,31,35",13,3,12,2,16,12,14,16,0,1,5,2,2,2,0,0,0,0,120.87,54.98,10.07,4.58,297.18,261.34,18.57,16.33
23 Natalie Bova,16,"1,3,6,7,9,14,16,19,20,21,23,25,27,29,31,35",13,3,12,2,47,15,44,45,2,1,4,3,0,0,0,0,0,0,499.70,129.65,11.36,2.95,444.43,-31.22,9.88,-0.69
03 Rachel Alfano,16,"1,3,6,7,9,14,16,19,20,21,23,25,27,29,31,35",13,3,12,2,21,12,18,21,0,1,0,3,0,0,0,0,0,0,159.14,24.24,8.84,1.35,278.78,215.85,13.28,10.28
22 Liz Hart,16,"1,3,6,7,9,14,16,19,20,21,23,25,27,29,31,35",13,3,12,2,23,13,19,23,0,5,0,4,0,0,0,0,0,0,299.82,213.89,15.78,11.26,276.55,203.69,12.02,8.86
10 Andrea DeSabato,16,"1,3,6,7,9,14,16,19,20,21,23,25,27,29,31,35",13,3,12,2,53,15,53,47,6,1,0,0,1,1,0,0,0,0,608.89,132.24,11.71,2.54,454.77,-80.00,9.68,-1.70
24 Casey Gorman,14,"2,4,5,8,11,15,18,22,24,26,28,30,32,34",0,14,0,4,6,4,5,6,0,0,0,1,3,3,0,1,0,0,15.14,10.98,7.57,5.49,86.29,49.26,14.38,8.21
33 Jana Graham,12,"2,4,8,11,13,17,18,22,24,26,30,33,36",1,11,1,5,4,2,2,4,0,0,0,2,1,0,1,2,0,0,21.08,6.43,10.54,3.22,57.70,46.82,14.42,11.71
13 Kat Harper,11,"5,10,12,13,18,22,24,26,28,32,34,36",0,11,0,3,5,3,5,5,0,1,1,0,0,0,0,0,0,0,45.38,17.26,11.34,4.31,49.44,32.31,9.89,6.46
15 Layne Dodge,11,"2,4,5,8,10,12,15,17,26,28,30,36",0,11,0,4,6,4,5,5,1,2,0,1,0,0,0,1,0,0,79.13,60.71,15.83,12.14,78.16,65.73,15.63,13.15
05 Lindsay McKenna,10,"2,4,8,10,11,12,15,17,26,32,36",0,10,0,5,6,4,5,6,0,0,1,1,0,0,0,2,0,0,50.31,13.96,10.06,2.79,89.69,45.02,14.95,7.50
36 Adi Malave,6,"10,13,18,28,32,34",0,6,0,1,3,2,3,2,1,0,0,0,1,1,0,0,0,0,23.39,19.22,11.69,9.61,27.16,20.00,13.58,10.00
66 Jess Brand,6,"5,11,13,17,33,34",1,5,1,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,10.39,-5.65,10.39,-5.65,12.64,5.65,12.64,5.65
17 Allie Milligan,5,"11,22,26,30,33",1,4,1,3,5,2,5,3,2,0,2,0,0,0,0,0,0,0,62.21,29.33,12.44,5.87,30.56,-5.57,10.19,-1.86
25 Sabrina Bonaci,3,"15,33,34",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
70 Benish Benjamin,2,"24,34",0,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,11.17,4.16,11.17,4.16,0.00,0.00,0.00,0.00
12 Sally Roberts,1,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
