Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2024-04-27 19:44:01,1,0,0,1,1,1,8,0,0,0,0,0,23 Natalie Bova,20 Danielle Walsh,09 Sarah Hirannet
2024-04-27 19:46:45,2,1,0,0,0,0,0,0,0,0,0,0,,,
2024-04-27 19:48:18,3,1,1,1,1,1,6,0,0,0,0,0,01 Emily Shields,09 Sarah Hirannet,23 Natalie Bova
2024-04-27 19:50:30,4,2,1,0,1,1,7,0,0,0,0,1,05 Lindsay McKenna,15 Layne Dodge,08 Emma Soiles
2024-04-27 19:52:26,5,3,1,0,0,0,0,0,0,0,0,0,,,
2024-04-27 19:53:58,6,3,2,1,0,1,12,1,1,0,0,0,,,
2024-04-27 19:56:54,7,3,3,1,1,1,7,0,0,0,0,0,09 Sarah Hirannet,03 Rachel Alfano,22 Liz Hart
2024-04-27 19:58:38,8,4,3,0,0,0,0,0,0,0,0,0,,,
2024-04-27 19:59:38,9,4,4,1,1,1,6,0,0,0,0,0,01 Emily Shields,22 Liz Hart,23 Natalie Bova
2024-04-27 20:01:19,10,5,4,0,1,1,8,0,0,0,0,1,11 Sara Liang,08 Emma Soiles,15 Layne Dodge
2024-04-27 20:04:23,11,6,4,0,1,3,16,2,2,0,3,0,17 Allie Milligan,08 Emma Soiles,33 Jana Graham
2024-04-27 20:11:18,12,7,4,0,0,1,0,0,0,0,1,0,,,
2024-04-27 20:15:13,13,7,5,0,0,0,0,0,0,0,0,0,,,
2024-04-27 20:18:05,14,7,6,1,1,1,23,0,0,0,0,0,20 Danielle Walsh,23 Natalie Bova,03 Rachel Alfano
2024-04-27 20:25:41,15,8,6,0,0,0,0,0,0,0,0,0,,,
2024-04-27 20:27:58,16,8,7,1,1,1,29,0,0,0,0,0,01 Emily Shields,22 Liz Hart,09 Sarah Hirannet
2024-04-27 20:35:22,17,9,7,0,1,1,6,0,0,0,1,0,11 Sara Liang,08 Emma Soiles,33 Jana Graham
2024-04-27 20:37:46,18,10,7,0,0,0,0,0,0,0,0,0,,,
2024-04-27 20:39:54,19,10,8,1,1,1,7,0,0,0,0,0,20 Danielle Walsh,10 Andrea DeSabato,23 Natalie Bova
2024-04-27 20:41:57,20,11,8,0,0,1,6,1,1,0,0,1,,,
2024-04-27 20:45:40,21,11,9,1,1,1,22,0,0,0,0,0,23 Natalie Bova,20 Danielle Walsh,22 Liz Hart
2024-04-27 20:56:52,22,12,9,0,1,2,10,1,0,1,0,2,17 Allie Milligan,13 Kat Harper,24 Casey Gorman
2024-04-27 21:00:24,23,13,9,0,1,1,10,0,0,0,0,1,23 Natalie Bova,20 Danielle Walsh,01 Emily Shields
2024-04-27 21:07:47,24,14,9,0,0,1,3,1,1,0,1,0,,,
2024-04-27 21:10:43,25,14,10,1,1,1,33,0,0,0,0,0,23 Natalie Bova,01 Emily Shields,22 Liz Hart
2024-04-27 21:16:35,26,15,10,0,1,1,4,0,0,0,1,0,13 Kat Harper,15 Layne Dodge,05 Lindsay McKenna
2024-04-27 21:18:03,27,16,10,0,1,1,14,0,0,0,0,1,01 Emily Shields,22 Liz Hart,03 Rachel Alfano
2024-04-27 21:25:13,28,17,10,0,0,0,0,0,0,0,0,0,,,
2024-04-27 21:27:47,29,17,11,1,1,1,15,0,0,0,0,0,20 Danielle Walsh,22 Liz Hart,01 Emily Shields
2024-04-27 21:30:17,30,18,11,0,0,0,0,0,0,0,0,0,,,
2024-04-27 21:31:30,31,18,12,1,1,1,3,0,0,0,0,0,20 Danielle Walsh,22 Liz Hart,03 Rachel Alfano
2024-04-27 21:32:34,32,19,12,0,0,3,12,3,3,0,1,2,,,
2024-04-27 21:40:53,33,19,13,1,1,2,5,1,1,0,0,1,04 Raha Mozaffari,11 Sara Liang,08 Emma Soiles
2024-04-27 21:44:34,34,20,13,0,0,1,2,1,1,0,0,1,,,
2024-04-27 21:49:39,35,20,14,1,1,2,8,1,1,0,1,0,01 Emily Shields,09 Sarah Hirannet,22 Liz Hart
2024-04-27 21:52:03,36,21,14,0,0,1,0,0,0,0,1,0,,,
