Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2024-04-27 19:45:12,1,1,1,1,0.3268921,0.5067906,20 Danielle Walsh,8,23 Natalie Bova,20 Danielle Walsh,09 Sarah Hirannet,,,
2024-04-27 19:49:14,3,1,1,1,0.5217391,0.6611866,20 Danielle Walsh,6,01 Emily Shields,09 Sarah Hirannet,23 Natalie Bova,,,
2024-04-27 19:51:31,4,1,0,1,0.0080515295,0.54896355,04 Raha Mozaffari,7,05 Lindsay McKenna,15 Layne Dodge,08 Emma Soiles,,,
2024-04-27 19:55:01,6,1,1,0,0.74235106,0.66404575,23 Natalie Bova,12,,,,10 Andrea DeSabato,,
2024-04-27 19:57:41,7,1,1,1,0.36392915,0.57255185,10 Andrea DeSabato,7,09 Sarah Hirannet,03 Rachel Alfano,22 Liz Hart,,,
2024-04-27 20:00:03,9,1,1,1,0.4879227,0.45103645,20 Danielle Walsh,6,01 Emily Shields,22 Liz Hart,23 Natalie Bova,,,
2024-04-27 20:03:31,10,1,0,1,0.053140096,0.73981416,04 Raha Mozaffari,8,11 Sara Liang,08 Emma Soiles,15 Layne Dodge,,,
2024-04-27 20:06:45,11,1,0,0,0.41223833,0.7505361,17 Allie Milligan,5,,,,24 Casey Gorman,,
2024-04-27 20:08:52,11,2,0,0,0.52979064,0.4639028,11 Sara Liang,7,,,,08 Emma Soiles,,
2024-04-27 20:10:53,11,3,0,1,0.85024154,0.31593996,17 Allie Milligan,4,17 Allie Milligan,08 Emma Soiles,33 Jana Graham,,,
2024-04-27 20:13:10,12,1,0,0,0.57004833,0.575411,08 Emma Soiles,0,,,,,,08 Emma Soiles
2024-04-27 20:18:59,14,1,1,1,0.64412236,0.7126519,10 Andrea DeSabato,23,20 Danielle Walsh,23 Natalie Bova,03 Rachel Alfano,,,
2024-04-27 20:28:31,16,1,1,1,0.76650566,0.6368835,23 Natalie Bova,29,01 Emily Shields,22 Liz Hart,09 Sarah Hirannet,,,
2024-04-27 20:36:59,17,1,0,1,0.6763285,0.7712652,04 Raha Mozaffari,6,11 Sara Liang,08 Emma Soiles,33 Jana Graham,,,
2024-04-27 20:40:41,19,1,1,1,0.5072464,0.4817727,20 Danielle Walsh,7,20 Danielle Walsh,10 Andrea DeSabato,23 Natalie Bova,,,
2024-04-27 20:44:39,20,1,0,0,0.44766507,0.8091494,20 Danielle Walsh,6,,,,01 Emily Shields,,
2024-04-27 20:53:57,21,1,1,1,0.23188406,0.7197999,10 Andrea DeSabato,22,23 Natalie Bova,20 Danielle Walsh,22 Liz Hart,,,
2024-04-27 20:58:16,22,1,0,0,0.2431562,0.6547534,04 Raha Mozaffari,4,,,,,33 Jana Graham,
2024-04-27 20:59:10,22,2,0,1,0.55233496,0.8277341,04 Raha Mozaffari,6,17 Allie Milligan,13 Kat Harper,24 Casey Gorman,,,
2024-04-27 21:02:18,23,1,0,1,0.4074074,0.8305933,70 Benish Benjamin,10,23 Natalie Bova,20 Danielle Walsh,01 Emily Shields,,,
2024-04-27 21:09:30,24,1,0,0,0.3768116,0.52323085,04 Raha Mozaffari,3,,,,04 Raha Mozaffari,,
2024-04-27 21:11:15,25,1,1,1,0.28180355,0.67977124,10 Andrea DeSabato,33,23 Natalie Bova,01 Emily Shields,22 Liz Hart,,,
2024-04-27 21:17:32,26,1,0,1,0.6714976,0.4438885,15 Layne Dodge,4,13 Kat Harper,15 Layne Dodge,05 Lindsay McKenna,,,
2024-04-27 21:20:02,27,1,0,1,0.74396133,0.8234453,20 Danielle Walsh,14,01 Emily Shields,22 Liz Hart,03 Rachel Alfano,,,
2024-04-27 21:28:37,29,1,1,1,0.9661836,0.59256613,10 Andrea DeSabato,15,20 Danielle Walsh,22 Liz Hart,01 Emily Shields,,,
2024-04-27 21:32:14,31,1,1,1,0.23188406,0.45175126,10 Andrea DeSabato,3,20 Danielle Walsh,22 Liz Hart,03 Rachel Alfano,,,
2024-04-27 21:34:31,32,1,0,0,0.6876007,0.41100785,04 Raha Mozaffari,7,,,,08 Emma Soiles,,
2024-04-27 21:36:56,32,2,0,0,0.36876008,0.7762688,04 Raha Mozaffari,2,,,,24 Casey Gorman,,
2024-04-27 21:40:06,32,3,0,0,0.032206118,0.8255897,04 Raha Mozaffari,3,,,,36 Adi Malave,,
2024-04-27 21:41:45,33,1,1,0,0.47987118,0.44746247,20 Danielle Walsh,1,,,,20 Danielle Walsh,,
2024-04-27 21:44:11,33,2,1,1,0.72624797,0.3674053,04 Raha Mozaffari,4,04 Raha Mozaffari,11 Sara Liang,08 Emma Soiles,,,
2024-04-27 21:49:01,34,1,0,0,0.74396133,0.8277341,36 Adi Malave,2,,,,24 Casey Gorman,,
2024-04-27 21:50:11,35,1,1,0,0.7890499,0.6061472,20 Danielle Walsh,3,,,,01 Emily Shields,,
2024-04-27 21:51:29,35,2,1,1,0.49436393,0.6940672,20 Danielle Walsh,5,01 Emily Shields,09 Sarah Hirannet,22 Liz Hart,,,
2024-04-27 21:54:06,36,1,0,0,0.25764894,0.8820586,08 Emma Soiles,0,,,,,,
