Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-04-29 19:07:42,1,1,08 Grace Robinson,27 Katharine Gilbert,0,0,0,0,0,0,0,0,0,0,0,9.944589,9.076273,4.0640006,0.55833334,0.6518519,0.475,0.5691358
2024-04-29 19:07:49,1,1,27 Katharine Gilbert,10 Tori Taylor,0,0,0,0,0,0,0,0,0,0,0,17.154728,11.108265,13.072533,0.475,0.5691358,0.20694447,0.46790123
2024-04-29 19:07:58,1,1,10 Tori Taylor,22 Rebecca Henley,0,0,0,0,0,0,0,1,0,0,0,16.695131,7.111999,-15.104532,0.20694447,0.46790123,0.51666665,0.40308642
2024-04-29 19:08:34,1,1,22 Rebecca Henley,27 Katharine Gilbert,0,0,0,0,0,0,0,0,1,0,0,11.352153,-2.6416004,11.040531,0.51666665,0.40308642,0.2902778,0.4271605
2024-04-29 19:08:46,1,1,27 Katharine Gilbert,24 Mia Letterie,1,1,0,0,0,0,0,0,1,0,0,6.7631636,-6.705598,0.8805335,0.2902778,0.4271605,0.27222225,0.4882716
2024-04-29 19:10:09,2,1,24 Mia Letterie,27 Katharine Gilbert,0,0,0,0,0,0,0,0,0,0,0,8.796211,4.3349357,7.653866,0.65416664,0.69876546,0.49722221,0.65925926
2024-04-29 19:10:38,2,1,27 Katharine Gilbert,72 Grace Castro,1,1,0,0,0,0,0,0,0,0,0,11.988992,7.247468,-9.550399,0.49722221,0.65925926,0.6930555,0.59320986
2024-04-29 19:11:47,2,2,27 Katharine Gilbert,24 Mia Letterie,0,0,0,0,0,0,0,1,0,0,0,18.017578,-0.13546266,18.017069,0.7430555,0.71358025,0.37361106,0.7148148
2024-04-29 19:12:12,2,2,24 Mia Letterie,10 Tori Taylor,0,0,0,0,0,0,0,0,0,0,0,10.9522915,10.905065,1.0159991,0.37361106,0.7148148,0.35277775,0.6154321
2024-04-29 19:12:17,2,2,10 Tori Taylor,72 Grace Castro,0,0,0,0,0,0,0,0,0,0,0,8.475603,1.5578663,8.331201,0.35277775,0.6154321,0.1819444,0.60123456
2024-04-29 19:12:39,2,2,72 Grace Castro,77 Melissa Gronske,1,1,0,0,0,0,0,0,0,0,0,32.70812,31.970133,-6.908801,0.1819444,0.60123456,0.32361108,0.30987653
2024-04-29 19:13:28,2,3,27 Katharine Gilbert,77 Melissa Gronske,1,1,0,1,0,0,0,0,0,0,0,36.885822,36.84693,-1.6933328,0.7430555,0.44074073,0.77777773,0.10493826
2024-04-29 19:14:09,2,4,10 Tori Taylor,08 Grace Robinson,0,0,0,0,0,0,0,0,0,0,0,9.783161,9.655092,-1.5777904,0.6732026,0.56885535,0.70555556,0.4808642
2024-04-29 19:14:17,2,4,08 Grace Robinson,72 Grace Castro,0,0,0,0,0,1,0,0,0,0,1,14.460393,11.311469,-9.008532,0.70555556,0.4808642,0.89027774,0.37777776
2024-04-29 19:14:26,2,4,72 Grace Castro,22 Rebecca Henley,0,0,0,1,1,0,0,0,0,1,0,33.196312,32.512,6.7056,0.89027774,0.37777776,0.75277776,0.081481464
2024-04-29 19:17:15,3,1,20 Noel Holmes,45 Sylvia Brown,0,0,0,0,0,0,0,0,0,1,0,11.206535,2.5667367,10.908634,0.8567252,0.29044834,0.63304096,0.26705652
2024-04-29 19:17:25,3,1,45 Sylvia Brown,20 Noel Holmes,0,0,0,0,0,0,0,0,1,0,0,9.828046,-8.199301,-5.4186664,0.63304096,0.26705652,0.74415207,0.3417804
2024-04-29 19:17:37,3,1,20 Noel Holmes,25 Nadine Rowen,1,1,0,0,0,0,0,0,0,0,0,17.480724,14.544842,9.69656,0.74415207,0.3417804,0.5453217,0.20922679
2024-04-29 19:18:39,3,2,45 Sylvia Brown,82 Mary Turner,1,1,0,0,0,0,0,0,0,0,0,11.066061,7.044269,8.5344,0.36944446,0.30555558,0.19444446,0.24135803
2024-04-29 19:20:01,4,1,08 Grace Robinson,27 Katharine Gilbert,0,0,0,0,0,0,0,0,0,0,0,15.850174,15.849595,0.13546702,0.48888886,0.80123454,0.48611107,0.65679014
2024-04-29 19:20:10,4,1,27 Katharine Gilbert,10 Tori Taylor,0,0,0,0,0,0,0,0,0,0,0,9.605965,5.8928022,-7.5861344,0.48611107,0.65679014,0.64166665,0.6030864
2024-04-29 19:20:19,4,1,10 Tori Taylor,22 Rebecca Henley,0,0,0,0,0,0,0,0,0,0,1,16.42027,12.3952,-10.769602,0.64166665,0.6030864,0.8625,0.49012345
2024-04-29 19:20:34,4,1,22 Rebecca Henley,27 Katharine Gilbert,0,0,0,0,0,0,0,0,1,1,0,10.854678,-10.092269,3.9962678,0.8625,0.49012345,0.78055555,0.5820988
2024-04-29 19:20:38,4,1,27 Katharine Gilbert,08 Grace Robinson,0,0,0,0,0,0,0,1,0,0,0,15.055249,2.573869,14.833601,0.78055555,0.5820988,0.47638887,0.55864197
2024-04-29 19:20:46,4,1,08 Grace Robinson,27 Katharine Gilbert,0,0,0,0,0,0,0,0,0,0,0,7.39411,0.40640107,-7.382933,0.47638887,0.55864197,0.62777776,0.55493826
2024-04-29 19:20:53,4,1,27 Katharine Gilbert,22 Rebecca Henley,0,0,0,0,0,0,0,0,0,0,1,14.346839,8.737599,-11.379198,0.62777776,0.55493826,0.86111104,0.47530863
2024-04-29 19:21:06,4,1,22 Rebecca Henley,08 Grace Robinson,0,0,0,0,0,0,0,1,0,1,0,19.174395,-0.4741324,19.168531,0.86111104,0.47530863,0.46805555,0.4796296
2024-04-29 19:21:11,4,1,08 Grace Robinson,24 Mia Letterie,0,0,0,0,0,0,0,0,0,0,0,15.488437,6.434663,14.088533,0.46805555,0.4796296,0.17916666,0.42098767
2024-04-29 19:21:21,4,1,24 Mia Letterie,27 Katharine Gilbert,0,0,0,0,0,0,0,0,0,0,0,12.119726,10.227735,-6.5024004,0.17916666,0.42098767,0.3125,0.32777777
2024-04-29 19:21:37,4,1,27 Katharine Gilbert,24 Mia Letterie,0,0,0,0,0,0,0,0,1,0,0,7.979031,-4.809065,-6.366933,0.3125,0.32777777,0.44305554,0.37160492
2024-04-29 19:21:43,4,1,24 Mia Letterie,08 Grace Robinson,0,0,0,0,0,0,0,0,0,0,0,13.451845,8.737599,-10.227732,0.44305554,0.37160492,0.65277773,0.2919753
2024-04-29 19:21:55,4,1,08 Grace Robinson,24 Mia Letterie,0,0,0,0,0,0,0,0,0,0,0,10.1093,8.534399,-5.418669,0.65277773,0.2919753,0.7638889,0.21419752
2024-04-29 19:22:05,4,1,24 Mia Letterie,08 Grace Robinson,1,1,0,1,0,0,0,0,0,0,1,17.894936,15.578667,-8.805332,0.7638889,0.21419752,0.9444444,0.0722222
2024-04-29 19:22:52,4,2,27 Katharine Gilbert,08 Grace Robinson,0,0,0,0,0,0,0,0,1,1,0,12.353677,-4.809068,-11.3792,0.026388867,0.70864195,0.2597222,0.7524691
2024-04-29 19:22:55,4,2,08 Grace Robinson,24 Mia Letterie,0,0,0,0,0,0,0,1,0,0,0,20.253288,0.20320053,-20.25227,0.2597222,0.7524691,0.675,0.75061727
2024-04-29 19:23:06,4,2,24 Mia Letterie,77 Melissa Gronske,0,0,0,0,0,0,0,0,0,0,0,14.703747,14.69813,0.40639964,0.675,0.75061727,0.6666667,0.6166667
2024-04-29 19:23:18,4,2,77 Melissa Gronske,24 Mia Letterie,1,1,0,0,0,0,0,0,1,0,1,11.058589,-5.689595,-9.482663,0.6666667,0.6166667,0.86111104,0.6685185
2024-04-29 19:25:46,5,1,27 Katharine Gilbert,45 Sylvia Brown,0,0,0,0,0,0,0,0,0,0,0,8.817307,6.4346657,6.028266,0.45416668,0.69506174,0.3305556,0.6364198
2024-04-29 19:25:50,5,1,45 Sylvia Brown,06 Micah Roberts,0,0,0,0,0,0,0,0,0,0,0,13.785856,6.4346657,-12.192002,0.3305556,0.6364198,0.5805556,0.5777778
2024-04-29 19:25:57,5,1,06 Micah Roberts,45 Sylvia Brown,0,0,0,0,0,0,0,0,0,0,0,7.1912293,0.40640107,7.1797366,0.5805556,0.5777778,0.43333334,0.5740741
2024-04-29 19:26:05,5,1,45 Sylvia Brown,82 Mary Turner,0,0,0,0,0,0,0,0,0,0,0,10.234012,7.789332,-6.6378684,0.43333334,0.5740741,0.5694445,0.50308645
2024-04-29 19:26:11,5,1,82 Mary Turner,45 Sylvia Brown,0,0,0,0,0,0,0,0,0,0,0,12.6923685,5.757336,-11.311467,0.5694445,0.50308645,0.8013889,0.45061728
2024-04-29 19:26:19,5,1,45 Sylvia Brown,06 Micah Roberts,0,0,0,0,0,0,0,0,0,0,1,15.405127,12.733866,-8.669867,0.8013889,0.45061728,0.9791667,0.3345679
2024-04-29 19:26:24,5,1,06 Micah Roberts,12 Meaghan Creamer,0,0,0,0,0,1,0,0,0,1,0,11.864939,9.008532,7.7216015,0.9791667,0.3345679,0.8208333,0.25246915
2024-04-29 19:26:43,5,1,12 Meaghan Creamer,20 Noel Holmes,0,0,0,1,1,0,0,0,0,0,0,27.444038,24.5872,12.192,0.8208333,0.25246915,0.5708333,0.028395072
2024-04-29 19:28:55,6,1,24 Mia Letterie,20 Noel Holmes,0,0,0,0,0,0,0,0,1,1,0,11.495128,-8.195733,-8.060268,0.105555534,0.73209876,0.27083334,0.8067901
2024-04-29 19:29:02,6,1,20 Noel Holmes,17 Rachel Barr,1,1,0,0,0,0,0,0,0,0,0,15.683888,15.646401,1.0837362,0.27083334,0.8067901,0.24861106,0.6641975
2024-04-29 19:31:30,7,1,27 Katharine Gilbert,72 Grace Castro,0,0,0,0,0,0,0,0,0,0,0,11.878275,8.466671,8.331201,0.42361113,0.567284,0.25277779,0.49012345
2024-04-29 19:34:09,8,1,20 Noel Holmes,45 Sylvia Brown,0,0,0,0,0,0,0,0,0,0,0,12.449861,7.3829374,-10.024532,0.29305553,0.72962964,0.49861106,0.66234565
2024-04-29 19:34:22,8,1,45 Sylvia Brown,06 Micah Roberts,0,0,0,0,0,0,0,0,0,0,0,10.039623,4.944531,-8.737599,0.49861106,0.66234565,0.6777777,0.61728394
2024-04-29 19:34:26,8,1,06 Micah Roberts,45 Sylvia Brown,0,0,0,0,0,0,0,0,0,0,1,10.8882265,5.350932,-9.482669,0.6777777,0.61728394,0.8722222,0.5685185
2024-04-29 19:34:36,8,1,45 Sylvia Brown,20 Noel Holmes,0,0,0,0,0,0,0,1,0,1,0,15.311478,0.33866972,15.307732,0.8722222,0.5685185,0.55833334,0.5654321
2024-04-29 19:34:51,8,1,20 Noel Holmes,12 Meaghan Creamer,0,0,0,0,0,0,0,0,0,0,0,18.09393,9.753596,15.240001,0.55833334,0.5654321,0.24583334,0.47654322
2024-04-29 19:34:53,8,1,12 Meaghan Creamer,06 Micah Roberts,0,0,0,0,0,0,0,0,0,0,0,10.400541,0.88053674,-10.3632,0.24583334,0.47654322,0.45833334,0.4685185
2024-04-29 19:35:11,8,1,06 Micah Roberts,45 Sylvia Brown,0,0,0,0,0,0,0,0,1,0,0,7.5452013,-4.8767996,-5.7573333,0.45833334,0.4685185,0.5763889,0.51296294
2024-04-29 19:35:19,8,1,45 Sylvia Brown,82 Mary Turner,1,0,1,0,0,0,0,0,0,0,0,13.498491,7.0442643,11.514669,0.5763889,0.51296294,0.34027773,0.44876543
2024-04-29 19:36:31,8,2,45 Sylvia Brown,06 Micah Roberts,0,0,0,0,0,0,0,0,0,1,0,14.292374,3.3866646,-13.885332,0.0347222,0.7907407,0.3194444,0.75987655
2024-04-29 19:36:34,8,2,06 Micah Roberts,20 Noel Holmes,0,0,0,0,0,0,0,0,1,0,0,14.906567,-3.183464,-14.562668,0.3194444,0.75987655,0.6180555,0.7888889
