Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
27 Katharine Gilbert,23,"1,2,4,5,7,8,10,12,14,16,17,18,19,22,23,24,25,28,30,31,33,34,36,37",20,3,7,1,56,22,55,44,12,0,2,1,7,7,0,0,0,0,598.84,171.32,12.48,3.57,485.93,180.44,11.04,4.1
08 Grace Robinson,21,"1,2,4,7,8,10,12,14,15,17,19,20,22,23,25,27,30,31,32,34,35,37",18,3,8,1,48,18,47,33,15,0,2,1,3,3,0,0,0,0,513.62,271.13,11.94,6.31,415.27,82.7,12.58,2.51
45 Sylvia Brown,21,"3,5,6,9,11,13,15,16,18,20,21,22,23,24,26,27,28,29,30,32,35,37",9,12,5,1,43,13,42,33,10,1,2,1,7,7,0,2,0,0,435.41,159.75,12.81,4.7,322.76,88.32,9.78,2.68
24 Mia Letterie,20,"1,2,4,6,8,10,12,14,16,17,19,21,25,26,29,31,32,33,35,36",15,5,5,0,32,13,32,24,8,1,1,0,3,3,0,1,0,0,392.5,222.51,14.54,8.24,252.1,-30.88,10.5,-1.29
10 Tori Taylor,17,"1,2,4,7,8,10,12,14,17,19,22,23,25,28,32,34,36,37",16,1,6,1,22,14,21,21,1,4,1,1,3,2,1,2,0,0,278.95,161.48,14.68,8.5,265.54,178.29,12.64,8.49
72 Grace Castro,17,"1,2,4,7,8,10,12,14,17,19,22,23,25,28,30,32,34,37",16,1,6,1,20,12,18,20,0,1,0,1,1,1,0,0,0,1,215.46,57.62,13.47,3.6,316.5,177.65,15.82,8.88
22 Rebecca Henley,17,"1,2,4,7,8,10,12,14,17,19,22,23,25,28,30,32,34,37",16,1,6,1,12,10,10,12,0,1,0,2,0,0,0,1,0,0,118.11,-7.77,11.81,-0.78,234.58,187.44,19.55,15.62
77 Melissa Gronske,16,"1,2,4,7,8,10,12,14,17,19,22,23,25,30,32,34,37",15,1,6,1,2,2,2,2,0,0,0,0,2,1,1,0,0,0,12.87,-1.86,12.87,-1.86,30.93,30.03,15.47,15.02
25 Nadine Rowen,15,"3,5,11,13,15,18,20,24,26,27,28,29,30,31,35",8,7,4,0,5,4,4,5,0,1,0,1,2,1,1,2,0,0,23.43,-3.05,7.81,-1.02,78.39,57.22,15.68,11.44
82 Mary Turner,14,"3,5,13,15,16,18,20,21,24,26,29,31,33,36",8,6,4,0,8,6,8,8,0,0,0,0,2,1,1,0,0,0,61.69,8.26,10.28,1.38,111.84,32.83,13.98,4.1
12 Meaghan Creamer,13,"3,5,9,13,15,18,20,24,26,29,31,33,36",8,5,4,0,5,4,5,5,0,1,0,0,1,0,1,0,0,0,60.02,22.76,12,4.55,75.8,47.62,15.16,9.52
20 Noel Holmes,12,"3,5,6,9,11,13,15,20,24,26,27,29",4,8,4,0,10,5,9,8,2,0,1,1,2,2,0,1,0,0,77.04,41.31,11.01,5.9,105.17,2.57,13.15,0.32
06 Micah Roberts,11,"3,5,11,15,18,20,21,26,28,29,31",7,4,4,0,11,7,9,11,0,0,1,2,1,0,1,0,0,0,93.94,28.24,11.74,3.53,178.7,114.13,16.25,10.38
17 Rachel Barr,6,"6,11,16,21,33,36",2,4,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,14.49,5.15,14.49,5.15
07 Mary Cowart,6,"9,11,16,21,27,35",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23 Breanna Snipes,6,"6,13,21,27,33,36",2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26 Leah Shorb,6,"6,9,18,24,27,35",1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11 Jamie Ferrie,4,"6,11,16,35",0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
04 Ashley West,4,"3,7,9,34",2,2,1,0,4,1,4,4,0,1,0,0,0,0,0,0,0,0,41.91,23.16,10.48,5.79,35.79,1.35,8.95,0.34
19 Bethany Bailey,3,"9,13,33",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
