Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2024-04-29 19:02:00,1,0,0,1,0,1,5,1,1,0,0,0,,,
2024-04-29 19:08:57,2,0,1,1,1,4,10,3,3,0,2,1,08 Grace Robinson,72 Grace Castro,22 Rebecca Henley
2024-04-29 19:14:28,3,1,1,0,0,2,4,2,2,0,1,1,,,
2024-04-29 19:19:14,4,1,2,1,0,2,18,2,2,0,0,1,,,
2024-04-29 19:23:33,5,1,3,1,1,1,8,0,0,0,0,0,06 Micah Roberts,12 Meaghan Creamer,20 Noel Holmes
2024-04-29 19:26:46,6,2,3,0,0,1,2,1,1,0,0,1,,,
2024-04-29 19:29:40,7,2,4,1,0,1,1,0,0,0,0,0,,,
2024-04-29 19:32:38,8,2,5,1,1,3,25,2,1,1,0,2,24 Mia Letterie,10 Tori Taylor,22 Rebecca Henley
2024-04-29 19:41:09,9,3,5,0,0,0,0,0,0,0,0,0,,,
2024-04-29 19:43:51,10,3,6,1,1,1,5,0,0,0,0,0,27 Katharine Gilbert,10 Tori Taylor,08 Grace Robinson
2024-04-29 19:49:21,11,4,6,0,0,0,0,0,0,0,0,0,,,
2024-04-29 19:51:48,12,4,7,1,1,1,10,0,0,0,0,0,10 Tori Taylor,22 Rebecca Henley,27 Katharine Gilbert
2024-04-29 19:54:30,13,5,7,0,0,2,4,2,2,0,1,1,,,
2024-04-29 19:59:04,14,5,8,1,0,2,18,2,2,0,0,1,,,
2024-04-29 20:04:28,15,5,9,1,1,2,4,1,1,0,0,1,,45 Sylvia Brown,25 Nadine Rowen
2024-04-29 20:06:29,16,6,9,0,0,0,0,0,0,0,0,0,,,
2024-04-29 20:07:49,17,6,10,1,0,2,6,2,2,0,0,1,,,
2024-04-29 20:12:02,18,6,11,1,0,1,3,1,0,1,0,0,,,
2024-04-29 20:15:38,19,6,12,1,0,1,6,1,0,1,0,0,,,
2024-04-29 22:34:26,20,6,13,1,1,1,11,0,0,0,0,0,45 Sylvia Brown,25 Nadine Rowen,06 Micah Roberts
2024-04-29 22:38:38,21,7,13,0,0,0,0,0,0,0,0,0,,,
2024-04-29 22:40:40,22,7,14,1,1,2,24,1,0,1,0,1,45 Sylvia Brown,10 Tori Taylor,72 Grace Castro
2024-04-29 22:45:04,23,8,14,0,1,2,9,1,0,1,1,1,27 Katharine Gilbert,10 Tori Taylor,45 Sylvia Brown
2024-04-29 22:51:41,24,9,14,0,0,0,0,0,0,0,0,0,,,
2024-04-29 22:52:56,25,9,15,1,0,2,3,2,2,0,0,1,,,
2024-04-29 22:57:04,26,9,16,1,1,1,9,0,0,0,0,0,20 Noel Holmes,24 Mia Letterie,06 Micah Roberts
2024-04-29 23:00:30,27,10,16,0,0,0,0,0,0,0,0,0,,,
2024-04-29 23:02:29,28,10,17,1,0,1,13,1,1,0,0,0,,,
2024-04-29 23:14:12,29,10,18,0,0,1,1,1,0,1,0,1,,,
2024-04-29 23:16:31,30,10,19,1,0,3,16,3,3,0,1,1,,,
2024-04-29 23:22:51,31,10,20,1,0,2,5,2,1,1,0,1,,,
2024-04-29 23:55:55,32,10,21,1,0,1,8,1,1,0,0,0,,,
2024-04-29 23:58:16,33,10,22,1,0,1,10,1,1,0,0,0,,,
2024-04-30 00:02:40,34,10,23,1,1,1,13,0,0,0,0,0,08 Grace Robinson,04 Ashley West,10 Tori Taylor
2024-04-30 00:05:57,35,11,23,0,0,0,0,0,0,0,0,0,,,
2024-04-30 00:07:21,36,11,24,1,0,1,3,1,1,0,0,0,,,
2024-04-30 00:08:57,37,11,25,1,0,2,13,2,2,0,1,1,,,
