Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2024-04-29 19:07:36,1,1,1,0,0.55833334,0.6518519,08 Grace Robinson,5,,,,27 Katharine Gilbert,,
2024-04-29 19:10:08,2,1,1,0,0.65416664,0.69876546,24 Mia Letterie,2,,,,27 Katharine Gilbert,,
2024-04-29 19:11:46,2,2,1,0,0.7430555,0.71358025,27 Katharine Gilbert,4,,,,72 Grace Castro,,
2024-04-29 19:13:26,2,3,1,0,0.7430555,0.44074073,27 Katharine Gilbert,1,,,,27 Katharine Gilbert,,
2024-04-29 19:14:04,2,4,1,1,0.6732026,0.56885535,10 Tori Taylor,3,08 Grace Robinson,72 Grace Castro,22 Rebecca Henley,,,
2024-04-29 19:17:04,3,1,0,0,0.8567252,0.29044834,20 Noel Holmes,3,,,,20 Noel Holmes,,
2024-04-29 19:18:28,3,2,0,0,0.36944446,0.30555558,45 Sylvia Brown,1,,,,45 Sylvia Brown,,
2024-04-29 19:19:55,4,1,1,0,0.48888886,0.80123454,08 Grace Robinson,14,,,,24 Mia Letterie,,
2024-04-29 19:22:35,4,2,1,0,0.026388867,0.70864195,27 Katharine Gilbert,4,,,,77 Melissa Gronske,,
2024-04-29 19:25:37,5,1,1,1,0.45416668,0.69506174,27 Katharine Gilbert,8,06 Micah Roberts,12 Meaghan Creamer,20 Noel Holmes,,,
2024-04-29 19:28:48,6,1,0,0,0.105555534,0.73209876,24 Mia Letterie,2,,,,20 Noel Holmes,,
2024-04-29 19:31:23,7,1,1,0,0.42361113,0.567284,27 Katharine Gilbert,1,,,,,,72 Grace Castro
2024-04-29 19:34:06,8,1,1,0,0.29305553,0.72962964,20 Noel Holmes,8,,,,,82 Mary Turner,
2024-04-29 19:35:53,8,2,1,0,0.0347222,0.7907407,45 Sylvia Brown,9,,,,45 Sylvia Brown,,
2024-04-29 19:39:54,8,3,1,1,0.96666664,0.63271606,27 Katharine Gilbert,8,24 Mia Letterie,10 Tori Taylor,22 Rebecca Henley,,,
2024-04-29 19:48:28,10,1,1,1,0.877551,0.7168784,08 Grace Robinson,5,27 Katharine Gilbert,10 Tori Taylor,08 Grace Robinson,,,
2024-04-29 19:52:37,12,1,1,1,0.15374145,0.7428917,08 Grace Robinson,10,10 Tori Taylor,22 Rebecca Henley,27 Katharine Gilbert,,,
2024-04-29 19:56:47,13,1,0,0,0.8013606,0.57773745,45 Sylvia Brown,2,,,,25 Nadine Rowen,,
2024-04-29 19:57:59,13,2,0,0,0.0517007,0.71022385,45 Sylvia Brown,2,,,,82 Mary Turner,,
2024-04-29 19:59:45,14,1,1,0,0.785034,0.7150635,08 Grace Robinson,16,,,,10 Tori Taylor,,
2024-04-29 20:03:42,14,2,1,0,0.775,0.8333333,08 Grace Robinson,2,,,,27 Katharine Gilbert,,
2024-04-29 20:05:16,15,1,1,0,0.50555557,0.57098764,45 Sylvia Brown,3,,,,45 Sylvia Brown,,
2024-04-29 20:06:15,15,2,1,1,0.22361113,0.18950619,45 Sylvia Brown,1,,45 Sylvia Brown,25 Nadine Rowen,,,
2024-04-29 20:09:18,17,1,1,0,0.46388894,0.55,27 Katharine Gilbert,5,,,,10 Tori Taylor,,
2024-04-29 20:11:12,17,2,1,0,0.47222227,0.8438272,27 Katharine Gilbert,1,,,,27 Katharine Gilbert,,
2024-04-29 20:13:44,18,1,1,0,0.44166666,0.80493826,27 Katharine Gilbert,3,,,,,12 Meaghan Creamer,
2024-04-29 22:32:09,19,1,1,0,0.45277774,0.7993827,08 Grace Robinson,6,,,,,10 Tori Taylor,
2024-04-29 22:36:34,20,1,1,1,0.5180556,0.65123457,08 Grace Robinson,11,45 Sylvia Brown,25 Nadine Rowen,06 Micah Roberts,,,
2024-04-29 22:41:23,22,1,1,0,0.4777778,0.63950616,08 Grace Robinson,15,,,,,77 Melissa Gronske,
2024-04-29 22:43:50,22,2,1,1,0.5694445,0.80617285,08 Grace Robinson,9,45 Sylvia Brown,10 Tori Taylor,72 Grace Castro,,,
2024-04-29 22:47:33,23,1,0,0,0.4875,0.45493826,24 Mia Letterie,1,,,,,11 Jamie Ferrie,
2024-04-29 22:48:10,23,2,0,1,0.9597222,0.6648148,24 Mia Letterie,8,27 Katharine Gilbert,10 Tori Taylor,45 Sylvia Brown,,,
2024-04-29 22:54:36,25,1,1,0,0.5388889,0.7567901,08 Grace Robinson,2,,,,27 Katharine Gilbert,,
2024-04-29 22:56:36,25,2,1,0,0.97083336,0.83518517,27 Katharine Gilbert,1,,,,27 Katharine Gilbert,,
2024-04-29 22:58:43,26,1,1,1,0.5208333,0.6277778,24 Mia Letterie,9,20 Noel Holmes,24 Mia Letterie,06 Micah Roberts,,,
2024-04-29 23:03:57,28,1,1,0,0.71944445,0.5833334,27 Katharine Gilbert,13,,,,24 Mia Letterie,,
2024-04-29 23:16:13,29,1,0,0,0.027777735,0.73209876,24 Mia Letterie,1,,,,,06 Micah Roberts,
2024-04-29 23:17:17,30,1,1,0,0.32083333,0.67592597,45 Sylvia Brown,7,,,,08 Grace Robinson,,
2024-04-29 23:19:12,30,2,1,0,0.46388894,0.87222224,45 Sylvia Brown,7,,,,45 Sylvia Brown,,
2024-04-29 23:21:47,30,3,1,0,0.24444446,0.85123456,08 Grace Robinson,2,,,,45 Sylvia Brown,,
2024-04-29 23:54:02,31,1,1,0,0.09305553,0.767284,08 Grace Robinson,4,,,,,25 Nadine Rowen,
2024-04-29 23:55:20,31,2,1,0,0.9847222,0.7080247,08 Grace Robinson,1,,,,08 Grace Robinson,,
2024-04-29 23:56:32,32,1,1,0,0.65416664,0.6179012,24 Mia Letterie,8,,,,45 Sylvia Brown,,
2024-04-30 00:00:05,33,1,1,0,0.24861106,0.7648148,24 Mia Letterie,10,,,,17 Rachel Barr,,
2024-04-30 00:03:32,34,1,1,1,0.33333334,0.6703704,08 Grace Robinson,13,08 Grace Robinson,04 Ashley West,10 Tori Taylor,,,
2024-04-30 00:08:10,36,1,1,0,0.48472226,0.4845679,27 Katharine Gilbert,3,,,,24 Mia Letterie,,
2024-04-30 00:09:38,37,1,1,0,0.5944444,0.7753086,45 Sylvia Brown,3,,,,45 Sylvia Brown,,
2024-04-30 00:10:52,37,2,1,0,0.92638886,0.74382716,45 Sylvia Brown,10,,,,08 Grace Robinson,,
