Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-04-29 17:06:36,1,20 Bridget Mizener,0,0,0,0,0.826049,0.52797204
2024-04-29 17:32:43,7,20 Bridget Mizener,0,0,1,0,0.85926574,0.46658897
2024-04-30 18:37:47,13,90 Qxhna Titcomb,0,0,0,0,0.10576923,0.24125874
2024-04-30 18:43:04,14,33 Erica Birdsong,1,0,0,0,0.5743007,0.83877236
2024-04-30 18:55:14,17,22 Julia Zwierzynski,1,0,0,0,0.5113636,0.85275835
2024-04-30 19:51:05,25,17 Emily Przykucki,0,0,0,0,0.18968531,0.17443667
2024-04-30 20:02:29,28,09 Jinny Riedel,0,0,0,0,0.8627622,0.73465425
2024-05-01 14:46:53,30,24 Hannah Boettcher,0,0,0,0,0.35227272,0.532634
2024-05-01 16:52:49,36,18 Sarah McKee,0,0,0,0,0.84003496,0.5722611
2024-05-01 16:55:57,37,20 Bridget Mizener,0,0,0,0,0.5008741,0.508547
