Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-04-29 17:07:13,1,1,20 Bridget Mizener,22 Julia Zwierzynski,0,0,0,0,0,1,0,0,0,1,1,10.501458,8.611134,-6.0107408,0.87674826,0.494561,1.0,0.4160839
2024-04-29 17:07:24,1,1,22 Julia Zwierzynski,09 Jinny Riedel,0,0,0,1,1,0,1,0,0,1,0,33.63414,32.568836,8.397987,1.0,0.4160839,0.8277972,0.11926962
2024-04-29 17:11:25,2,1,03 Grace Conerly,10 Paige Carver,0,0,0,0,0,0,0,0,0,1,0,17.016113,16.795969,-2.7282798,0.13723776,0.4246309,0.19318181,0.27156177
2024-04-29 17:11:34,2,1,10 Paige Carver,03 Grace Conerly,0,0,0,0,0,0,0,0,1,0,0,7.945546,-7.929062,0.5115524,0.19318181,0.27156177,0.1826923,0.34382284
2024-04-29 17:11:41,2,1,03 Grace Conerly,24 Hannah Boettcher,0,0,0,0,0,0,0,0,0,0,1,17.343395,15.005537,8.696392,0.1826923,0.34382284,0.0043706293,0.20707071
2024-04-29 17:11:57,2,1,24 Hannah Boettcher,10 Paige Carver,1,1,0,0,0,0,0,0,1,1,0,11.972709,-5.286042,-10.742602,0.0043706293,0.20707071,0.22465035,0.25524476
2024-04-29 17:14:49,2,2,03 Grace Conerly,10 Paige Carver,1,1,0,0,0,0,0,0,0,1,1,17.627796,16.540192,-6.096,0.0,0.7463092,0.125,0.5955711
2024-04-29 17:16:22,2,3,17 Emily Przykucki,03 Grace Conerly,0,0,0,0,0,0,0,1,0,1,0,22.77051,-3.154569,-22.550938,0.0,0.83799535,0.4624126,0.86674434
2024-04-29 17:16:43,2,3,03 Grace Conerly,24 Hannah Boettcher,1,1,0,0,0,0,1,0,0,0,0,43.226936,43.226177,0.25577655,0.4624126,0.86674434,0.45716783,0.47280496
2024-04-29 17:18:52,3,1,90 Qxhna Titcomb,13 Tyler Smith,1,1,0,0,0,0,0,1,0,1,0,17.956228,5.6270766,17.051748,0.8627622,0.66317016,0.5131119,0.6118881
2024-04-29 17:19:34,3,2,90 Qxhna Titcomb,12 Katie Backus Meilstrup,0,0,0,0,0,0,0,0,0,0,0,26.044275,18.330626,18.501148,0.5305944,0.8325563,0.15122378,0.6655012
2024-04-29 17:19:51,3,2,12 Katie Backus Meilstrup,90 Qxhna Titcomb,0,0,0,0,0,0,0,0,1,0,0,8.05097,-7.33225,-3.3250906,0.15122378,0.6655012,0.21940559,0.7323232
2024-04-29 17:19:56,3,2,90 Qxhna Titcomb,12 Katie Backus Meilstrup,1,1,0,0,0,0,0,0,0,0,0,10.839938,0.5115494,-10.827861,0.21940559,0.7323232,0.44143358,0.72766125
2024-04-29 17:21:23,3,3,13 Tyler Smith,90 Qxhna Titcomb,0,0,0,0,0,0,0,0,0,1,0,14.70466,7.33225,12.7461815,1.0,0.8092463,0.7386364,0.74242425
2024-04-29 17:21:34,3,3,90 Qxhna Titcomb,02 Claire Bidigaire-Curtis,0,0,0,0,0,0,0,0,0,0,1,17.061337,12.10674,-12.0214815,0.7386364,0.74242425,0.98513985,0.63209015
2024-04-29 17:21:42,3,3,02 Claire Bidigaire-Curtis,07 Allison Reilly,0,0,0,0,0,0,0,0,0,1,1,13.405226,13.385623,-0.7247,0.98513985,0.63209015,1.0,0.510101
2024-04-29 17:21:51,3,3,07 Allison Reilly,13 Tyler Smith,0,0,0,0,0,1,0,0,0,1,1,11.0788,9.804757,5.1581535,1.0,0.510101,0.8942308,0.4207459
2024-04-29 17:22:02,3,3,13 Tyler Smith,12 Katie Backus Meilstrup,0,0,0,1,1,0,1,0,0,1,0,41.868896,37.68436,18.245373,0.8942308,0.4207459,0.5201049,0.077311575
2024-04-29 17:25:34,4,1,20 Bridget Mizener,11 Dawn Culton,0,0,0,0,0,0,0,0,0,1,0,15.939338,13.385623,-8.653763,0.0,0.83022535,0.17744756,0.7082362
2024-04-29 17:25:42,4,1,11 Dawn Culton,88 Maddie Pletzke,1,1,0,0,0,0,1,0,0,0,0,37.27953,31.545736,-19.865288,0.17744756,0.7082362,0.5847902,0.4207459
2024-04-29 17:26:25,4,2,20 Bridget Mizener,11 Dawn Culton,0,0,0,1,1,0,0,0,0,1,0,26.618515,24.89555,-9.421091,0.0,0.33061382,0.19318181,0.103729606
2024-04-29 17:29:09,6,1,13 Tyler Smith,12 Katie Backus Meilstrup,0,0,0,0,0,0,0,0,0,0,1,22.420944,12.788815,-18.415888,0.60227275,0.5644911,0.9798951,0.44794095
2024-04-29 17:29:18,6,1,12 Katie Backus Meilstrup,06 Jenny Wei,0,0,0,0,0,0,0,0,0,1,1,9.392402,9.378461,-0.5115531,0.9798951,0.44794095,0.99038464,0.36247087
2024-04-29 17:29:30,6,1,06 Jenny Wei,13 Tyler Smith,1,1,0,0,0,0,0,0,0,1,1,8.984993,8.9521675,0.7673311,0.99038464,0.36247087,0.9746503,0.2808858
2024-04-29 17:30:05,6,2,27 Mary Rippe,07 Allison Reilly,0,0,0,0,0,0,0,0,1,0,0,8.138974,-5.797595,5.7123375,0.74038464,0.3803419,0.62325174,0.43317795
2024-04-29 17:30:10,6,2,07 Allison Reilly,12 Katie Backus Meilstrup,0,0,0,0,0,0,0,0,0,0,0,26.027529,13.215108,22.42305,0.62325174,0.43317795,0.16346154,0.3127428
2024-04-29 17:30:16,6,2,12 Katie Backus Meilstrup,07 Allison Reilly,0,0,0,0,0,0,0,0,1,0,0,9.3275585,-7.502772,-5.541819,0.16346154,0.3127428,0.2770979,0.3811189
2024-04-29 17:30:39,6,2,07 Allison Reilly,13 Tyler Smith,0,0,0,0,0,0,0,0,0,0,0,12.656546,7.332253,-10.316308,0.2770979,0.3811189,0.48863637,0.3142968
2024-04-29 17:30:43,6,2,13 Tyler Smith,90 Qxhna Titcomb,0,0,0,0,0,0,0,0,0,0,0,14.926368,8.611132,-12.192,0.48863637,0.3142968,0.7386364,0.23581974
2024-04-29 17:30:49,6,2,90 Qxhna Titcomb,13 Tyler Smith,0,0,0,0,0,1,0,0,0,0,1,8.904949,4.5187135,-7.673288,0.7386364,0.23581974,0.89597905,0.1946387
2024-04-29 17:30:53,6,2,13 Tyler Smith,90 Qxhna Titcomb,0,0,0,1,1,0,0,0,0,1,1,8.834468,8.184839,-3.3250906,0.89597905,0.1946387,0.96416086,0.12004662
2024-04-29 17:32:58,7,1,59 Audrey Lyman,20 Bridget Mizener,0,0,0,0,0,1,0,0,0,1,1,23.120096,21.996754,-7.1191063,0.85402095,0.495338,1.0,0.2948718
2024-04-29 17:33:04,7,1,20 Bridget Mizener,18 Sarah McKee,0,0,0,1,1,0,0,0,0,1,1,19.020775,19.0127,0.5541813,1.0,0.2948718,0.9886364,0.12160062
2024-04-29 17:34:35,8,1,03 Grace Conerly,25 Meg Manning,1,1,0,0,0,0,1,0,0,0,0,34.20406,34.188755,1.0231062,0.81555945,0.55361307,0.7945804,0.24203575
2024-04-29 17:36:06,8,2,03 Grace Conerly,17 Emily Przykucki,0,0,0,0,0,0,0,0,1,1,0,7.6224337,-6.1386256,-4.5187135,0.058566432,0.6748252,0.15122378,0.7307692
2024-04-29 17:36:22,8,2,17 Emily Przykucki,03 Grace Conerly,0,0,0,0,0,0,0,0,0,0,0,6.9054303,2.3872416,-6.4796643,0.15122378,0.7307692,0.2840909,0.7090132
2024-04-29 17:36:31,8,2,03 Grace Conerly,16 Tania Proksch,0,0,0,0,0,0,0,0,0,0,1,17.16752,14.323469,9.46372,0.2840909,0.7090132,0.09003496,0.5784771
2024-04-29 17:36:38,8,2,16 Tania Proksch,99 Carmen Tormey,1,1,0,0,0,0,0,0,0,1,1,16.472816,16.454935,0.76732856,0.09003496,0.5784771,0.0743007,0.42851594
2024-04-30 14:33:31,9,1,13 Tyler Smith,90 Qxhna Titcomb,0,0,0,0,0,0,0,0,0,1,0,13.221981,3.6661315,12.703553,0.9449301,0.6421912,0.68444055,0.6087801
2024-04-30 14:33:43,9,1,90 Qxhna Titcomb,13 Tyler Smith,0,0,0,0,0,0,0,0,1,0,0,6.93537,-5.0302677,4.774491,0.68444055,0.6087801,0.58653843,0.65462315
2024-04-30 14:33:49,9,1,13 Tyler Smith,45 Caitlin Gross,0,0,0,0,0,0,0,0,0,0,0,21.036116,8.440615,19.268476,0.58653843,0.65462315,0.19143356,0.5777001
2024-04-30 14:33:57,9,1,45 Caitlin Gross,02 Claire Bidigaire-Curtis,0,0,0,0,0,0,0,0,0,0,0,17.400303,17.392782,0.5115524,0.19143356,0.5777001,0.18094406,0.41919193
2024-04-30 14:34:08,9,1,02 Claire Bidigaire-Curtis,12 Katie Backus Meilstrup,0,0,0,0,0,1,0,0,0,0,1,20.252316,20.121063,2.301986,0.18094406,0.41919193,0.13374126,0.23581974
2024-04-30 14:34:16,9,1,12 Katie Backus Meilstrup,27 Mary Rippe,0,0,0,1,1,0,0,0,0,1,1,14.300104,14.15295,2.0462098,0.13374126,0.23581974,0.09178322,0.10683761
2024-04-30 14:38:13,11,1,07 Allison Reilly,13 Tyler Smith,0,0,0,0,0,0,0,0,0,0,0,16.288658,16.028643,-2.898797,0.38723776,0.7773893,0.4466783,0.63131315
2024-04-30 14:38:23,11,1,13 Tyler Smith,45 Caitlin Gross,0,0,0,0,0,0,0,0,0,0,1,20.679243,14.749763,14.493985,0.4466783,0.63131315,0.14947553,0.496892
2024-04-30 14:38:30,11,1,45 Caitlin Gross,06 Jenny Wei,0,0,0,0,0,0,0,0,0,1,1,15.68483,15.346575,3.2398324,0.14947553,0.496892,0.08304196,0.35703185
2024-04-30 14:38:43,11,1,06 Jenny Wei,07 Allison Reilly,0,0,0,0,0,0,0,1,0,1,0,22.485691,-7.1617346,-21.314686,0.08304196,0.35703185,0.5201049,0.42229992
2024-04-30 14:38:52,11,1,07 Allison Reilly,90 Qxhna Titcomb,0,0,0,0,0,0,0,0,0,0,1,23.394009,11.339412,20.462097,0.5201049,0.42229992,0.10052448,0.31895882
2024-04-30 14:39:01,11,1,90 Qxhna Titcomb,07 Allison Reilly,0,0,0,0,0,0,0,0,0,1,1,11.117033,10.998377,1.6199161,0.10052448,0.31895882,0.067307696,0.21872573
2024-04-30 14:39:09,11,1,07 Allison Reilly,90 Qxhna Titcomb,0,0,0,0,0,0,0,1,0,1,0,17.33082,-3.9219012,-16.881231,0.067307696,0.21872573,0.41346154,0.25446776
2024-04-30 14:39:14,11,1,90 Qxhna Titcomb,13 Tyler Smith,0,0,0,0,0,1,0,1,0,0,0,17.980095,7.246992,-16.454937,0.41346154,0.25446776,0.7508741,0.1884227
2024-04-30 14:39:20,11,1,13 Tyler Smith,27 Mary Rippe,0,0,0,1,1,0,0,0,0,0,1,9.3773,7.1617346,-6.053372,0.7508741,0.1884227,0.875,0.123154625
2024-04-30 14:42:44,13,1,07 Allison Reilly,90 Qxhna Titcomb,0,0,0,0,0,0,0,0,0,1,0,19.23695,9.378461,16.795973,0.8505245,0.75796425,0.5061189,0.6724942
2024-04-30 14:42:54,13,1,90 Qxhna Titcomb,07 Allison Reilly,0,0,0,0,0,0,0,0,1,0,0,6.5820613,-5.286039,3.9219031,0.5061189,0.6724942,0.4256993,0.7206682
2024-04-30 14:42:59,13,1,07 Allison Reilly,13 Tyler Smith,0,0,0,0,0,0,0,0,0,0,1,17.263578,9.378461,14.493986,0.4256993,0.7206682,0.1284965,0.6351981
2024-04-30 14:43:06,13,1,13 Tyler Smith,45 Caitlin Gross,1,1,0,0,0,0,0,0,0,1,1,20.294441,20.291576,-0.34103516,0.1284965,0.6351981,0.13548951,0.45027196
2024-04-30 14:43:50,13,2,13 Tyler Smith,90 Qxhna Titcomb,0,0,0,0,0,0,0,0,0,0,0,5.8785257,1.9609449,-5.541819,0.7019231,0.7548562,0.81555945,0.73698527
2024-04-30 14:43:56,13,2,90 Qxhna Titcomb,27 Mary Rippe,0,0,0,0,0,0,0,0,0,0,1,13.40299,12.618296,-4.5187125,0.81555945,0.73698527,0.9082168,0.62198913
2024-04-30 14:44:01,13,2,27 Mary Rippe,02 Claire Bidigaire-Curtis,0,0,0,0,0,0,0,0,0,1,1,11.439294,11.168894,-2.4725032,0.9082168,0.62198913,0.95891607,0.52020204
2024-04-30 14:44:10,13,2,02 Claire Bidigaire-Curtis,06 Jenny Wei,0,0,0,0,0,0,0,0,0,1,1,8.440618,8.440618,0.0,0.95891607,0.52020204,0.95891607,0.44327894
2024-04-30 14:44:15,13,2,06 Jenny Wei,45 Caitlin Gross,0,0,0,0,0,0,0,0,0,1,1,10.069559,10.060532,-0.42629376,0.95891607,0.44327894,0.9676573,0.35159284
2024-04-30 14:44:40,13,2,45 Caitlin Gross,13 Tyler Smith,1,1,0,0,0,0,0,0,0,1,1,10.226072,10.145788,1.2788813,0.9676573,0.35159284,0.94143355,0.25912976
2024-04-30 18:38:20,13,3,13 Tyler Smith,06 Jenny Wei,0,0,0,0,0,0,0,1,0,1,0,20.581999,1.1936225,-20.547358,0.011363637,0.24125874,0.43269232,0.23038073
2024-04-30 18:38:26,13,3,06 Jenny Wei,07 Allison Reilly,0,0,0,0,0,0,0,0,1,0,0,11.339734,-1.9609514,-11.168896,0.43269232,0.23038073,0.6617133,0.24825175
2024-04-30 18:38:34,13,3,07 Allison Reilly,06 Jenny Wei,0,0,0,0,0,0,0,0,0,0,1,11.810105,3.5808673,-11.254153,0.6617133,0.24825175,0.8924825,0.21561772
2024-04-30 18:38:50,13,3,06 Jenny Wei,13 Tyler Smith,0,0,0,0,0,0,0,1,0,1,0,23.542841,-2.1314685,23.446156,0.8924825,0.21561772,0.41171327,0.23504274
2024-04-30 18:39:15,13,3,13 Tyler Smith,27 Mary Rippe,0,0,0,0,0,1,0,1,0,0,1,17.781301,7.3322515,16.19916,0.41171327,0.23504274,0.07954545,0.16822067
2024-04-30 18:39:18,13,3,27 Mary Rippe,45 Caitlin Gross,0,0,0,1,1,0,0,0,0,1,1,11.862,11.850965,0.5115524,0.07954545,0.16822067,0.069055945,0.06021756
2024-04-30 18:43:12,14,1,33 Erica Birdsong,59 Audrey Lyman,0,0,0,0,0,0,0,0,0,0,0,6.995893,0.25577798,-6.9912157,0.5743007,0.83877236,0.7176573,0.83644134
2024-04-30 18:43:27,14,1,59 Audrey Lyman,20 Bridget Mizener,0,0,0,0,0,0,0,0,0,0,0,11.003663,0.3410373,10.998377,0.7176573,0.83644134,0.49213287,0.8333333
2024-04-30 18:43:35,14,1,20 Bridget Mizener,22 Julia Zwierzynski,0,0,0,0,0,0,0,0,0,0,1,21.042849,12.788808,16.710712,0.49213287,0.8333333,0.14947553,0.7167832
2024-04-30 18:43:42,14,1,22 Julia Zwierzynski,33 Erica Birdsong,0,0,0,0,0,0,0,0,0,1,1,17.985348,16.71071,6.6501822,0.14947553,0.7167832,0.013111888,0.5644911
2024-04-30 18:43:57,14,1,33 Erica Birdsong,11 Dawn Culton,1,1,0,0,0,0,1,0,0,1,0,44.11512,43.3967,-7.929063,0.013111888,0.5644911,0.1756993,0.16899768
2024-04-30 18:45:37,14,2,20 Bridget Mizener,88 Maddie Pletzke,0,0,0,0,0,1,0,0,0,0,0,9.616491,9.293203,2.4725032,0.8417832,0.32362083,0.79108393,0.23892774
2024-04-30 18:45:51,14,2,88 Maddie Pletzke,20 Bridget Mizener,0,0,0,1,1,0,0,0,0,0,0,14.998997,14.9202795,-1.5346564,0.79108393,0.23892774,0.82255244,0.1029526
2024-04-30 18:48:03,15,1,03 Grace Conerly,17 Emily Przykucki,1,1,0,0,0,0,0,0,1,1,1,14.131941,-12.10674,7.2896223,1.0,0.6585082,0.8505245,0.7688423
2024-04-30 18:52:50,16,1,13 Tyler Smith,90 Qxhna Titcomb,0,0,0,0,0,0,0,0,0,0,0,5.798221,4.6892304,-3.41035,0.42744756,0.62276614,0.49737763,0.5800311
2024-04-30 18:53:05,16,1,90 Qxhna Titcomb,27 Mary Rippe,0,0,0,0,0,0,0,0,0,0,0,16.932396,10.998378,12.874071,0.49737763,0.5800311,0.23339161,0.479798
2024-04-30 18:53:15,16,1,27 Mary Rippe,12 Katie Backus Meilstrup,0,0,0,0,0,1,0,0,0,0,1,22.40943,21.399944,6.6501822,0.23339161,0.479798,0.09702797,0.2847708
2024-04-30 18:53:25,16,1,12 Katie Backus Meilstrup,02 Claire Bidigaire-Curtis,0,0,0,1,1,0,0,0,0,1,1,17.423683,17.051748,3.5808673,0.09702797,0.2847708,0.023601398,0.12937063
2024-04-30 18:55:34,17,1,20 Bridget Mizener,11 Dawn Culton,0,0,0,0,0,0,0,0,0,0,1,16.204767,7.2469907,-14.493985,0.5917832,0.83566433,0.888986,0.7696193
2024-04-30 18:55:42,17,1,11 Dawn Culton,33 Erica Birdsong,0,0,0,0,0,0,0,0,0,1,0,20.275454,19.183218,6.5649223,0.888986,0.7696193,0.7543706,0.5947941
2024-04-30 18:55:49,17,1,33 Erica Birdsong,20 Bridget Mizener,0,0,0,0,0,0,0,0,0,0,0,8.896372,1.8756921,8.696391,0.7543706,0.5947941,0.576049,0.5777001
2024-04-30 18:55:57,17,1,20 Bridget Mizener,18 Sarah McKee,0,0,0,0,0,0,1,0,0,0,1,34.231808,27.282795,-20.675245,0.576049,0.5777001,1.0,0.32905984
2024-04-30 18:56:12,17,1,18 Sarah McKee,88 Maddie Pletzke,0,0,0,0,0,0,0,0,0,1,1,18.29257,17.819077,4.1350503,1.0,0.32905984,0.9152098,0.16666667
2024-04-30 18:56:26,17,1,88 Maddie Pletzke,22 Julia Zwierzynski,1,1,0,1,0,0,0,0,0,1,0,13.196115,11.083636,7.1617346,0.9152098,0.16666667,0.7683566,0.065656565
2024-04-30 18:57:18,17,2,59 Audrey Lyman,20 Bridget Mizener,0,0,0,0,0,0,0,0,0,0,0,9.378463,0.0,-9.378463,0.40821677,0.6678322,0.6005245,0.6678322
2024-04-30 18:57:28,17,2,20 Bridget Mizener,88 Maddie Pletzke,0,0,0,0,0,0,0,0,0,0,1,18.761766,11.59519,-14.749763,0.6005245,0.6678322,0.90297204,0.5621601
2024-04-30 18:57:43,17,2,88 Maddie Pletzke,20 Bridget Mizener,0,0,0,0,0,0,0,0,1,1,0,7.3777137,-4.092415,6.1386313,0.90297204,0.5621601,0.7770979,0.5994561
2024-04-30 18:57:50,17,2,20 Bridget Mizener,11 Dawn Culton,0,0,0,0,0,0,0,1,0,0,0,18.946632,0.85258675,18.92744,0.7770979,0.5994561,0.38898602,0.59168607
2024-04-30 18:58:02,17,2,11 Dawn Culton,59 Audrey Lyman,0,0,0,0,0,1,0,0,0,0,0,14.77438,14.749759,-0.8525875,0.38898602,0.59168607,0.40646854,0.45726496
2024-04-30 18:58:18,17,2,59 Audrey Lyman,33 Erica Birdsong,0,0,0,1,1,0,1,0,0,0,0,35.9077,34.444534,-10.145789,0.40646854,0.45726496,0.6145105,0.14335664
2024-04-30 19:05:41,18,1,17 Emily Przykucki,13 Tyler Smith,0,0,0,0,0,0,0,1,0,1,0,15.600312,-2.5577602,-15.389204,0.0,0.475913,0.31555945,0.499223
2024-04-30 19:07:25,18,1,13 Tyler Smith,90 Qxhna Titcomb,0,0,0,0,0,0,0,0,0,0,0,9.562671,4.945005,-8.184839,0.31555945,0.499223,0.4833916,0.45415697
2024-04-30 19:07:36,18,1,90 Qxhna Titcomb,13 Tyler Smith,0,0,0,0,0,0,0,0,1,0,0,11.610536,-6.47966,9.634238,0.4833916,0.45415697,0.28583917,0.513209
2024-04-30 19:07:43,18,1,13 Tyler Smith,90 Qxhna Titcomb,0,0,0,0,0,0,0,1,0,0,0,23.237034,2.4725008,-23.105118,0.28583917,0.513209,0.75961536,0.490676
2024-04-30 19:07:53,18,1,90 Qxhna Titcomb,13 Tyler Smith,0,0,0,0,0,0,0,0,0,0,1,12.209875,6.394404,-10.401569,0.75961536,0.490676,0.9729021,0.43240094
2024-04-30 19:08:00,18,1,13 Tyler Smith,90 Qxhna Titcomb,0,0,0,0,0,0,0,0,0,1,0,13.589345,1.790436,13.470881,0.9729021,0.43240094,0.69667834,0.4160839
2024-04-30 19:08:08,18,1,90 Qxhna Titcomb,27 Mary Rippe,0,0,0,0,0,0,0,0,0,0,0,27.987864,12.277258,25.15133,0.69667834,0.4160839,0.18094406,0.3041958
2024-04-30 19:08:20,18,1,27 Mary Rippe,02 Claire Bidigaire-Curtis,1,1,0,0,0,0,0,0,0,0,0,10.6382265,9.548978,-4.6892314,0.18094406,0.3041958,0.2770979,0.21717171
2024-04-30 19:19:42,19,1,11 Dawn Culton,09 Jinny Riedel,0,0,0,0,0,0,0,0,0,0,0,8.10362,0.25577798,8.099582,0.4624126,0.509324,0.29632866,0.506993
2024-04-30 19:19:52,19,1,09 Jinny Riedel,11 Dawn Culton,0,0,0,0,0,0,0,0,0,0,0,9.405549,6.5649223,6.7354403,0.29632866,0.506993,0.15821679,0.44716394
2024-04-30 19:19:58,19,1,11 Dawn Culton,33 Erica Birdsong,0,0,0,0,0,0,0,0,0,0,1,7.8996716,4.5187116,6.479665,0.15821679,0.44716394,0.02534965,0.4059829
2024-04-30 19:20:04,19,1,33 Erica Birdsong,11 Dawn Culton,0,0,0,0,0,0,0,0,0,1,0,8.383151,-0.6820681,-8.355357,0.02534965,0.4059829,0.19667833,0.4121989
2024-04-30 19:28:56,19,1,11 Dawn Culton,03 Grace Conerly,0,0,0,0,0,0,0,0,1,0,0,7.0769887,-7.076475,0.0852586,0.19667833,0.4121989,0.19493008,0.47668996
2024-04-30 19:29:04,19,1,03 Grace Conerly,17 Emily Przykucki,0,0,0,0,0,1,0,0,0,0,1,16.325432,15.261312,5.797595,0.19493008,0.47668996,0.07604895,0.33760685
2024-04-30 19:29:10,19,1,17 Emily Przykucki,09 Jinny Riedel,0,0,0,1,1,0,0,0,0,1,1,25.107939,25.066069,1.4493985,0.07604895,0.33760685,0.04632867,0.10916861
2024-04-30 19:35:22,21,1,07 Allison Reilly,13 Tyler Smith,0,0,0,0,0,0,0,1,0,1,0,18.321905,4.2629404,-17.819078,0.14772727,0.6421912,0.5131119,0.6033411
2024-04-30 19:35:30,21,1,13 Tyler Smith,45 Caitlin Gross,0,0,0,0,0,0,0,0,0,0,1,23.055355,12.788811,-19.183216,0.5131119,0.6033411,0.9064685,0.48679098
2024-04-30 19:35:41,21,1,45 Caitlin Gross,07 Allison Reilly,0,0,0,0,0,0,0,1,0,1,0,30.176414,3.1545722,30.011076,0.9064685,0.48679098,0.2910839,0.45804197
2024-04-30 19:35:58,21,1,07 Allison Reilly,13 Tyler Smith,0,0,0,0,0,0,0,0,0,0,0,12.982027,12.95933,0.7673282,0.2910839,0.45804197,0.27534965,0.33993784
2024-04-30 19:36:06,21,1,13 Tyler Smith,02 Claire Bidigaire-Curtis,0,0,0,0,0,0,0,0,0,0,0,13.652584,1.6199142,-13.55614,0.27534965,0.33993784,0.55332166,0.32517484
2024-04-30 19:36:16,21,1,02 Claire Bidigaire-Curtis,06 Jenny Wei,0,0,0,0,0,0,0,1,0,0,1,18.259111,4.3481965,-17.73382,0.55332166,0.32517484,0.91695803,0.2855478
2024-04-30 19:36:28,21,1,06 Jenny Wei,07 Allison Reilly,0,0,0,0,0,0,0,0,0,1,1,9.433332,9.293203,-1.6199157,0.91695803,0.2855478,0.9501748,0.2008547
2024-04-30 19:36:37,21,1,07 Allison Reilly,13 Tyler Smith,0,0,0,0,0,0,0,1,0,1,0,15.460302,-2.4725025,15.261313,0.9501748,0.2008547,0.6372378,0.22338772
2024-04-30 19:36:42,21,1,13 Tyler Smith,90 Qxhna Titcomb,0,0,0,0,0,1,0,1,0,0,0,19.688866,4.433454,19.18322,0.6372378,0.22338772,0.24388112,0.18298368
2024-04-30 19:36:47,21,1,90 Qxhna Titcomb,45 Caitlin Gross,0,0,0,1,1,0,0,0,0,0,1,12.095929,9.207944,7.843805,0.24388112,0.18298368,0.08304196,0.0990676
2024-04-30 19:41:35,22,1,03 Grace Conerly,11 Dawn Culton,0,0,0,0,0,0,0,0,0,1,0,28.980446,28.817453,3.0693128,0.8645105,0.75019425,0.80157346,0.487568
2024-04-30 19:41:49,22,1,11 Dawn Culton,18 Sarah McKee,0,0,0,0,0,0,0,0,0,0,0,29.08073,28.050125,7.673288,0.80157346,0.487568,0.6442308,0.23193473
2024-04-30 19:41:56,22,1,18 Sarah McKee,22 Julia Zwierzynski,1,1,0,0,0,0,0,0,0,0,0,8.995909,2.3019855,8.696392,0.6442308,0.23193473,0.4659091,0.21095571
2024-04-30 19:43:45,23,1,13 Tyler Smith,90 Qxhna Titcomb,0,0,0,0,0,0,0,1,0,1,0,20.411236,4.6892304,19.865288,0.97814685,0.5870241,0.5708042,0.54428905
2024-04-30 19:43:58,23,1,90 Qxhna Titcomb,13 Tyler Smith,0,0,0,0,0,0,0,0,1,0,0,10.338831,-6.735441,7.8438034,0.5708042,0.54428905,0.40996504,0.6056721
2024-04-30 19:44:05,23,1,13 Tyler Smith,07 Allison Reilly,1,1,0,0,0,0,0,0,0,0,0,14.639947,12.021483,-8.355356,0.40996504,0.6056721,0.5812937,0.496115
2024-04-30 19:44:39,23,2,90 Qxhna Titcomb,07 Allison Reilly,0,0,0,0,0,0,0,0,0,0,1,19.111845,13.385623,13.641398,0.38374126,0.74397826,0.104020976,0.62198913
2024-04-30 19:44:47,23,2,07 Allison Reilly,45 Caitlin Gross,1,1,0,0,0,0,0,0,0,1,1,31.361921,30.948923,5.072895,0.104020976,0.62198913,0.0,0.33993784
2024-04-30 19:47:37,24,1,07 Allison Reilly,13 Tyler Smith,0,0,0,0,0,0,0,0,0,0,0,16.210152,15.517093,4.68923,0.5952797,0.7929293,0.49912587,0.6515151
2024-04-30 19:47:43,24,1,13 Tyler Smith,27 Mary Rippe,0,0,0,0,0,0,0,0,0,0,0,13.781622,1.9609514,13.641398,0.49912587,0.6515151,0.21940559,0.6336441
2024-04-30 19:47:50,24,1,27 Mary Rippe,12 Katie Backus Meilstrup,0,0,0,0,0,0,0,0,0,0,1,13.221977,11.168894,7.076475,0.21940559,0.6336441,0.0743007,0.531857
2024-04-30 19:47:59,24,1,12 Katie Backus Meilstrup,13 Tyler Smith,0,0,0,0,0,0,0,1,0,1,0,17.810917,3.8366404,-17.392784,0.0743007,0.531857,0.43094406,0.496892
2024-04-30 19:48:09,24,1,13 Tyler Smith,27 Mary Rippe,0,0,0,0,0,0,1,0,0,0,0,37.258755,34.103497,-15.00554,0.43094406,0.496892,0.7386364,0.18609169
2024-04-30 19:48:20,24,1,27 Mary Rippe,45 Caitlin Gross,0,0,0,0,0,1,0,0,0,0,0,13.68529,1.8756921,13.556141,0.7386364,0.18609169,0.46066433,0.16899768
2024-04-30 19:48:29,24,1,45 Caitlin Gross,90 Qxhna Titcomb,0,0,0,1,1,0,0,0,0,0,0,7.4741344,7.3322525,-1.4493985,0.46066433,0.16899768,0.4903846,0.1021756
