Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
59 Audrey Lyman,13,"1,4,7,8,10,14,17,20,23,26,30,32,34,37",1,12,0,7,10,6,9,8,2,2,1,1,0,0,0,0,0,0,173.44,101.37,19.27,11.26,90.02,39.47,11.25,4.93
90 Qxhna Titcomb,13,"3,6,9,11,13,16,18,21,24,27,28,29,35",11,2,11,0,27,14,25,23,4,1,3,2,3,3,0,1,0,0,326.96,152.95,14.86,6.95,291.00,76.48,12.65,3.33
20 Bridget Mizener,12,"1,4,7,10,14,17,20,23,26,30,32,34,37",1,11,0,7,21,8,20,11,10,3,2,1,1,1,0,2,1,0,303.18,184.76,16.84,10.26,129.03,31.80,11.73,2.89
13 Tyler Smith,13,"3,6,9,11,13,16,18,21,24,27,28,29,35",11,2,11,0,34,14,34,25,9,4,2,0,2,2,0,0,0,0,536.80,237.10,16.78,7.41,335.97,57.21,13.44,2.29
11 Dawn Culton,12,"1,4,7,8,14,17,19,22,25,31,33,36",0,12,0,10,16,8,14,15,1,1,2,2,1,1,0,0,0,0,147.77,82.62,12.31,6.88,247.40,164.12,16.49,10.94
24 Hannah Boettcher,11,"2,5,8,12,15,20,23,26,30,32,34,37",1,10,0,2,6,3,6,5,1,0,2,0,2,2,0,1,0,0,53.61,30.52,13.40,7.63,81.99,67.27,16.40,13.45
06 Jenny Wei,12,"3,6,11,13,16,18,21,24,27,28,29,35",10,2,10,0,9,6,8,9,0,0,0,1,1,1,0,0,0,0,96.46,21.06,13.78,3.01,126.11,74.69,14.01,8.30
33 Erica Birdsong,11,"1,4,10,14,17,19,22,25,31,33,36",0,11,0,9,7,5,6,6,1,1,0,1,1,1,0,1,0,0,50.00,5.12,10.00,1.02,110.73,90.20,18.45,15.03
17 Emily Przykucki,11,"2,5,8,12,15,19,22,25,31,33,36",0,11,0,5,11,7,10,6,5,2,0,1,0,0,0,1,0,0,131.87,48.68,14.65,5.41,65.02,14.66,10.84,2.44
18 Sarah McKee,11,"1,4,7,8,10,14,17,22,25,31,36",0,11,0,8,5,5,3,5,0,0,0,2,3,1,2,1,0,0,47.88,47.40,23.94,23.70,103.88,94.30,20.78,18.86
27 Mary Rippe,11,"6,9,11,13,16,18,24,27,28,29,35",9,2,9,0,18,11,15,17,1,1,3,3,2,2,0,0,0,0,151.69,74.26,11.67,5.71,292.15,199.08,17.19,11.71
07 Allison Reilly,11,"3,6,9,11,13,16,21,24,27,29,35",11,0,11,0,18,9,18,12,6,0,2,0,1,1,0,0,0,0,275.69,140.17,16.22,8.25,165.39,15.18,13.78,1.26
02 Claire Bidigaire-Curtis,11,"3,6,9,13,16,18,21,27,28,29,35",9,2,9,0,10,9,9,10,0,1,1,1,0,0,0,0,0,0,131.51,79.63,14.61,8.85,157.56,86.79,15.76,8.68
03 Grace Conerly,11,"2,5,12,15,19,22,25,30,31,33,36",0,11,0,6,18,9,18,10,8,1,2,0,4,4,0,0,0,0,203.47,131.64,14.53,9.40,124.96,6.74,12.50,0.67
25 Meg Manning,10,"2,5,8,12,15,20,23,26,32,34,37",1,9,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0.00,0.00,0.00,0.00,24.14,24.13,24.14,24.13
09 Jinny Riedel,10,"1,4,7,10,19,22,25,31,33,36",0,10,0,8,7,5,4,6,1,0,1,3,0,0,0,1,0,0,65.50,13.90,16.38,3.47,94.91,60.70,15.82,10.12
12 Katie Backus Meilstrup,10,"3,6,9,11,16,18,21,24,28,29",8,2,8,0,13,7,11,13,0,2,0,2,0,0,0,0,0,0,122.13,26.86,11.10,2.44,245.22,181.26,18.86,13.94
45 Caitlin Gross,10,"3,9,11,13,18,21,24,27,28,35",8,2,8,0,9,7,7,9,0,2,0,2,1,1,0,0,0,0,90.86,49.71,15.14,8.28,134.30,88.50,14.92,9.83
88 Maddie Pletzke,10,"4,7,8,10,14,17,19,25,31,33",0,10,0,8,5,3,5,5,0,1,0,0,1,1,0,0,0,0,48.15,13.47,12.04,3.37,84.14,34.10,16.83,6.82
10 Paige Carver,8,"2,5,12,15,20,26,30,32,37",0,8,0,2,3,3,2,3,0,0,0,1,0,0,0,0,0,0,18.39,-8.87,9.19,-4.43,49.62,39.73,16.54,13.24
22 Julia Zwierzynski,9,"1,7,10,14,17,19,22,33,36",0,9,0,7,2,2,2,2,0,1,0,0,0,0,0,1,0,0,51.62,49.28,25.81,24.64,31.54,21.40,15.77,10.70
16 Tania Proksch,8,"2,12,15,20,23,30,32,34,37",1,7,0,2,2,2,2,2,0,0,0,0,1,1,0,0,0,0,16.05,15.94,16.05,15.94,35.78,22.51,17.89,11.25
99 Carmen Tormey,7,"5,12,20,23,26,30,34,37",1,6,0,1,4,1,4,4,0,0,0,0,1,0,1,0,0,0,56.24,43.31,14.06,10.83,78.42,50.56,19.60,12.64
15 Justine Neville,7,"2,5,15,23,26,32,34",1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
