Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2024-04-29 17:01:49,1,0,0,0,1,1,2,0,0,0,1,0,20 Bridget Mizener,22 Julia Zwierzynski,09 Jinny Riedel
2024-04-29 17:07:25,2,1,0,0,0,3,7,3,3,0,0,3,,,
2024-04-29 17:16:57,3,1,1,1,1,3,9,2,2,0,0,2,07 Allison Reilly,13 Tyler Smith,12 Katie Backus Meilstrup
2024-04-29 17:22:08,4,2,1,0,1,2,3,1,1,0,0,2,,20 Bridget Mizener,11 Dawn Culton
2024-04-29 17:26:27,5,3,1,0,0,0,0,0,0,0,0,0,,,
2024-04-29 17:28:11,6,3,2,1,1,2,10,1,1,0,0,1,90 Qxhna Titcomb,13 Tyler Smith,90 Qxhna Titcomb
2024-04-29 17:30:54,7,4,2,0,1,1,2,0,0,0,1,0,59 Audrey Lyman,20 Bridget Mizener,18 Sarah McKee
2024-04-29 17:33:06,8,5,2,0,0,2,5,2,2,0,0,2,,,
2024-04-29 17:38:50,9,5,3,1,1,1,6,0,0,0,0,0,02 Claire Bidigaire-Curtis,12 Katie Backus Meilstrup,27 Mary Rippe
2024-04-30 14:34:18,10,6,3,0,0,0,0,0,0,0,0,0,,,
2024-04-30 14:35:46,11,6,4,1,1,1,9,0,0,0,0,0,90 Qxhna Titcomb,13 Tyler Smith,27 Mary Rippe
2024-04-30 14:39:22,12,7,4,0,0,0,0,0,0,0,0,0,,,
2024-04-30 14:40:27,13,7,5,1,1,3,16,2,2,0,1,1,13 Tyler Smith,27 Mary Rippe,45 Caitlin Gross
2024-04-30 18:39:20,14,8,5,0,1,2,7,1,1,0,1,1,20 Bridget Mizener,88 Maddie Pletzke,20 Bridget Mizener
2024-04-30 18:45:53,15,9,5,0,0,1,1,1,1,0,0,1,,,
2024-04-30 18:50:35,16,9,6,1,1,1,4,0,0,0,0,0,27 Mary Rippe,12 Katie Backus Meilstrup,02 Claire Bidigaire-Curtis
2024-04-30 18:53:28,17,10,6,0,1,2,12,1,1,0,1,1,11 Dawn Culton,59 Audrey Lyman,33 Erica Birdsong
2024-04-30 18:58:19,18,11,6,0,0,1,8,1,1,0,0,1,,,
2024-04-30 19:08:58,19,11,7,0,1,1,7,0,0,0,0,1,03 Grace Conerly,17 Emily Przykucki,09 Jinny Riedel
2024-04-30 19:29:11,20,12,7,0,0,0,0,0,0,0,0,0,,,
2024-04-30 19:32:56,21,12,8,1,1,1,10,0,0,0,0,0,13 Tyler Smith,90 Qxhna Titcomb,45 Caitlin Gross
2024-04-30 19:36:49,22,13,8,0,0,1,3,1,1,0,0,1,,,
2024-04-30 19:42:30,23,13,9,1,0,2,5,2,2,0,0,1,,,
2024-04-30 19:46:19,24,13,10,1,1,1,7,0,0,0,0,0,27 Mary Rippe,45 Caitlin Gross,90 Qxhna Titcomb
2024-04-30 19:48:30,25,14,10,0,1,2,10,1,0,1,1,1,,17 Emily Przykucki,09 Jinny Riedel
2024-04-30 19:51:38,26,15,10,0,0,0,0,0,0,0,0,0,,,
2024-04-30 19:57:48,27,15,11,1,1,1,11,0,0,0,0,0,07 Allison Reilly,02 Claire Bidigaire-Curtis,06 Jenny Wei
2024-04-30 20:00:10,28,16,11,0,0,1,14,1,1,0,1,0,,,
2024-04-30 20:09:47,29,16,12,1,1,2,12,1,1,0,0,1,27 Mary Rippe,13 Tyler Smith,12 Katie Backus Meilstrup
2024-05-01 14:29:40,30,17,12,0,1,3,17,2,2,0,1,2,24 Hannah Boettcher,20 Bridget Mizener,59 Audrey Lyman
2024-05-01 14:47:49,31,18,12,0,1,2,10,1,0,1,0,2,03 Grace Conerly,11 Dawn Culton,18 Sarah McKee
2024-05-01 15:07:29,32,19,12,0,1,1,5,0,0,0,0,1,24 Hannah Boettcher,59 Audrey Lyman,10 Paige Carver
2024-05-01 16:42:39,33,20,12,0,1,1,4,0,0,0,0,1,09 Jinny Riedel,03 Grace Conerly,11 Dawn Culton
2024-05-01 16:48:11,34,21,12,0,0,0,0,0,0,0,0,0,,,
2024-05-01 16:49:07,35,21,13,1,1,1,7,0,0,0,0,0,90 Qxhna Titcomb,45 Caitlin Gross,27 Mary Rippe
2024-05-01 16:51:32,36,22,13,0,1,1,4,0,0,0,1,0,11 Dawn Culton,33 Erica Birdsong,17 Emily Przykucki
2024-05-01 16:53:53,37,23,13,0,0,2,6,2,1,1,1,1,,,
