Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2024-04-29 17:06:46,1,1,0,1,0.87674826,0.494561,20 Bridget Mizener,2,20 Bridget Mizener,22 Julia Zwierzynski,09 Jinny Riedel,,,
2024-04-29 17:11:13,2,1,0,0,0.13723776,0.4246309,03 Grace Conerly,4,,,,24 Hannah Boettcher,,
2024-04-29 17:13:31,2,2,0,0,0.0,0.7463092,03 Grace Conerly,1,,,,03 Grace Conerly,,
2024-04-29 17:16:02,2,3,0,0,0.0,0.83799535,17 Emily Przykucki,2,,,,03 Grace Conerly,,
2024-04-29 17:18:46,3,1,1,0,0.8627622,0.66317016,90 Qxhna Titcomb,1,,,,90 Qxhna Titcomb,,
2024-04-29 17:19:19,3,2,1,0,0.5305944,0.8325563,90 Qxhna Titcomb,3,,,,90 Qxhna Titcomb,,
2024-04-29 17:21:10,3,3,1,1,1.0,0.8092463,13 Tyler Smith,5,07 Allison Reilly,13 Tyler Smith,12 Katie Backus Meilstrup,,,
2024-04-29 17:25:22,4,1,0,0,0.0,0.83022535,20 Bridget Mizener,2,,,,11 Dawn Culton,,
2024-04-29 17:26:16,4,2,0,1,0.0,0.33061382,20 Bridget Mizener,1,,20 Bridget Mizener,11 Dawn Culton,,,
2024-04-29 17:29:03,6,1,1,0,0.60227275,0.5644911,13 Tyler Smith,3,,,,06 Jenny Wei,,
2024-04-29 17:29:59,6,2,1,1,0.74038464,0.3803419,27 Mary Rippe,7,90 Qxhna Titcomb,13 Tyler Smith,90 Qxhna Titcomb,,,
2024-04-29 17:32:50,7,1,0,1,0.85402095,0.495338,59 Audrey Lyman,2,59 Audrey Lyman,20 Bridget Mizener,18 Sarah McKee,,,
2024-04-29 17:34:25,8,1,0,0,0.81555945,0.55361307,03 Grace Conerly,1,,,,03 Grace Conerly,,
2024-04-29 17:35:47,8,2,0,0,0.058566432,0.6748252,03 Grace Conerly,4,,,,16 Tania Proksch,,
2024-04-30 14:33:25,9,1,1,1,0.9449301,0.6421912,13 Tyler Smith,6,02 Claire Bidigaire-Curtis,12 Katie Backus Meilstrup,27 Mary Rippe,,,
2024-04-30 14:38:08,11,1,1,1,0.38723776,0.7773893,07 Allison Reilly,9,90 Qxhna Titcomb,13 Tyler Smith,27 Mary Rippe,,,
2024-04-30 14:42:34,13,1,1,0,0.8505245,0.75796425,07 Allison Reilly,4,,,,13 Tyler Smith,,
2024-04-30 14:43:44,13,2,1,0,0.7019231,0.7548562,13 Tyler Smith,6,,,,45 Caitlin Gross,,
2024-04-30 18:38:09,13,3,1,1,0.011363637,0.24125874,13 Tyler Smith,6,13 Tyler Smith,27 Mary Rippe,45 Caitlin Gross,,,
2024-04-30 18:43:06,14,1,0,0,0.5743007,0.83877236,33 Erica Birdsong,5,,,,33 Erica Birdsong,,
2024-04-30 18:44:55,14,2,0,1,0.8417832,0.32362083,20 Bridget Mizener,2,20 Bridget Mizener,88 Maddie Pletzke,20 Bridget Mizener,,,
2024-04-30 18:47:52,15,1,0,0,1.0,0.6585082,03 Grace Conerly,1,,,,03 Grace Conerly,,
2024-04-30 18:52:49,16,1,1,1,0.42744756,0.62276614,13 Tyler Smith,4,27 Mary Rippe,12 Katie Backus Meilstrup,02 Claire Bidigaire-Curtis,,,
2024-04-30 18:55:27,17,1,0,0,0.5917832,0.83566433,20 Bridget Mizener,6,,,,88 Maddie Pletzke,,
2024-04-30 18:57:00,17,2,0,1,0.40821677,0.6678322,59 Audrey Lyman,6,11 Dawn Culton,59 Audrey Lyman,33 Erica Birdsong,,,
2024-04-30 19:04:24,18,1,0,0,0.0,0.475913,17 Emily Przykucki,8,,,,27 Mary Rippe,,
2024-04-30 19:19:39,19,1,0,1,0.4624126,0.509324,11 Dawn Culton,7,03 Grace Conerly,17 Emily Przykucki,09 Jinny Riedel,,,
2024-04-30 19:35:15,21,1,1,1,0.14772727,0.6421912,07 Allison Reilly,10,13 Tyler Smith,90 Qxhna Titcomb,45 Caitlin Gross,,,
2024-04-30 19:41:26,22,1,0,0,0.8645105,0.75019425,03 Grace Conerly,3,,,,18 Sarah McKee,,
2024-04-30 19:43:39,23,1,1,0,0.97814685,0.5870241,13 Tyler Smith,3,,,,13 Tyler Smith,,
2024-04-30 19:44:31,23,2,1,0,0.38374126,0.74397826,90 Qxhna Titcomb,2,,,,07 Allison Reilly,,
2024-04-30 19:47:31,24,1,1,1,0.5952797,0.7929293,07 Allison Reilly,7,27 Mary Rippe,45 Caitlin Gross,90 Qxhna Titcomb,,,
2024-04-30 19:49:18,25,1,0,0,0.11800699,0.24669775,09 Jinny Riedel,9,,,,,18 Sarah McKee,
2024-04-30 19:51:06,25,2,0,1,0.18968531,0.17443667,17 Emily Przykucki,1,,17 Emily Przykucki,09 Jinny Riedel,,,
2024-04-30 19:58:33,27,1,1,1,0.9117133,0.65617716,07 Allison Reilly,11,07 Allison Reilly,02 Claire Bidigaire-Curtis,06 Jenny Wei,,,
2024-04-30 20:06:27,28,1,0,0,0.868007,0.72610724,90 Qxhna Titcomb,14,,,,27 Mary Rippe,,
2024-05-01 14:26:21,29,1,1,0,0.5253497,0.524864,13 Tyler Smith,8,,,,90 Qxhna Titcomb,,
2024-05-01 14:29:09,29,2,1,1,0.55157346,0.39044288,13 Tyler Smith,4,27 Mary Rippe,13 Tyler Smith,12 Katie Backus Meilstrup,,,
2024-05-01 14:35:24,30,1,0,0,1.0,0.63209015,20 Bridget Mizener,4,,,,25 Meg Manning,,
2024-05-01 14:38:33,30,2,0,0,0.19493008,0.6903652,20 Bridget Mizener,7,,,,24 Hannah Boettcher,,
2024-05-01 14:46:55,30,3,0,1,0.35227272,0.532634,24 Hannah Boettcher,6,24 Hannah Boettcher,20 Bridget Mizener,59 Audrey Lyman,,,
2024-05-01 15:05:25,31,1,0,0,0.067307696,0.65306914,17 Emily Przykucki,1,,,,,18 Sarah McKee,
2024-05-01 15:05:59,31,2,0,1,0.17045455,0.48679098,03 Grace Conerly,9,03 Grace Conerly,11 Dawn Culton,18 Sarah McKee,,,
2024-05-01 15:09:16,32,1,0,1,0.27884614,0.5466201,20 Bridget Mizener,5,24 Hannah Boettcher,59 Audrey Lyman,10 Paige Carver,,,
2024-05-01 16:47:13,33,1,0,1,0.5935315,0.4059829,03 Grace Conerly,4,09 Jinny Riedel,03 Grace Conerly,11 Dawn Culton,,,
2024-05-01 16:50:02,35,1,1,1,0.9868881,0.54506606,07 Allison Reilly,7,90 Qxhna Titcomb,45 Caitlin Gross,27 Mary Rippe,,,
2024-05-01 16:53:09,36,1,0,1,0.83653843,0.59168607,17 Emily Przykucki,4,11 Dawn Culton,33 Erica Birdsong,17 Emily Przykucki,,,
2024-05-01 16:54:48,37,1,0,0,0.0,0.44560996,20 Bridget Mizener,1,,,,,99 Carmen Tormey,
2024-05-01 16:55:59,37,2,0,0,0.5008741,0.508547,20 Bridget Mizener,5,,,,20 Bridget Mizener,,
