Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-04-28 8:29:54,1,1,11 Rachel Johnson,55 Courtney Walbe,0,0,0,0,0,0,0,1,0,1,0,20.288933,-1.2191967,20.252268,0.9888889,0.70246917,0.57361114,0.71358025
2024-04-28 8:30:10,1,1,55 Courtney Walbe,09 Sara Helm,1,1,0,1,0,0,1,0,0,0,0,61.78958,61.63733,-4.3349333,0.57361114,0.71358025,0.6625,0.15185188
2024-04-28 8:33:44,2,1,03 Makella Daley,04 Erica Baken,0,0,0,0,0,0,0,1,0,0,0,17.70265,-7.3151994,-16.120537,0.16527773,0.56666666,0.49583334,0.6333333
2024-04-28 8:33:59,2,1,04 Erica Baken,07 Danielle Byers,0,0,0,0,0,0,0,0,0,0,0,20.651115,18.017067,-10.092265,0.49583334,0.6333333,0.70277774,0.4691358
2024-04-28 8:34:10,2,1,07 Danielle Byers,04 Erica Baken,0,0,0,0,0,0,0,0,1,0,0,11.057347,-11.04053,-0.6095994,0.70277774,0.4691358,0.71527773,0.56975305
2024-04-28 8:34:21,2,1,04 Erica Baken,45 Emery Otapalik,0,0,0,0,0,0,0,0,0,0,0,14.316589,8.127998,11.785601,0.71527773,0.56975305,0.47361106,0.495679
2024-04-28 8:34:29,2,1,45 Emery Otapalik,07 Danielle Byers,0,0,0,0,0,0,0,1,0,0,1,22.087713,7.9925323,20.590933,0.47361106,0.495679,0.051388867,0.4228395
2024-04-28 8:34:38,2,1,07 Danielle Byers,02 Steph Wood,1,1,0,1,0,0,0,0,0,1,0,36.3511,35.018135,-9.753601,0.051388867,0.4228395,0.25138888,0.103703685
2024-04-28 8:36:36,2,2,03 Makella Daley,02 Steph Wood,0,0,0,0,0,0,0,0,0,1,0,16.946333,14.223998,9.211735,0.86944443,0.84753084,0.6805555,0.71790123
2024-04-28 8:36:43,2,2,02 Steph Wood,07 Danielle Byers,0,0,0,0,0,0,0,0,0,0,0,14.656873,14.630399,-0.8805335,0.6805555,0.71790123,0.6986111,0.5845679
2024-04-28 8:36:47,2,2,07 Danielle Byers,03 Makella Daley,0,0,0,0,0,0,0,0,1,0,0,8.775061,-8.669866,1.3546644,0.6986111,0.5845679,0.67083335,0.66358024
2024-04-28 8:36:54,2,2,03 Makella Daley,04 Erica Baken,0,0,0,0,0,0,0,1,0,0,0,19.929953,1.8287982,19.84587,0.67083335,0.66358024,0.26388887,0.6469136
2024-04-28 8:37:01,2,2,04 Erica Baken,02 Steph Wood,0,0,0,0,0,0,0,0,0,0,1,20.171576,17.542934,9.9568,0.26388887,0.6469136,0.0597222,0.48703703
2024-04-28 8:37:14,2,2,02 Steph Wood,04 Erica Baken,0,0,0,0,0,0,0,0,0,1,1,12.536342,12.4629345,1.3546677,0.0597222,0.48703703,0.0319444,0.37345678
2024-04-28 8:37:26,2,2,04 Erica Baken,45 Emery Otapalik,0,0,0,0,0,0,0,0,0,1,1,9.800991,9.008532,-3.8608,0.0319444,0.37345678,0.11111107,0.29135802
2024-04-28 8:37:32,2,2,45 Emery Otapalik,05 Steph Rupp,1,1,0,1,0,0,0,0,0,1,1,20.88209,20.455467,4.199465,0.11111107,0.29135802,0.025,0.10493826
2024-04-28 8:38:50,2,3,04 Erica Baken,07 Danielle Byers,0,0,0,0,0,0,0,0,0,0,0,14.282743,6.976533,-12.462935,0.49027774,0.4185185,0.74583334,0.35493827
2024-04-28 8:38:57,2,3,07 Danielle Byers,04 Erica Baken,0,0,0,0,0,0,0,0,1,0,0,5.3936305,-5.350932,-0.6773308,0.74583334,0.35493827,0.7597222,0.4037037
2024-04-28 8:39:00,2,3,04 Erica Baken,07 Danielle Byers,0,0,0,0,0,0,0,1,0,0,0,15.873316,4.1994634,15.307732,0.7597222,0.4037037,0.44583333,0.3654321
2024-04-28 8:39:03,2,3,07 Danielle Byers,02 Steph Wood,0,0,0,0,0,0,0,0,0,0,0,11.54511,8.331202,7.9925356,0.44583333,0.3654321,0.2819444,0.28950617
2024-04-28 8:39:10,2,3,02 Steph Wood,53 Emma Piorier,0,0,0,0,0,1,0,0,0,0,0,12.220565,10.430934,6.366932,0.2819444,0.28950617,0.15138887,0.19444443
2024-04-28 8:39:18,2,3,53 Emma Piorier,45 Emery Otapalik,0,0,0,1,1,0,0,0,0,0,1,11.904505,10.634132,5.350932,0.15138887,0.19444443,0.041666668,0.09753086
2024-04-28 8:43:05,3,1,15 Chelsea Semper,44 Sarah Meckstroth,1,1,1,0,0,0,0,0,0,0,0,14.735698,9.279467,-11.446933,0.5013889,0.47962964,0.7361111,0.39506173
2024-04-28 8:46:15,4,1,03 Makella Daley,04 Erica Baken,0,0,0,0,0,0,0,0,0,0,1,12.131643,5.9605336,10.5664,0.36388886,0.7641975,0.1472222,0.70987654
2024-04-28 8:46:20,4,1,04 Erica Baken,02 Steph Wood,0,0,0,0,0,0,0,0,0,1,1,10.88675,9.9567995,4.402668,0.1472222,0.70987654,0.056944404,0.6191358
2024-04-28 8:46:30,4,1,02 Steph Wood,53 Emma Piorier,0,0,0,0,0,0,0,0,0,1,1,13.84215,13.546668,-2.8448,0.056944404,0.6191358,0.11527774,0.495679
2024-04-28 8:46:42,4,1,53 Emma Piorier,04 Erica Baken,1,1,0,0,0,0,0,0,0,1,0,24.388891,24.113066,-3.6576002,0.11527774,0.495679,0.19027774,0.2759259
2024-04-28 8:49:07,5,1,00 Alicia Carr,11 Rachel Johnson,0,0,0,0,0,0,0,0,0,1,1,8.652123,8.534403,1.4223987,1,0.70000005,0.97083336,0.62222224
2024-04-28 8:49:09,5,1,11 Rachel Johnson,02 Steph Wood,1,1,0,0,0,0,0,0,0,1,0,12.41591,8.398933,9.144,0.97083336,0.62222224,0.78333336,0.54567903
