Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
03 Makella Daley,15,"2,4,6,8,9,11,12,17,19,21,23,25,27,30,32,34",13,2,12,0,34,18,34,16,18,1,1,0,2,1,1,0,0,0,495.41,224.54,15.01,6.80,198.25,-21.20,12.39,-1.33
07 Danielle Byers,15,"2,4,6,8,9,11,12,17,19,21,23,25,27,30,32,34",13,2,12,0,18,11,15,18,0,0,0,3,5,4,1,0,0,0,119.72,-19.10,10.88,-1.74,363.47,266.73,20.19,14.82
04 Erica Baken,15,"2,4,6,8,9,11,12,17,19,21,23,25,27,30,32,34",13,2,12,0,47,17,47,39,8,5,1,0,1,1,0,1,0,0,682.41,405.45,15.51,9.21,506.91,79.72,13.00,2.04
02 Steph Wood,15,"2,4,5,8,10,12,13,17,19,21,23,25,27,30,32,34",14,1,12,0,15,10,15,15,0,1,5,0,0,0,0,0,0,0,193.51,130.18,12.90,8.68,225.35,150.50,15.02,10.03
05 Steph Rupp,15,"2,4,6,8,9,11,12,17,19,21,23,25,27,30,32,34",13,2,12,0,13,8,12,10,3,0,2,1,1,1,0,0,0,0,162.87,82.70,14.81,7.52,144.84,-0.88,14.48,-0.09
21 Sarah Mondschein,15,"1,5,7,10,12,13,14,15,18,20,24,28,29,31,33",5,10,3,1,5,5,4,4,1,1,0,1,3,2,1,0,0,0,42.91,31.36,21.45,15.68,53.76,32.38,13.44,8.09
53 Emma Piorier,14,"2,4,6,8,9,12,17,19,21,23,25,27,30,32,34",13,1,12,0,14,10,10,14,0,1,2,4,2,2,0,2,0,0,96.97,36.10,12.12,4.51,276.02,250.68,19.72,17.91
44 Sarah Meckstroth,13,"3,5,8,9,11,17,19,21,23,25,27,30,32,34",10,3,9,0,21,12,17,21,0,3,1,3,7,4,3,0,0,0,261.25,93.81,20.10,7.22,314.57,237.54,14.98,11.31
11 Rachel Johnson,13,"1,5,7,10,13,14,15,18,20,24,28,29,31",4,9,2,1,14,6,14,8,6,0,1,0,2,2,0,0,0,0,162.07,17.75,14.73,1.61,99.67,56.08,12.46,7.01
10 Jane Koch,12,"1,7,13,14,15,18,20,24,26,28,29,31",2,10,1,2,1,1,1,0,1,0,0,0,0,0,0,1,0,0,11.75,-7.38,11.75,-7.38,0.00,0.00,0.00,0.00
55 Courtney Walbe,11,"1,7,13,14,15,18,20,24,28,29,31",2,9,1,1,2,2,2,2,0,0,0,0,2,2,0,0,0,0,0.00,0.00,0.00,0.00,31.59,9.96,15.80,4.98
09 Sara Helm,11,"1,7,13,14,15,18,20,24,28,29,31",2,9,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,32.97,32.92,32.97,32.92
01 Amelia Zdechlik,11,"1,7,13,14,15,18,20,24,28,29,31",2,9,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,11.30,11.18,11.30,11.18,18.41,16.05,18.41,16.05
19 Megan Randall,10,"1,7,14,15,18,20,24,28,29,31",2,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45 Emery Otapalik,9,"2,4,6,9,11,16,22,26,33",3,6,2,1,5,2,4,5,0,1,0,1,1,1,0,0,0,0,70.73,39.89,23.58,13.30,69.87,43.08,13.97,8.62
15 Chelsea Semper,7,"3,5,10,16,22,26,33",2,5,1,1,4,3,4,2,2,0,0,0,1,1,0,0,0,0,42.80,-1.02,14.27,-0.34,28.40,11.45,14.20,5.72
49 Elly Fireside-Ostergaard,7,"3,5,10,16,22,26,33",2,5,1,1,3,1,3,3,0,0,0,0,0,0,0,0,0,0,33.83,-19.78,11.28,-6.59,42.57,27.36,14.19,9.12
00 Alicia Carr,7,"3,5,10,16,22,26,33",2,5,1,1,10,2,10,9,1,0,0,0,0,0,0,0,0,0,153.05,104.38,15.30,10.44,114.51,-75.18,12.72,-8.35
24 Allegra Johnson McKee,6,"3,6,10,11,16,22",2,4,2,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,12.33,12.33,12.33,12.33,13.49,13.41,13.49,13.41
33 Julia Hill,5,"3,16,22,26,33",0,5,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0.00,0.00,0.00,0.00,18.26,11.79,18.26,11.79
14 Jessica Hendrickson,5,"3,16,22,26,33",0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
