Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2024-04-28 08:25:41,1,0,0,0,0,1,2,1,1,0,1,0,,,
2024-04-28 08:31:56,2,0,1,1,1,3,20,2,2,0,0,2,02 Steph Wood,53 Emma Piorier,45 Emery Otapalik
2024-04-28 08:39:21,3,1,1,0,0,1,1,1,1,1,0,1,,,
2024-04-28 08:45:09,4,1,2,1,0,1,4,1,1,0,0,0,,,
2024-04-28 08:47:23,5,1,3,1,0,1,2,1,1,0,0,0,,,
2024-04-28 08:49:24,6,1,4,1,1,1,6,0,0,0,0,0,05 Steph Rupp,45 Emery Otapalik,53 Emma Piorier
2024-04-28 08:51:06,7,2,4,0,0,0,0,0,0,0,0,0,,,
2024-04-28 08:53:15,8,2,5,1,1,1,7,0,0,0,0,0,04 Erica Baken,44 Sarah Meckstroth,53 Emma Piorier
2024-04-28 08:54:57,9,3,5,0,0,4,11,4,3,2,1,3,,,
2024-04-28 09:02:58,10,3,6,1,1,1,23,0,0,0,0,0,02 Steph Wood,24 Allegra Johnson McKee,21 Sarah Mondschein
2024-04-28 09:06:00,11,4,6,0,0,2,7,2,2,0,0,2,,,
2024-04-28 09:11:23,12,4,7,1,1,1,2,0,0,0,0,0,03 Makella Daley,04 Erica Baken,07 Danielle Byers
2024-04-28 09:12:39,13,5,7,0,0,2,3,2,1,1,0,2,,,
2024-04-28 09:17:14,14,5,8,1,1,2,5,1,1,0,0,1,,,
2024-04-28 09:20:51,15,6,8,0,1,1,2,0,0,0,0,1,11 Rachel Johnson,21 Sarah Mondschein,09 Sara Helm
2024-04-28 09:25:39,16,7,8,0,0,0,0,0,0,0,0,0,,,
2024-04-28 09:27:14,17,7,9,1,1,1,5,0,0,0,0,0,02 Steph Wood,04 Erica Baken,44 Sarah Meckstroth
2024-04-28 09:28:31,18,8,9,0,0,2,6,2,2,0,1,1,,,
2024-04-28 09:32:03,19,8,10,1,1,2,11,1,1,0,0,1,05 Steph Rupp,04 Erica Baken,44 Sarah Meckstroth
2024-04-28 09:33:51,20,9,10,0,0,0,0,0,0,0,0,0,,,
2024-04-28 09:35:28,21,9,11,1,1,1,3,0,0,0,0,0,02 Steph Wood,44 Sarah Meckstroth,53 Emma Piorier
2024-04-28 09:36:13,22,10,11,0,0,0,0,0,0,0,0,0,,,
2024-04-28 09:38:12,23,10,12,1,1,1,10,0,0,0,0,0,53 Emma Piorier,02 Steph Wood,07 Danielle Byers
2024-04-28 09:39:45,24,11,12,0,0,1,1,1,1,0,0,1,,,
2024-04-28 09:41:51,25,11,13,1,1,2,16,1,1,0,1,0,02 Steph Wood,04 Erica Baken,05 Steph Rupp
2024-04-28 09:44:22,26,12,13,0,1,1,1,0,0,0,0,1,,,
2024-04-28 09:46:05,27,13,13,1,1,1,4,0,0,0,0,0,53 Emma Piorier,44 Sarah Meckstroth,07 Danielle Byers
2024-04-28 09:47:08,28,14,13,0,0,0,0,0,0,0,0,0,,,
2024-04-28 09:49:03,29,14,14,1,0,1,8,1,1,1,0,0,,,
2024-04-28 09:55:08,30,14,15,1,1,4,24,3,2,1,0,3,44 Sarah Meckstroth,04 Erica Baken,53 Emma Piorier
2024-04-28 09:59:00,31,15,15,0,0,0,0,0,0,0,0,0,,,
2024-04-28 10:00:20,32,15,16,1,1,2,11,1,1,0,1,0,,03 Makella Daley,44 Sarah Meckstroth
2024-04-28 10:01:50,33,16,16,0,0,0,0,0,0,0,0,0,,,
2024-04-28 10:03:39,34,16,17,1,0,1,2,0,0,0,0,0,,,
