Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2024-04-28 08:29:47,1,1,0,0,0.9888889,0.70246917,11 Rachel Johnson,2,,,,55 Courtney Walbe,,
2024-04-28 08:33:37,2,1,1,0,0.16527773,0.56666666,03 Makella Daley,6,,,,07 Danielle Byers,,
2024-04-28 08:36:27,2,2,1,0,0.86944443,0.84753084,03 Makella Daley,8,,,,45 Emery Otapalik,,
2024-04-28 08:38:40,2,3,1,1,0.49027774,0.4185185,04 Erica Baken,6,02 Steph Wood,53 Emma Piorier,45 Emery Otapalik,,,
2024-04-28 08:43:03,3,1,0,0,0.5013889,0.47962964,15 Chelsea Semper,1,,,,15 Chelsea Semper,44 Sarah Meckstroth,
2024-04-28 08:46:08,4,1,1,0,0.36388886,0.7641975,03 Makella Daley,4,,,,53 Emma Piorier,,
2024-04-28 08:48:31,5,1,1,0,1.0,0.70000005,00 Alicia Carr,2,,,,11 Rachel Johnson,,
2024-04-28 08:50:28,6,1,1,1,0.2069444,0.7148148,04 Erica Baken,6,05 Steph Rupp,45 Emery Otapalik,53 Emma Piorier,,,
2024-04-28 08:54:05,8,1,1,1,0.6930555,0.72469133,04 Erica Baken,7,04 Erica Baken,44 Sarah Meckstroth,53 Emma Piorier,,,
2024-04-28 08:57:42,9,1,0,0,0.95416665,0.72530866,03 Makella Daley,2,,,,,44 Sarah Meckstroth,
2024-04-28 08:59:01,9,2,0,0,0.044444464,0.46790123,04 Erica Baken,4,,,,44 Sarah Meckstroth,,
2024-04-28 09:00:21,9,3,0,0,0.55833334,0.84074074,04 Erica Baken,4,,,,04 Erica Baken,,
2024-04-28 09:01:55,9,4,0,0,0.7708333,0.8462963,03 Makella Daley,1,,,,03 Makella Daley,07 Danielle Byers,
2024-04-28 09:03:54,10,1,1,1,0.0,0.737037,11 Rachel Johnson,23,02 Steph Wood,24 Allegra Johnson McKee,21 Sarah Mondschein,,,
2024-04-28 09:07:36,11,1,0,0,0.5,0.51913583,15 Chelsea Semper,2,,,,33 Julia Hill,,
2024-04-28 09:10:29,11,2,0,0,0.83888894,0.6796296,03 Makella Daley,5,,,,07 Danielle Byers,,
2024-04-28 09:12:27,12,1,1,1,0.048611067,0.6814815,03 Makella Daley,2,03 Makella Daley,04 Erica Baken,07 Danielle Byers,,,
2024-04-28 09:14:17,13,1,0,0,0.3055556,0.57160497,11 Rachel Johnson,2,,,,21 Sarah Mondschein,,
2024-04-28 09:15:19,13,2,0,0,0.69305557,0.8277778,11 Rachel Johnson,1,,,,,21 Sarah Mondschein,
2024-04-28 09:17:47,14,1,1,0,0.0,0.54691356,03 Makella Daley,4,,,,05 Steph Rupp,,
2024-04-28 09:20:30,14,2,1,1,0.24027774,0.16666667,,1,,,,,,
2024-04-28 09:25:29,15,1,0,1,0.6472222,0.5728395,11 Rachel Johnson,2,11 Rachel Johnson,21 Sarah Mondschein,09 Sara Helm,,,
2024-04-28 09:28:01,17,1,1,1,0.5055555,0.7209877,04 Erica Baken,5,02 Steph Wood,04 Erica Baken,44 Sarah Meckstroth,,,
2024-04-28 09:30:09,18,1,0,0,0.1777778,0.6549383,10 Jane Koch,3,,,,11 Rachel Johnson,,
2024-04-28 09:31:18,18,2,0,0,0.8027778,0.74382716,11 Rachel Johnson,3,,,,55 Courtney Walbe,,
2024-04-28 09:32:47,19,1,1,0,0.2347222,0.6401234,05 Steph Rupp,5,,,,07 Danielle Byers,,
2024-04-28 09:33:25,19,2,1,1,0.60555553,0.49506173,03 Makella Daley,6,05 Steph Rupp,04 Erica Baken,44 Sarah Meckstroth,,,
2024-04-28 09:35:58,21,1,1,1,0.2222222,0.591358,03 Makella Daley,3,02 Steph Wood,44 Sarah Meckstroth,53 Emma Piorier,,,
2024-04-28 09:39:09,23,1,1,1,0.6069444,0.7209877,03 Makella Daley,10,53 Emma Piorier,02 Steph Wood,07 Danielle Byers,,,
