Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-04-30 20:33:35,1,1,17 Kelsey Devlin,33 Yuge Xiao,0,0,0,0,0,0,0,1,0,1,0,18.704338,0.60960156,-18.6944,0.1194444,0.6333333,0.50277776,0.62777776
2024-04-30 20:33:40,1,1,33 Yuge Xiao,36 Jaelee Cruz,0,0,0,0,0,0,0,0,0,0,0,12.708618,10.295463,7.450666,0.50277776,0.62777776,0.35,0.5339506
2024-04-30 20:33:48,1,1,36 Jaelee Cruz,71 Shirlee Wohl,0,0,0,0,0,0,0,0,0,0,0,11.530193,2.2351992,-11.311465,0.35,0.5339506,0.5819444,0.51358026
2024-04-30 20:33:54,1,1,71 Shirlee Wohl,17 Kelsey Devlin,0,0,0,0,0,0,0,0,1,0,0,13.401104,-13.275733,1.8288013,0.5819444,0.51358026,0.5444444,0.6345679
2024-04-30 20:33:57,1,1,17 Kelsey Devlin,36 Jaelee Cruz,0,0,0,0,0,0,0,0,0,0,0,12.210799,4.064004,11.514664,0.5444444,0.6345679,0.30833334,0.59753084
2024-04-30 20:34:00,1,1,36 Jaelee Cruz,33 Yuge Xiao,1,1,0,0,0,0,0,0,0,0,1,25.35697,23.232529,10.160001,0.30833334,0.59753084,0.1,0.38580248
2024-04-30 20:35:13,1,2,71 Shirlee Wohl,33 Yuge Xiao,0,0,0,0,0,0,0,1,0,0,0,19.21073,7.5183997,-17.6784,0.48611107,0.82222223,0.84861106,0.7537037
2024-04-30 20:35:16,1,2,33 Yuge Xiao,16 Erin Rea,0,0,0,0,0,0,0,0,0,0,1,17.071224,16.865604,-2.6416004,0.84861106,0.7537037,0.90277773,0.59999996
2024-04-30 20:35:21,1,2,16 Erin Rea,33 Yuge Xiao,0,0,0,0,0,0,0,0,1,1,0,14.919798,-7.992539,12.5984,0.90277773,0.59999996,0.6444444,0.6728395
2024-04-30 20:36:00,1,2,33 Yuge Xiao,71 Shirlee Wohl,0,0,0,0,0,0,0,0,1,0,0,13.7683735,-3.1157327,13.411201,0.6444444,0.6728395,0.3694444,0.7012346
2024-04-30 20:36:04,1,2,71 Shirlee Wohl,23 Colette Pellegrini,0,0,0,0,0,0,0,0,0,0,1,19.97261,14.224004,14.020801,0.3694444,0.7012346,0.0819444,0.5716049
2024-04-30 20:36:08,1,2,23 Colette Pellegrini,71 Shirlee Wohl,0,0,0,0,0,0,0,1,0,1,0,17.587986,-3.3189332,-17.272,0.0819444,0.5716049,0.43611106,0.6018518
2024-04-30 20:36:12,1,2,71 Shirlee Wohl,17 Kelsey Devlin,0,0,0,0,0,0,0,0,0,0,0,11.724913,0.40640107,-11.717868,0.43611106,0.6018518,0.67638886,0.5981481
2024-04-30 20:36:15,1,2,17 Kelsey Devlin,71 Shirlee Wohl,0,0,0,0,0,0,0,0,0,0,0,12.899421,0.8805269,12.869332,0.67638886,0.5981481,0.4125,0.5901235
2024-04-30 20:36:21,1,2,71 Shirlee Wohl,17 Kelsey Devlin,0,0,0,0,0,0,0,0,1,0,0,11.257801,-1.8287982,-11.108266,0.4125,0.5901235,0.64027774,0.6067901
2024-04-30 20:36:25,1,2,17 Kelsey Devlin,71 Shirlee Wohl,0,0,0,0,0,0,0,0,1,0,0,12.171287,-2.09973,11.988801,0.64027774,0.6067901,0.3944444,0.6259259
2024-04-30 20:36:29,1,2,71 Shirlee Wohl,33 Yuge Xiao,0,0,0,0,0,0,0,0,0,0,0,11.198963,11.108265,1.4224001,0.3944444,0.6259259,0.36527774,0.52469134
2024-04-30 20:36:33,1,2,33 Yuge Xiao,23 Colette Pellegrini,0,0,0,0,0,0,0,0,0,0,0,26.826675,26.754665,1.9642653,0.36527774,0.52469134,0.325,0.28086418
2024-04-30 20:36:38,1,2,23 Colette Pellegrini,71 Shirlee Wohl,0,0,0,0,0,0,0,0,1,0,0,11.906624,-10.227732,6.0959992,0.325,0.28086418,0.2,0.37407404
2024-04-30 20:36:42,1,2,71 Shirlee Wohl,33 Yuge Xiao,0,0,0,0,0,0,0,0,0,0,0,13.208694,-0.1354692,-13.207999,0.2,0.37407404,0.47083333,0.37530863
2024-04-30 20:36:48,1,2,33 Yuge Xiao,36 Jaelee Cruz,0,0,0,0,0,0,0,0,0,0,0,7.32648,6.0959992,-4.0640006,0.47083333,0.37530863,0.5541667,0.31975308
2024-04-30 20:36:55,1,2,36 Jaelee Cruz,33 Yuge Xiao,0,0,0,0,0,1,0,0,0,0,0,6.7855144,2.9802668,6.096,0.5541667,0.31975308,0.42916667,0.29259259
2024-04-30 20:37:14,1,2,33 Yuge Xiao,36 Jaelee Cruz,0,0,0,1,1,0,0,0,0,0,0,22.6279,17.204266,-14.6981325,0.42916667,0.29259259,0.73055553,0.13580246
2024-04-30 20:39:17,2,1,55 Sophie Knowles,03 Liv Player,0,0,0,0,0,0,0,1,0,0,0,16.454044,6.366935,-15.172269,0.50416666,0.8333334,0.8152778,0.77530867
2024-04-30 20:39:27,2,1,03 Liv Player,06 Rowse,0,0,0,0,0,0,0,0,0,0,0,33.973316,33.934402,1.6256014,0.8152778,0.77530867,0.78194445,0.46604937
2024-04-30 20:39:30,2,1,06 Rowse,30 Jean Huang,0,0,0,0,0,0,0,0,1,0,0,12.138071,-4.402667,11.311467,0.78194445,0.46604937,0.55,0.50617284
2024-04-30 20:41:10,2,1,30 Jean Huang,45 Sarah Jeung,0,0,0,0,0,0,0,0,0,0,0,21.652851,11.04053,18.626665,0.55,0.50617284,0.1680556,0.40555558
2024-04-30 20:41:14,2,1,45 Sarah Jeung,76 Emma Palacio,1,1,0,0,0,0,0,0,0,0,0,15.600738,14.020801,-6.8410654,0.1680556,0.40555558,0.30833334,0.2777778
2024-04-30 20:42:14,2,2,30 Jean Huang,24 Annika Chan,0,0,0,0,0,0,0,0,0,0,0,13.966211,2.0319986,13.817599,0.6652778,0.8277778,0.38194448,0.8092593
2024-04-30 20:42:22,2,2,24 Annika Chan,15 Caitlin Fitzgerald,0,0,0,0,0,0,0,0,0,0,0,15.2939415,8.263471,-12.869331,0.38194448,0.8092593,0.6458333,0.7339506
2024-04-30 20:42:27,2,2,15 Caitlin Fitzgerald,30 Jean Huang,0,0,0,0,0,0,0,0,0,0,0,10.110657,0.60960156,10.092263,0.6458333,0.7339506,0.43888894,0.72839504
2024-04-30 20:42:33,2,2,30 Jean Huang,19 Olivia Hampton,0,0,0,0,0,0,0,0,0,0,0,13.202613,12.666131,-3.7253323,0.43888894,0.72839504,0.5152778,0.61296296
2024-04-30 20:42:45,2,2,19 Olivia Hampton,51 Tess Johnson,0,0,0,0,0,0,0,0,0,0,0,12.66903,0.27093187,12.666133,0.5152778,0.61296296,0.2555556,0.61049384
2024-04-30 20:42:48,2,2,51 Tess Johnson,15 Caitlin Fitzgerald,1,0,1,0,0,0,0,0,0,0,0,16.302221,10.972802,-12.056534,0.2555556,0.61049384,0.5027778,0.5104938
2024-04-30 20:45:04,3,1,71 Shirlee Wohl,36 Jaelee Cruz,0,0,0,0,0,0,0,0,0,0,0,14.204463,8.793928,11.154981,0.47931033,0.63144463,0.25057468,0.55130166
2024-04-30 20:45:09,3,1,36 Jaelee Cruz,17 Kelsey Devlin,1,1,0,0,0,0,0,0,1,0,0,10.476072,-9.242023,-4.9328575,0.25057468,0.55130166,0.35172415,0.6355283
2024-04-30 20:48:21,3,2,71 Shirlee Wohl,17 Kelsey Devlin,0,0,0,0,0,0,0,0,1,0,0,12.934764,-8.940804,-9.3472,0.20138887,0.66604936,0.39305553,0.7475309
2024-04-30 20:48:24,3,2,17 Kelsey Devlin,71 Shirlee Wohl,0,0,0,0,0,0,0,0,0,0,0,9.712358,5.4186697,-8.060268,0.39305553,0.7475309,0.55833334,0.69814813
2024-04-30 20:48:33,3,2,71 Shirlee Wohl,03 Liv Player,0,0,0,0,0,0,0,0,0,0,0,11.30964,7.7216005,-8.263464,0.55833334,0.69814813,0.7277777,0.62777776
2024-04-30 20:48:37,3,2,03 Liv Player,71 Shirlee Wohl,0,0,0,0,0,0,0,0,1,0,0,14.461502,-4.267198,13.8176,0.7277777,0.62777776,0.4444444,0.6666666
2024-04-30 20:49:09,3,2,71 Shirlee Wohl,33 Yuge Xiao,0,0,0,0,0,0,0,0,0,0,0,12.320207,3.589865,11.7856,0.4444444,0.6666666,0.20277773,0.6339506
2024-04-30 20:49:11,3,2,33 Yuge Xiao,36 Jaelee Cruz,0,0,0,0,0,0,0,0,0,0,0,9.444365,9.414929,0.74506426,0.20277773,0.6339506,0.1875,0.54814816
2024-04-30 20:49:17,3,2,36 Jaelee Cruz,33 Yuge Xiao,0,0,0,0,0,0,0,0,0,0,1,12.699234,12.4629345,2.4384,0.1875,0.54814816,0.1375,0.4345679
2024-04-30 20:49:31,3,2,33 Yuge Xiao,36 Jaelee Cruz,0,0,0,0,0,0,0,0,0,1,1,9.857006,9.685868,1.8288001,0.1375,0.4345679,0.1,0.34629628
2024-04-30 20:49:35,3,2,36 Jaelee Cruz,71 Shirlee Wohl,0,0,0,0,0,0,0,0,0,1,0,9.694387,8.737599,-4.1994643,0.1,0.34629628,0.18611106,0.26666665
2024-04-30 20:50:13,3,2,71 Shirlee Wohl,33 Yuge Xiao,0,0,0,0,0,0,0,0,1,0,0,10.824627,-7.5861344,-7.7216,0.18611106,0.26666665,0.3444444,0.33580247
2024-04-30 20:50:15,3,2,33 Yuge Xiao,71 Shirlee Wohl,0,0,0,0,0,0,0,0,0,0,0,9.835339,5.8250675,-7.9248013,0.3444444,0.33580247,0.5069444,0.28271604
2024-04-30 20:50:22,3,2,71 Shirlee Wohl,36 Jaelee Cruz,0,0,0,0,0,1,0,0,0,0,0,13.362019,7.7215986,10.905066,0.5069444,0.28271604,0.28333333,0.21234567
2024-04-30 20:50:26,3,2,36 Jaelee Cruz,03 Liv Player,0,0,0,1,1,0,0,0,0,0,1,13.24702,8.737599,9.9568,0.28333333,0.21234567,0.079166666,0.13271604
2024-04-30 20:52:09,4,1,03 Liv Player,37 Hannah Henkin,0,0,0,0,0,0,0,0,0,0,0,12.083139,4.0639973,11.3792,0.7277778,0.7141975,0.49444446,0.6771605
2024-04-30 20:52:15,4,1,37 Hannah Henkin,32 Megan Wilson,0,0,0,0,0,0,0,0,0,0,0,13.885335,8.331202,11.108267,0.49444446,0.6771605,0.26666668,0.60123456
